"STATE","LGA","September","October","November","December","January","February","March","April"
"Abia","Aba South",8.2,8.7,9.4,10,11,11.5,12,12.9
"Abia","Arochukw",8.3,8.7,9.3,9.7,10.5,10.8,11.2,12.3
"Abia","Bende",8.2,8.6,9.2,9.5,10,10.3,10.9,12.1
"Abia","Ikwuano",8.3,8.8,9.3,9.7,10.4,10.6,11.1,12.2
"Abia","Isiala Ngwa North",8.3,8.7,9.2,9.5,10.2,10.5,11.1,12.2
"Abia","Isiala Ngwa South",8.3,8.7,9.3,9.7,10.4,10.7,11.2,12.2
"Abia","Isuikwua",8.3,8.6,9.2,9.4,9.9,10.1,10.6,11.7
"Abia","Oboma Ngwa",8.3,8.7,9.4,9.9,10.8,11.1,11.6,12.5
"Abia","Ohafia Abia",8.3,8.7,9.2,9.6,10.1,10.4,10.9,12.1
"Abia","Osisioma Ngwa",8.3,8.7,9.3,9.8,10.6,11,11.5,12.5
"Abia","Ugwunagbo",7.7,8.1,8.7,9.2,9.9,10.2,10.6,11.5
"Abia","Ukwa East",7.3,7.6,8.2,8.7,9.5,9.8,10.2,10.8
"Abia","Ukwa West",7.4,7.8,8.4,8.9,9.7,10.1,10.5,11.1
"Abia","Umu-Nneochi",8.2,8.6,9.1,9.4,9.8,10,10.5,11.6
"Abia","Umuahia North",8.3,8.7,9.2,9.5,10.1,10.4,11.1,12.3
"Abia","Umuahia South",8.2,8.6,9.1,9.4,10,10.4,11,12.3
