"STATE","LGA","April","May","June","July","August","September","October","November"
"Akwa Ibom","Abak",7.4,8.1,9,9.6,10.5,12,13.1,13.9
"Akwa Ibom","Eastern Obolo",8.8,9.6,10.5,11.1,12.1,13.6,14.5,15.6
"Akwa Ibom","Eket",8.4,9.1,9.9,10.5,11.5,13,14.1,15.2
"Akwa Ibom","Esit Eket",8.5,9.3,10.2,10.7,11.7,13.3,14.3,15.3
"Akwa Ibom","Essien-U",7.6,8.3,9.2,9.9,10.9,12.4,13.5,14.4
"Akwa Ibom","EtimEkpo",7.1,7.8,8.5,9,9.9,11.2,12.1,12.9
"Akwa Ibom","Etinan",7.8,8.5,9.3,9.8,10.7,12.2,13.1,14.1
"Akwa Ibom","Ibeno",8.8,9.6,10.4,11,12,13.6,14.6,15.7
"Akwa Ibom","Ibesikpo Asutan",7.6,8.3,9,9.6,10.4,11.8,12.8,13.7
"Akwa Ibom","Ibiono Ibom",7.2,8,8.9,9.5,10.5,11.9,13,14
"Akwa Ibom","Ika",7.6,8.3,9.1,9.7,10.6,12.1,13.1,13.9
"Akwa Ibom","Ikono",7.1,7.8,8.7,9.3,10.3,11.7,12.8,13.7
"Akwa Ibom","Ikot-Aba",8.3,9.1,9.9,10.5,11.4,13,14,15
"Akwa Ibom","Ikot-Ekp",7.2,7.9,8.8,9.4,10.3,11.8,12.9,13.8
"Akwa Ibom","Ini",6.7,7.4,8.3,8.9,9.8,11.2,12.3,13.1
"Akwa Ibom","Itu",7.8,8.6,9.5,10.2,11.2,12.8,13.9,15
"Akwa Ibom","Mbo",8.6,9.3,10.2,10.8,11.8,13.3,14.3,15.4
"Akwa Ibom","Mkpat Enin",7.9,8.6,9.4,10,10.9,12.3,13.3,14.3
"Akwa Ibom","Nsit Atai",7.9,8.5,9.3,9.9,10.8,12.2,13.2,14.2
"Akwa Ibom","Nsit Ibom",7.6,8.2,9,9.5,10.4,11.8,12.8,13.7
"Akwa Ibom","Nsit Ubium",8.2,8.9,9.7,10.2,11.2,12.7,13.7,14.7
"Akwa Ibom","Obot Akara",7,7.7,8.6,9.2,10.1,11.6,12.6,13.5
"Akwa Ibom","Okobo",8,8.7,9.6,10.1,11,12.5,13.4,14.4
"Akwa Ibom","Onna",8.2,9,9.8,10.4,11.3,12.8,13.9,14.9
"Akwa Ibom","Oron",8.2,8.9,9.8,10.3,11.3,12.7,13.7,14.7
"Akwa Ibom","Oruk-Ana",7.6,8.2,9,9.5,10.4,11.8,12.7,13.5
"Akwa Ibom","Udung Uko",7.8,8.5,9.3,9.8,10.8,12.2,13.1,14.1
"Akwa Ibom","Ukanafun",7.2,7.8,8.6,9.1,9.9,11.2,12.1,12.9
"Akwa Ibom","Uruan",8,8.7,9.6,10.2,11.1,12.7,13.7,14.7
"Akwa Ibom","UrueOffo",8.2,8.9,9.7,10.3,11.2,12.7,13.7,14.7
"Akwa Ibom","Uyo",8,8.7,9.6,10.3,11.3,12.8,13.9,14.9
