"STATE","LGA","October","November","December","January","February","March","April","May"
"Anambra","Aguata",19.6,20.4,21.1,22,22.6,23.9,26.2,30.8
"Anambra","Anambra East",19.6,20.4,21,21.9,22,23.1,25.2,29.2
"Anambra","Anambra West",19.9,20.7,21.4,22.3,22.2,23.3,25.3,29.3
"Anambra","Anaocha",20.6,21.5,22.2,23.1,23.2,24.2,26.3,30.4
"Anambra","AwkaNort",20.3,21,21.7,22.6,22.7,23.7,25.8,29.9
"Anambra","AwkaSout",20.9,21.6,22.3,23.3,23.5,24.6,26.7,31
"Anambra","Ayamelum",20.2,21.1,21.9,22.8,22.7,23.6,25.6,29.6
"Anambra","Dunukofia",19.9,20.6,21.3,22.2,22.3,23.4,25.5,29.5
"Anambra","Ekwusigo",19,19.7,20.4,21.2,21.4,22.6,24.5,28.5
"Anambra","Idemili North",19.8,20.5,21.2,22.1,22.1,23.3,25.4,29.4
"Anambra","Idemili South",20.2,21,21.7,22.6,22.8,23.9,25.9,30
"Anambra","Ihiala",18.5,19.2,19.8,20.6,21.1,22.4,24.6,29
"Anambra","Njikoka",19.6,20.5,21.1,22,22.3,23.6,25.7,29.8
"Anambra","NnewiNort",19.4,20.1,20.8,21.6,21.8,22.9,24.9,28.8
"Anambra","NnewiSou",18.8,19.6,20.3,21.1,21.6,22.9,25,29.4
"Anambra","Ogbaru",18.7,19.7,20.4,21.3,21.8,23.2,25.1,29.5
"Anambra","Onitsha North",19.9,20.7,21.4,22.3,22.4,23.6,25.7,29.7
"Anambra","OrumbaNo",20.9,21.7,22.4,23.4,23.7,24.9,27.1,31.6
"Anambra","OrumbaSo",20.1,21.1,21.8,22.7,23.3,24.6,26.9,31.6
"Anambra","Oyi",19.8,20.5,21.1,22,22.2,23.3,25.4,29.5
