"STATE","LGA","October","November","December","January","February","March","April","May"
"Benue","Ado",21.3,22.1,22.8,23.8,23.5,23.9,25.8,29.8
"Benue","Agatu",22.3,22.8,23.4,24.4,24,24,25.8,29.9
"Benue","Apa",22.4,22.9,23.5,24.5,24.1,24.1,26,30.1
"Benue","Buruku",23,23.5,24.2,25.2,24.8,24.7,26.4,30.5
"Benue","Gboko",22.6,23.1,23.8,24.8,24.4,24.1,25.7,29.6
"Benue","Guma",22.4,22.9,23.5,24.5,24.1,23.6,25,28.7
"Benue","Gwer East",22.6,23.2,23.9,24.9,24.5,24.1,25.7,29.5
"Benue","GwerWest",22.8,23.4,24,25.1,24.6,24.1,25.5,29.3
"Benue","Katsina (Benue)",22.9,23.5,24.1,25.2,24.9,25.3,27.2,31.5
"Benue","Konshish",22.3,23,23.7,24.7,24.4,24.6,26.4,30.4
"Benue","Kwande",20.9,21.9,22.7,23.8,24.1,24.9,26.8,30.8
"Benue","Logo",23.2,23.7,24.3,25.4,25,24.4,25.7,29.5
"Benue","Makurdi",22.3,22.8,23.4,24.5,24,23.5,24.9,28.5
"Benue","Obi",22.2,23,23.7,24.7,24.4,24.6,26.5,30.5
"Benue","Ogbadibo",21.2,21.8,22.5,23.4,23,23,24.7,28.4
"Benue","Ohimini",22.5,23.1,23.8,24.8,24.4,24,25.5,29.4
"Benue","Oju",21.9,22.7,23.4,24.4,24.3,24.8,26.8,31
"Benue","Okpokwu",21.6,22.3,23,24,23.6,23.4,25,28.8
"Benue","Oturkpo",22.7,23.3,24,25,24.6,24.3,25.9,29.8
"Benue","Tarka",22.2,22.7,23.2,24.3,23.9,23.6,25.3,29.2
"Benue","Ukum",22.3,22.7,23.3,24.3,23.9,23.8,25.6,29.6
"Benue","Ushongo",22.3,22.9,23.6,24.6,24.4,24.8,26.7,30.9
"Benue","Vandeiky",21.1,21.9,22.6,23.6,23.8,24.6,26.5,30.7
