"STATE","LGA","April","May","June","July","August","September","October","November"
"Cross River","Abi",5.9,6.7,7.6,8.3,9.4,10.7,11.7,12.3
"Cross River","Akamkpa",8.3,9.2,10.2,11,12.1,13.7,14.8,15.9
"Cross River","Akpabuyo",7.9,8.6,9.5,10,11,12.4,13.4,14.3
"Cross River","Bakassi",9.1,9.9,10.8,11.4,12.5,14,15,16
"Cross River","Bekwarra",4.6,5.6,6.8,7.7,9,10.6,11.7,12.3
"Cross River","Biase",7.3,8.1,9.1,9.8,10.8,12.4,13.4,14.4
"Cross River","Boki",6.6,7.5,8.6,9.4,10.6,12.3,13.5,14.2
"Cross River","Calabar",7.7,8.5,9.3,9.9,10.8,12.3,13.3,14.3
"Cross River","Etung",7.4,8.2,9.3,10,11.1,12.6,13.6,14.4
"Cross River","Ikom",6.6,7.5,8.5,9.3,10.5,12.1,13.3,14
"Cross River","Obanliku",6.2,7.2,8.3,9.2,10.5,12.2,13.2,13.9
"Cross River","Obubra",6.6,7.4,8.4,9.2,10.3,11.9,13,13.6
"Cross River","Obudu",5.6,6.5,7.6,8.5,9.7,11.3,12.4,13.1
"Cross River","Odukpani",8.3,9.1,10.1,10.8,11.9,13.6,14.7,15.8
"Cross River","Ogoja",5.3,6.3,7.5,8.4,9.6,11.3,12.6,13.2
"Cross River","Yakurr",6.7,7.5,8.5,9.1,10.1,11.6,12.6,13.3
"Cross River","Yala Cross",5.3,6.3,7.6,8.5,9.8,11.5,12.7,13.3
