"STATE","LGA","December","January","February","March","April","May","June","July"
"Ebonyi","Abakalik",16.7,17.5,17.5,18.2,20.3,24.3,28.6,32.7
"Ebonyi","Afikpo",15.5,16.1,16.3,17,18.9,22.5,26.8,30.6
"Ebonyi","AfikpoSo",16,16.6,16.8,17.4,19.2,22.6,26.7,30.4
"Ebonyi","Ebonyi",16.4,16.9,17.2,18.1,20.3,24.5,29.1,33.4
"Ebonyi","Ezza North",15.6,16.1,16.5,17.4,19.6,23.7,28,32
"Ebonyi","Ezza South",16.2,16.8,17.1,18.1,20.2,24.3,28.9,33.2
"Ebonyi","Ikwo",16.9,17.9,17.8,18.2,19.7,22.9,26.6,30.1
"Ebonyi","Ishielu",15.6,16.1,16,16.8,18.7,22.3,26.9,31.1
"Ebonyi","Ivo",16.3,17,17.1,17.8,19.6,23.1,27.6,31.5
"Ebonyi","Izzi",16.5,17.1,17.3,18.2,20.3,24.4,29,33.4
"Ebonyi","Ohaozara",15.4,15.9,16.2,17,19,22.8,27.2,31
"Ebonyi","Ohaukwu",16.1,16.6,16.7,17.6,19.6,23.5,28.1,32.5
"Ebonyi","Onicha",15.6,16.2,16.4,17.3,19.4,23.3,27.6,31.5
