"STATE","LGA","October","November","December","January","February","March","April","May"
"Edo","Akoko-Ed",21.3,22,22.7,23.6,23.7,24.7,26.7,31.1
"Edo","Egor",19.4,20.6,21.6,22.8,23.4,24.6,26.9,31.4
"Edo","EsanCent",19.8,20.4,21,21.9,22.1,23.4,25.5,29.8
"Edo","EsanNort",19.4,20,20.6,21.4,21.4,22.5,24.5,28.5
"Edo","EsanSout",19.8,20.4,21,21.9,21.9,23,25.1,29.1
"Edo","EsanWest",19.6,20.2,20.8,21.6,21.9,23.3,25.4,29.7
"Edo","Etsako Central",20.4,21.1,21.8,22.8,22.5,23.2,25.1,29
"Edo","EtsakoEa",21.5,22.2,22.9,23.8,23.7,24.3,26.3,30.4
"Edo","EtsakoWe",20.4,21,21.6,22.5,22.5,23.4,25.4,29.4
"Edo","Igueben",19.5,20.1,20.7,21.5,21.9,23.3,25.4,29.7
"Edo","Ikpoba-Okha",19.2,20.4,21.2,22.3,23.1,24.6,27,31.6
"Edo","Oredo Edo",19.3,20.5,21.4,22.6,23.2,24.8,27.2,31.8
"Edo","Orhionmw",19.3,20,20.6,21.7,22.8,24.4,26.8,31.4
"Edo","OviaNort",18.9,19.9,20.7,21.7,22.3,23.9,26.2,30.6
"Edo","OviaSouth-West",19.1,20.2,21.1,22.1,22.8,24.3,26.7,31.1
"Edo","Owan East",20.3,20.9,21.5,22.4,22.6,23.7,25.7,30
"Edo","OwanWest",18.8,19.5,20.1,20.9,21,22.1,24.1,28.1
"Edo","Uhunmwonde",18.7,19.4,20,20.8,21.5,23,25.3,29.6
