"STATE","LGA","October","November","December","January","February","March","April","May"
"Edo","Akoko-Ed",8.6,8.9,9.2,9.6,9.6,10,10.8,12.6
"Edo","Egor",7.8,8.4,8.7,9.2,9.5,9.9,10.9,12.7
"Edo","EsanCent",8,8.2,8.5,8.8,8.9,9.5,10.3,12
"Edo","EsanNort",7.8,8.1,8.3,8.7,8.7,9.1,9.9,11.5
"Edo","EsanSout",8,8.2,8.5,8.8,8.8,9.3,10.1,11.8
"Edo","EsanWest",7.9,8.2,8.4,8.8,8.9,9.4,10.3,12
"Edo","Etsako Central",8.3,8.6,8.8,9.2,9.1,9.4,10.2,11.7
"Edo","EtsakoEa",8.7,9,9.2,9.7,9.6,9.8,10.6,12.3
"Edo","EtsakoWe",8.2,8.5,8.7,9.1,9.1,9.5,10.3,11.9
"Edo","Igueben",7.9,8.1,8.4,8.7,8.9,9.4,10.3,12
"Edo","Ikpoba-Okha",7.8,8.2,8.6,9,9.3,10,10.9,12.8
"Edo","Oredo Edo",7.8,8.3,8.7,9.1,9.4,10,11,12.9
"Edo","Orhionmw",7.8,8.1,8.3,8.8,9.2,9.9,10.9,12.7
"Edo","OviaNort",7.7,8.1,8.4,8.8,9,9.7,10.6,12.4
"Edo","OviaSouth-West",7.7,8.2,8.5,8.9,9.2,9.8,10.8,12.6
"Edo","Owan East",8.2,8.5,8.7,9.1,9.1,9.6,10.4,12.1
"Edo","OwanWest",7.6,7.9,8.1,8.5,8.5,9,9.8,11.4
"Edo","Uhunmwonde",7.6,7.8,8.1,8.4,8.7,9.3,10.2,12
