"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Aba South","Abia",20.6049992123404,21.8683386100471,23.240982091877,25.3192258550396,28.100215876428,30.2840254609496,33.4235013711243,38.6062249549918
"June","Arochukw","Abia",17.5817042683179,18.6332104018864,19.7971957748372,21.5804400536727,23.9252314278826,25.7709330472415,28.4922275540926,33.0791154230921
"June","Bende","Abia",15.0198601637756,15.8525793034158,16.7902881797807,18.2860582877557,20.2443202858322,21.812375084702,24.1803261111066,28.2235252240985
"June","Ikwuano","Abia",17.657324717314,18.7287452569833,19.9091805391073,21.7099405846995,24.1156045552935,26.0289984710608,28.8138306205563,33.4459509290324
"June","Isiala Ngwa North","Abia",16.9871573914857,17.9951570639103,19.1091211045115,20.8347464899736,23.1611188381662,25.0401618473168,27.7724817052323,32.2824282728122
"June","Isiala Ngwa South","Abia",18.3978176468652,19.518256255463,20.7461636378097,22.6210564639621,25.1407360954334,27.1543995938796,30.0615980325145,34.8548265637298
"June","Isuikwua","Abia",13.5865062703415,14.3998911183805,15.2956662412224,16.6692132845948,18.3389161812488,19.6779426098205,21.7869463874054,25.656251140877
"June","Oboma Ngwa","Abia",19.793772530545,21.0105232834494,22.3364826715331,24.345502357553,27.0301466099379,29.1472618504707,32.1991849987713,37.239500986907
"June","Ohafia Abia","Abia",15.5611246441741,16.3870504890739,17.3294672450988,18.8501108720099,20.8751365626371,22.4979848142454,24.9302374345534,29.0432081261022
"June","Osisioma Ngwa","Abia",19.3514950967936,20.5301267995394,21.8173153689432,23.7777831776568,26.4085455838952,28.4949093147075,31.5016219970907,36.461675218387
"June","Ugwunagbo","Abia",19.0904844669674,20.1315303510331,21.2276709282756,22.9986825732356,25.4135430895936,27.27429044944,29.958405892663,34.3742383993294
"June","Ukwa East","Abia",19.3104174642109,20.248660636929,21.1999771011932,22.8402901175228,25.1180715466525,26.8194781832586,29.2773417533758,33.3378017049079
"June","Ukwa West","Abia",19.2873646078016,20.2839528633212,21.3143781579764,23.0269026534137,25.3815380932386,27.1651797629324,29.7389670726763,33.9793613954198
"June","Umu-Nneochi","Abia",12.9892866637221,13.7385417936221,14.5724854683926,15.8710326180275,17.4617018869317,18.7416170994551,20.7653378296081,24.5055891502826
"June","Umuahia North","Abia",15.4189234579102,16.2992330247982,17.2816963720921,18.8269427937547,20.8639237219884,22.5097187841161,24.975286740425,29.1352526016516
"June","Umuahia South","Abia",15.9744584618971,16.879879338689,17.8898480516957,19.4936746403249,21.666006806339,23.4412786424358,26.0438393502012,30.3319071369942
