"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Aba South","Abia",19.9633320138907,21.6844860473427,24.2150789637957,25.1843257078374,25.8054491019413,27.1140566367494,29.5937765425619,33.4734811324876
"March","Arochukw","Abia",19.274414440584,20.4332124387585,22.1597411759601,22.5862174601883,23.1415325000856,24.5877506506568,27.5797961691002,32.1741752774613
"March","Bende","Abia",18.5438294046611,19.2780931461834,20.3709383755556,20.5961755758164,21.4619516994011,23.5066088597269,27.0749217291503,32.107958689863
"March","Ikwuano","Abia",19.1081073775546,20.1937490478701,21.8833035536515,22.2570039060751,22.6230402559861,24.2779447570707,27.7084254504588,32.4586348242491
"March","Isiala Ngwa North","Abia",18.7465979927995,19.7248127500856,21.2648943402569,21.5376226153981,21.9700649342322,23.8570865089696,27.5795019270921,32.5500998761079
"March","Isiala Ngwa South","Abia",19.1033491539741,20.3670786046692,22.3173949454699,22.8952589083632,23.2112319721035,24.5149876768567,27.6918539140252,32.2905448469453
"March","Isuikwua","Abia",18.356938105337,18.9275034184021,19.7117110189055,20.2051536660476,21.3910176850864,23.6855281894996,27.5730221573045,32.8733896805421
"March","Oboma Ngwa","Abia",19.5646906494655,21.0581183603453,23.2682424693897,24.0167150167253,24.4592852323769,25.7560169425844,28.528290363301,32.6422433522878
"March","Ohafia Abia","Abia",18.9066356797615,19.7547435381503,20.9879499140739,21.122332059514,21.7026178351237,23.642706756602,27.1041640182402,32.0971705314884
"March","Osisioma Ngwa","Abia",19.5093731613727,20.923312874229,23.0448406896909,23.7300804233451,24.1236984146229,25.3218277062424,27.9674498082873,31.9933908863089
"March","Ugwunagbo","Abia",18.7948045060224,20.0901256706751,22.0412754631458,22.6689823158939,23.0254635885749,23.9916647299072,25.9955790372463,29.2394026861141
"March","Ukwa East","Abia",18.2171056503455,19.6702234946821,21.8058701914996,22.563669128612,23.018769359423,23.9987617814456,25.9246933341593,29.0354232920552
"March","Ukwa West","Abia",18.5117242835104,19.8840258408292,22.0028205773042,22.7689352725881,23.2125308362872,24.2186041172892,26.2158232771727,29.4868662943039
"March","Umu-Nneochi","Abia",18.2464492500749,18.7982450844043,19.5526706273304,19.9957202723629,21.1539630700074,23.4366436709906,27.287640221248,32.5722957324177
"March","Umuahia North","Abia",18.5577062216691,19.246880132057,20.334733857997,20.535743810847,21.4845667738245,23.7274465352364,27.5310681318969,32.5640401322874
"March","Umuahia South","Abia",18.4929660763377,19.2819338170094,20.5319860758869,20.597308291839,21.1172298555106,23.3456931159727,27.1155401595188,32.0691850343662
