"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Aba South","Abia",21.1023540045888,23.0841534751209,25.0005146799892,27.499104997602,31.2742489536486,33.7520654800892,35.9693545179295,35.879052741276
"September","Arochukw","Abia",20.8952549843615,23.2900430692255,25.6240193739643,28.4111239472331,32.4239070042614,34.8881619541144,36.4907097677328,35.3306363323151
"September","Bende","Abia",20.4412149431613,22.764339535967,25.0223668793748,27.7184776555406,31.6260634345529,34.0325497400306,35.3292143110356,33.6543154323948
"September","Ikwuano","Abia",21.5188926803669,23.9511624790562,26.3158790486819,29.1406202791974,33.2318295085683,35.7420830940118,37.2323575565745,35.8710840179687
"September","Isiala Ngwa North","Abia",21.358904119937,23.6705895501249,25.9116253839089,28.6312036324313,32.6270760605937,35.1161797851459,36.5180301010672,35.1065885999105
"September","Isiala Ngwa South","Abia",21.1130363796808,23.22845900419,25.2873364157699,27.8811521623114,31.7470637187278,34.2147583065944,35.8153570882466,34.8320216062873
"September","Isuikwua","Abia",18.974636404541,21.0663156499702,23.1312569446461,25.6281162213143,29.2598696722601,31.5105295378941,32.5454529088462,30.834763218214
"September","Oboma Ngwa","Abia",21.6368909638887,23.6893556233689,25.6747819144575,28.2299602828579,32.1065311556195,34.6375968036536,36.5464439934106,35.9953507270346
"September","Ohafia Abia","Abia",20.3563079872318,22.6096780582161,24.8298573574647,27.5261369465205,31.4173484838068,33.8131287810018,35.2073932842404,33.6237847503236
"September","Osisioma Ngwa","Abia",20.3717320563664,22.3216278796412,24.2247533897502,26.6762128815093,30.3639765930906,32.7827764275853,34.6186885824787,33.9668099143345
"September","Ugwunagbo","Abia",19.1886827647213,20.8342675943921,22.4483943985307,24.5981042381988,27.9111273562874,30.0829756356584,31.8255616155462,31.3996352390738
"September","Ukwa East","Abia",19.219196239998,20.7513181562653,22.2086503719667,24.2065311768959,27.3400083926239,29.2998735604397,31.0540032285603,31.1268319731739
"September","Ukwa West","Abia",18.9055782024266,20.5199344255686,22.0558846557493,24.1200419888805,27.2620959763399,29.2212808399486,31.052718142677,31.0489695138197
"September","Umu-Nneochi","Abia",17.9157540448726,19.90258249267,21.8779053192711,24.2850466921891,27.7640949534559,29.9601505247404,31.0411262209986,29.3772010381578
"September","Umuahia North","Abia",21.0054907328688,23.3466684621168,25.6162637459324,28.3412840028144,32.3125375426072,34.7489513253235,35.9476615485777,34.1647036728542
"September","Umuahia South","Abia",21.327266089858,23.7032699393265,25.9979249556675,28.7453287767231,32.766627065549,35.2578399190151,36.5895795664396,34.9338883699984
