"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"December","Abak","Akwa Ibom",24.6411649938666,27.5640422535183,30.0437676897232,31.251414427234,30.0680967337484,29.1104855225285,32.978911349664,39.004644975348
"December","Eastern Obolo","Akwa Ibom",21.6617969592366,24.1618750144758,26.2113539831889,27.7173095767666,27.4610377047818,27.0911501104582,30.8815595376033,36.2467872946537
"December","Eket","Akwa Ibom",21.5835085284844,24.0818540456158,26.1323570173411,27.6391696910378,27.3867984095245,27.0202557710632,30.804159133025,36.1614379284521
"December","Esit Eket","Akwa Ibom",21.6248164618145,23.9615135470514,25.9230003859487,27.4852986181844,27.4083067708411,27.2438095471453,31.1925825113203,36.7087012285879
"December","Essien-U","Akwa Ibom",25.4740001517525,28.4532699999039,31.0394260666477,32.3346327891401,31.2014790168324,30.2462541345613,34.1995935633371,40.2933987655839
"December","EtimEkpo","Akwa Ibom",22.5339064502339,25.1390185382092,27.286724095673,28.4136688891789,27.3107720316715,26.2642611622058,29.5315852237562,34.4000645873621
"December","Etinan","Akwa Ibom",21.8070399363544,24.3202289275815,26.3786539800406,27.8149081684462,27.3696710816754,26.8374571540957,30.4777992306658,35.6826043042647
"December","Ibeno","Akwa Ibom",21.754931447829,24.1279801462851,26.1080394673758,27.6608896858911,27.544827420186,27.3366744818424,31.2659238058201,36.7678307686039
"December","Ibesikpo Asutan","Akwa Ibom",21.8836914208873,24.4028235773698,26.4580379473275,27.9025221455085,27.4537848287022,26.8963405435464,30.5234420766552,35.7163948059139
"December","Ibiono Ibom","Akwa Ibom",25.3254734511417,28.3402160715723,30.9274689917515,32.1862439047469,30.9858989385056,30.1259861295208,34.2106310029569,40.4406229851334
"December","Ika","Akwa Ibom",23.6908589879966,26.490452699503,28.8373517441827,30.0509026761139,29.0317779073588,28.2694615265228,32.1537627626694,37.7269981082154
"December","Ikono","Akwa Ibom",25.1267372740575,28.1485728982154,30.7369975435341,31.9402731903594,30.6895450386397,29.7822104756871,33.7718351617836,39.8462126637562
"December","Ikot-Aba","Akwa Ibom",21.6892612512902,24.1944000417055,26.2446426602713,27.7502195503601,27.4855799036581,27.1031542391824,30.8851112022793,36.2411023068311
"December","Ikot-Ekp","Akwa Ibom",25.1865949959217,28.218112189745,30.812028482478,32.0496555576192,30.8614901537293,29.99678002492,34.0523370612029,40.307422090879
"December","Ini","Akwa Ibom",25.1562264388936,28.1520034237158,30.7719385105577,32.0105599837396,30.5677129732993,29.3733146814418,33.2107353812173,39.4356779289652
"December","Itu","Akwa Ibom",25.4076939571695,28.4086486685839,31.0324538343073,32.613446772333,31.7510191165576,31.1425082533114,35.4958559152221,41.8816777067267
"December","Mbo","Akwa Ibom",21.6997822358077,24.0459047629244,26.0118133432664,27.5744843539946,27.4920826902529,27.321503464158,31.2745186627483,36.798457920845
"December","Mkpat Enin","Akwa Ibom",21.8602409590187,24.3727206263575,26.4290990793307,27.9116454054195,27.5516861439991,27.0602823219737,30.754132331264,36.0236301102173
"December","Nsit Atai","Akwa Ibom",21.8520926538574,24.2481160091186,26.238453036322,27.7851647354098,27.5778086789712,27.1990537548459,30.9696106118191,36.3225055264659
"December","Nsit Ibom","Akwa Ibom",21.8784656683623,24.3947519688937,26.4537488045957,27.8880363354693,27.4254922215957,26.8626522581672,30.4661458850379,35.6323267649182
"December","Nsit Ubium","Akwa Ibom",21.783482008346,24.2699679696248,26.3123661739246,27.8272156635079,27.5828701647517,27.2233363371343,31.0349457669631,36.425192731781
"December","Obot Akara","Akwa Ibom",25.2850512673589,28.2735224590685,30.8897419892829,32.1058397104239,30.7285792978277,29.6689583677805,33.459043248586,39.4543642200934
"December","Okobo","Akwa Ibom",21.8035018247505,24.1594448486727,26.1311425447062,27.6912355748596,27.5071369265737,27.1517017974672,30.941041872896,36.306628418144
"December","Onna","Akwa Ibom",21.4889796638367,23.9798170059601,26.0252307043737,27.5299958753808,27.2835854100544,26.925737358556,30.7047805100624,36.0526675967135
"December","Oron","Akwa Ibom",21.7994173724154,24.1531677203524,26.1212905360477,27.682492929652,27.5363985822448,27.2473099280524,31.1127080969141,36.546359178563
"December","Oruk-Ana","Akwa Ibom",21.771189793593,24.284354055694,26.3360925620982,27.6933150660165,27.0289749967145,26.2525910020273,29.6538700658726,34.620952150172
"December","Udung Uko","Akwa Ibom",21.6957816212017,24.0469917349684,26.013987548842,27.5738482933361,27.3684425286706,26.9618721620766,30.7179416478217,36.0338472485128
"December","Ukanafun","Akwa Ibom",21.856282590648,24.3740575665185,26.423448009207,27.6707970719443,26.7706892065802,25.7832054389852,28.8700459333872,33.4699765280514
"December","Uruan","Akwa Ibom",22.9280336145127,25.5110605218909,27.720757438358,29.3730605360915,29.0040990864488,28.5651519338112,32.5559375422548,38.2148087718743
"December","UrueOffo","Akwa Ibom",21.793599884748,24.1466451670539,26.1145820716592,27.6765212177832,27.550965107048,27.2977695356185,31.1870456183079,36.6521496044797
"December","Uyo","Akwa Ibom",24.1804585891545,27.0242604187088,29.49349656117,30.9639109350034,30.2379112013015,29.7416858336583,33.9320401669104,39.9028187175861
