"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"February","Abak","Akwa Ibom",19.7099342791822,20.9270618018737,22.3512809777212,24.3489112930317,25.1307525449365,25.7189630960936,27.0940956944046,30.1737695754462
"February","Eastern Obolo","Akwa Ibom",17.7260758232208,19.4777299177919,21.6343102395235,23.9314537822518,24.8780271540478,25.620492401188,26.6788508535489,29.0819838772408
"February","Eket","Akwa Ibom",17.6809622414821,19.4322014144557,21.5878041058709,23.8829242389411,24.8303705567341,25.574594997308,26.6336295613221,29.035574264601
"February","Esit Eket","Akwa Ibom",17.3145622599287,19.128123949829,21.4287355279348,23.8477992072442,24.8805100192375,25.6619965459899,26.9127924865943,29.4547962777042
"February","Essien-U","Akwa Ibom",20.2516315383791,21.5458394280651,23.0126609269153,25.0189241665243,25.8031196088428,26.3729440572115,27.8136887397876,31.1161448510066
"February","EtimEkpo","Akwa Ibom",18.3078106148233,19.4812634907028,20.7370418269554,22.3770858340127,22.8136226566019,23.0964135936754,23.9533235335685,26.0778356062953
"February","Etinan","Akwa Ibom",17.8727328112171,19.4963989209174,21.4232164330787,23.5490716202076,24.3587162532973,24.9838841335025,25.9646444745716,28.2660847406105
"February","Ibeno","Akwa Ibom",17.4874536951868,19.2917015793877,21.5706270041928,23.9740986465958,24.9904459651234,25.7613894207938,26.9785658212083,29.5002097921209
"February","Ibesikpo Asutan","Akwa Ibom",17.9329493747108,19.5526474430302,21.419491928568,23.4856527452177,24.2488931580393,24.8359358424786,25.7941239879563,28.0670802638928
"February","Ibiono Ibom","Akwa Ibom",20.178117302875,21.4742834418918,22.9183212939803,24.990398868483,25.8572338711372,26.4965842228999,28.0254254924448,31.5308121376012
"February","Ika","Akwa Ibom",19.1080491635954,20.3994962859815,21.8732419488194,23.7615483598873,24.4621144170726,25.05577762873,26.309817729505,28.8400593170855
"February","Ikono","Akwa Ibom",20.0075733882765,21.2507951974097,22.6488881024535,24.6786434552438,25.5109053431896,26.1485931119129,27.6943233131116,31.3987467671292
"February","Ikot-Aba","Akwa Ibom",17.7658391560666,19.5110710443608,21.6514923287424,23.9323961816975,24.8650523191328,25.5950572583455,26.6458901874721,29.040445529591
"February","Ikot-Ekp","Akwa Ibom",20.0747366233745,21.3252278276209,22.8026085556513,24.8715484747715,25.7290400074793,26.4961073302446,28.1922763928616,32.2437081017183
"February","Ini","Akwa Ibom",20.0853133752751,21.3097601296282,22.531619015856,24.3093963237959,25.0287792009408,25.9547066984233,27.8735703719101,32.3126568363566
"February","Itu","Akwa Ibom",20.1561369044356,21.8012336305174,23.5939030837525,25.9525293652485,27.0169102950255,27.7425908148992,29.2023632573692,32.2201919322524
"February","Mbo","Akwa Ibom",17.3766539113838,19.1908404326829,21.4928680085257,23.9147762494459,24.9462988629707,25.7253975689993,26.9752828615932,29.5189675769304
"February","Mkpat Enin","Akwa Ibom",17.9134709175829,19.6033190990879,21.6000442232989,23.7467542933823,24.5638178022531,25.1921158669274,26.1771644641541,28.4903519457998
"February","Nsit Atai","Akwa Ibom",17.600604059233,19.3944979553828,21.565286771846,23.8021258379901,24.684981325699,25.3487306159999,26.479383501176,28.9093298521399
"February","Nsit Ibom","Akwa Ibom",17.939334044451,19.561653923197,21.4495858037089,23.5266065565851,24.2954812876441,24.8854756422579,25.8447701922142,28.1210906175071
"February","Nsit Ubium","Akwa Ibom",17.7947365536986,19.5559797058854,21.7270673286756,24.0377976333975,24.9888067042248,25.7275204023549,26.8085674331112,29.2308187906236
"February","Obot Akara","Akwa Ibom",20.1580361096107,21.3602643713755,22.6217490155966,24.5124050984958,25.2131762439796,25.9142432276767,27.7646617882872,32.3868096604001
"February","Okobo","Akwa Ibom",17.4631573515168,19.2696298098968,21.4427908760264,23.6799010097951,24.5700165221739,25.2322606831678,26.401756906653,28.8531572914165
"February","Onna","Akwa Ibom",17.614258937884,19.364884622852,21.5190418255853,23.8111702186178,24.7599072426596,25.5067327627573,26.5667670009078,28.9669546967797
"February","Oron","Akwa Ibom",17.4596303661187,19.2732843025116,21.5046776342043,23.8079022346331,24.7428008123658,25.4415811265792,26.6368988577185,29.1202362150979
"February","Oruk-Ana","Akwa Ibom",17.8299388742381,19.306097821699,20.9211805606583,22.7489613010649,23.3172829651768,23.729609471486,24.568027203582,26.6822548523598
"February","Udung Uko","Akwa Ibom",17.3783018150791,19.1894456319491,21.3284783187718,23.4816773228075,24.3066873459087,24.9201591708839,26.0564038281335,28.4666436136518
"February","Ukanafun","Akwa Ibom",17.8931682477914,19.2325898925865,20.6376888544162,22.3071552289095,22.744176193414,23.0361273629563,23.7825329876292,25.7715070081561
"February","Uruan","Akwa Ibom",18.3161582406649,20.1460890072342,22.2051272911769,24.4466663011423,25.3732862832534,26.0221828449934,27.2676083445157,29.8947296433086
"February","UrueOffo","Akwa Ibom",17.4545457948256,19.2684719041321,21.5040785351688,23.8300826716872,24.7910297574488,25.5124649794421,26.724062940953,29.2242619318231
"February","Uyo","Akwa Ibom",19.5444070251151,21.0492180382463,22.7917871164823,25.0685922472647,26.1014151762152,26.8539788711213,28.1918679124438,30.9705930926254
