"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Abak","Akwa Ibom",19.9831801780044,21.1647796399376,22.4373294864899,24.4007015847012,27.0247572459829,29.0589357086636,31.9993172836679,36.8862139104306
"June","Eastern Obolo","Akwa Ibom",22.5289706856172,23.5855901738508,24.5738517706198,26.4504619652079,28.8516275838617,30.64939998913,33.4159326093569,38.3430876648476
"June","Eket","Akwa Ibom",21.8443916876405,22.8795881993197,23.8478132255026,25.6769989867375,28.0200940700792,29.780165421745,32.4846629893951,37.3090442649293
"June","Esit Eket","Akwa Ibom",21.9046281489117,22.9737980787943,24.0564989496357,25.926638651429,28.2845078660421,30.0123014811426,32.6607390909974,37.4157998631673
"June","Essien-U","Akwa Ibom",19.9082018515316,21.1482076228662,22.4994067350831,24.5276001231925,27.2147654382058,29.3128247846257,32.3503476648358,37.3996357643409
"June","EtimEkpo","Akwa Ibom",18.568689599301,19.4662340504446,20.3949817383664,22.0019414090426,24.2254799811053,25.9181793182411,28.364865136379,32.4477014253418
"June","Etinan","Akwa Ibom",20.4582299609008,21.430311571691,22.3521179613553,24.073340948119,26.3146198678433,28.0058154364877,30.5721846087638,35.1059844082344
"June","Ibeno","Akwa Ibom",22.6892440121776,23.7771783644554,24.8648826474989,26.780967229816,29.2031599273741,30.9781076184551,33.7038809950532,38.5881948364508
"June","Ibesikpo Asutan","Akwa Ibom",19.7094609267567,20.659314582024,21.5540086359937,23.2287850178953,25.3894981525108,27.0316409320072,29.5351565516326,33.9942293662094
"June","Ibiono Ibom","Akwa Ibom",20.309331827849,21.5547291853744,22.9124074720733,24.9662263207387,27.6881178998419,29.8120896232146,32.8907276678764,37.9987465776871
"June","Ika","Akwa Ibom",19.8386113398021,20.8978664266382,22.0169025731585,23.8345328381426,26.3076710498182,28.1957298585209,30.9268657025286,35.444658606277
"June","Ikono","Akwa Ibom",19.9203128292116,21.1609879346763,22.5126890249674,24.5445764798545,27.2385424770473,29.345864144453,32.3941725607806,37.4528660325825
"June","Ikot-Aba","Akwa Ibom",21.7550834135726,22.7820223570849,23.7446868159111,25.5634248987888,27.9060979830113,29.6642560684575,32.3541496061652,37.1464018224171
"June","Ikot-Ekp","Akwa Ibom",19.7577461810089,21.0095180491972,22.371269941423,24.3985281318906,27.0860776419794,29.1846868972808,32.2140035071766,37.2554849789928
"June","Ini","Akwa Ibom",18.4938038231744,19.6285437386207,20.8704277509216,22.7547737950903,25.2595097873619,27.2341059503281,30.1061973844389,34.8905963450599
"June","Itu","Akwa Ibom",20.9899989451897,22.2795626719587,23.7049852078232,25.840075693716,28.6506517990404,30.8560779863356,34.0370683244059,39.329092730827
"June","Mbo","Akwa Ibom",21.8903777368165,22.9541664609879,24.0312886655256,25.8985784430802,28.2596459031574,29.9927449481373,32.6352297069385,37.3705981408079
"June","Mkpat Enin","Akwa Ibom",20.2735790787586,21.23643535625,22.1516694658502,23.8564192619206,26.0908887523841,27.774415414163,30.317280776651,34.792646753963
"June","Nsit Atai","Akwa Ibom",20.5792833930435,21.5764297960533,22.5701273457937,24.3270865506887,26.552312898725,28.2041248182081,30.7404125070543,35.2933074758688
"June","Nsit Ibom","Akwa Ibom",19.9821684093582,20.9447847844677,21.848063766056,23.5452594133707,25.7148670824017,27.3619231175065,29.8964692823973,34.4214037100191
"June","Nsit Ubium","Akwa Ibom",21.3935121468826,22.4088557144858,23.3709985762186,25.1680737112835,27.4664187364761,29.1908577363654,31.8412083643883,36.5765608374359
"June","Obot Akara","Akwa Ibom",19.1227688637408,20.3096488015304,21.6070270605237,23.5603606554785,26.1590482927707,28.2023671987477,31.159378735795,36.0754132190374
"June","Okobo","Akwa Ibom",20.3820166028436,21.3613278994927,22.3651845306283,24.1148183623818,26.3528445386892,28.0200345418505,30.5357416536074,34.9588404929703
"June","Onna","Akwa Ibom",20.9911819730996,22.0013008152394,22.9462198575764,24.7191679198511,26.9893375356192,28.7023353600165,31.3320604334194,36.0279746210704
"June","Oron","Akwa Ibom",20.7241103394863,21.7265877440331,22.7400900628247,24.5176532439331,26.7858178606674,28.4794798663139,31.0086187980101,35.4812246754217
"June","Oruk-Ana","Akwa Ibom",19.087217369165,19.9810583188576,20.8603101189534,22.4601751677385,24.6371814793136,26.2794007502895,28.694510906599,32.8046104416234
"June","Udung Uko","Akwa Ibom",19.9742823117226,20.9440155989789,21.9273510934885,23.6497693183096,25.859159785689,27.5254992656925,29.9869143932103,34.3094893134975
"June","Ukanafun","Akwa Ibom",18.3255684356533,19.1655457572587,20.0036084954833,21.5362176090668,23.6165789914493,25.2014513959355,27.5462472050947,31.6019430904813
"June","Uruan","Akwa Ibom",20.3321684826349,21.4126844831033,22.5636200924133,24.4480923595312,26.9149012484165,28.8062519494991,31.5597826911066,36.159972718452
"June","UrueOffo","Akwa Ibom",20.9094741967031,21.9323527080343,22.9706265224431,24.7641586788504,27.0266759206731,28.6991809573139,31.2498956318508,35.8402031326151
"June","Uyo","Akwa Ibom",20.8015559523467,21.9798334987061,23.2275595960184,25.2057542285239,27.84168362285,29.871432182234,32.8146754712347,37.7771190723013
