"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Abak","Akwa Ibom",19.1840601988815,20.6702819422157,22.8523198279643,23.5658409627362,23.9660043958727,25.0035966503584,27.1764249611558,30.6638226999577
"March","Eastern Obolo","Akwa Ibom",19.0727624377167,21.1491197631975,23.7268302290025,24.6078649921079,25.1591852270543,26.0859568956745,28.1172344410469,31.1855984477859
"March","Eket","Akwa Ibom",18.9103801852599,20.9830449092875,23.5539561193932,24.4362573436777,24.9892944608955,25.9124424966052,27.9343988772067,30.9891883648071
"March","Esit Eket","Akwa Ibom",18.6407406737841,20.8334408104497,23.5203890976717,24.4628867851224,25.0539475977049,26.1453800633718,28.2884424817979,31.4236452077447
"March","Essien-U","Akwa Ibom",19.7758969333975,21.244362362055,23.4050083731886,24.0996562226202,24.4744041368131,25.5420441243416,27.7873696902781,31.4144081153611
"March","EtimEkpo","Akwa Ibom",17.9917879369478,19.2298962649051,21.0770302204453,21.6170670626484,21.899751152822,22.7545804579721,24.5663517106344,27.5233772606702
"March","Etinan","Akwa Ibom",18.8012501921581,20.632867950884,22.9694218835151,23.7074462474788,24.1367631655189,24.9629907414898,26.8745408108635,29.8155288663416
"March","Ibeno","Akwa Ibom",18.78614798675,20.9676066801357,23.6464038964229,24.5834059170805,25.166770554078,26.2376388037503,28.3654538200404,31.5014446821492
"March","Ibesikpo Asutan","Akwa Ibom",18.802679059006,20.4781413983784,22.6534257175932,23.3032330333664,23.6592805875513,24.4302529314063,26.2742914680383,29.1262352639919
"March","Ibiono Ibom","Akwa Ibom",19.6973864900138,21.2079900865401,23.4964960099935,24.2789129155718,24.731010502826,25.8648637420792,28.2437807787165,32.0492103923096
"March","Ika","Akwa Ibom",18.9320741767385,20.4495601956885,22.672603058745,23.4368187874921,23.8614227354822,24.8869855393514,26.9636574455272,30.3099459942514
"March","Ikono","Akwa Ibom",19.4196504041893,20.8789998182031,23.1025671346074,23.8555435878601,24.2906992887028,25.4094072419332,27.7507266987414,31.5207968962908
"March","Ikot-Aba","Akwa Ibom",18.8819141666764,20.9014595085771,23.4312099733853,24.2987589221004,24.8328963396475,25.7539754344741,27.758164784764,30.8092081217555
"March","Ikot-Ekp","Akwa Ibom",19.5162931063909,21.0115161217341,23.2538680352582,24.0142692698435,24.4487883588,25.6393794218722,28.2114094714109,32.2190634343967
"March","Ini","Akwa Ibom",19.3661000011738,20.6398612529701,22.5825204108954,23.1238613332183,23.505033550652,24.8654662764631,27.6715705153801,31.8869678394583
"March","Itu","Akwa Ibom",20.1230027813627,21.9234757913628,24.5374553874554,25.5070915117806,26.0688810845955,27.3012721326736,29.7363200707044,33.6155417152674
"March","Mbo","Akwa Ibom",18.7358919990253,20.9407468786627,23.6412658171265,24.5858581626373,25.1766930337285,26.2693515017771,28.4180789835565,31.5620580301488
"March","Mkpat Enin","Akwa Ibom",18.823699137541,20.6132844634969,22.8980278256995,23.6206133731101,24.0346393465098,24.8754692265324,26.7788935427142,29.7323405514096
"March","Nsit Atai","Akwa Ibom",18.7930556605294,20.7209947244114,23.09581528124,23.8530493061435,24.2891211819228,25.2185598022506,27.2101266987359,30.1913658353
"March","Nsit Ibom","Akwa Ibom",18.8162094545868,20.5473748118116,22.7741663842533,23.4487307000452,23.8229220988734,24.6064249209149,26.4656320236361,29.3314754294169
"March","Nsit Ubium","Akwa Ibom",19.061344313002,21.1023391931882,23.6536130445818,24.5228486642361,25.0582133875553,25.9897507259364,28.0171367941608,31.0776568723016
"March","Obot Akara","Akwa Ibom",19.4053756329277,20.7605071724031,22.822194497057,23.4587372274247,23.792235258585,24.9024439315403,27.6855726913176,31.9192419635883
"March","Okobo","Akwa Ibom",18.663941198872,20.5571170714,22.9014459641452,23.6581064413842,24.0940594945693,25.056376058993,27.0678302605349,30.0647242831338
"March","Onna","Akwa Ibom",18.770126789691,20.8121554070325,23.3584380229512,24.2420961611844,24.7958570683244,25.7345389383325,27.7474859606845,30.8044112080484
"March","Oron","Akwa Ibom",18.7251369637651,20.7250198330423,23.1820784826772,23.9988327959943,24.483403505529,25.4872672183863,27.5402568975085,30.5763992726069
"March","Oruk-Ana","Akwa Ibom",18.2408654904592,19.6736605061013,21.5991988972277,22.1376937171686,22.4318025254652,23.2188776444403,24.9996530989339,27.8640234392895
"March","Udung Uko","Akwa Ibom",18.5698480141705,20.4069381847139,22.637342502243,23.3202906971516,23.6943297438062,24.6037168306689,26.5540960868851,29.4717442110237
"March","Ukanafun","Akwa Ibom",18.024880441791,19.2952387691268,21.0307727071274,21.4222163312743,21.5903817562117,22.2714142316251,23.9331114222846,26.6672825098102
"March","Uruan","Akwa Ibom",19.1363034760699,20.9539398211523,23.352098613135,24.1604598589429,24.615880179472,25.6535413737922,27.7975475903206,31.1086230094059
"March","UrueOffo","Akwa Ibom",18.7250685533974,20.745679878793,23.2318878759036,24.0647655462001,24.562259915353,25.5767257854194,27.6408423307539,30.6909395496786
"March","Uyo","Akwa Ibom",19.5935715471222,21.37900988745,23.8986295221887,24.8111914326206,25.3615381525635,26.4972778601465,28.77138061334,32.352131579424
