"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Abak","Akwa Ibom",21.1499078324459,23.2219449167198,25.2205710126356,27.7380479244757,31.5309618302397,33.9153411636675,35.5526610595441,34.9760390310182
"September","Eastern Obolo","Akwa Ibom",21.46719103341,23.0471179876418,24.5755713474544,26.6689902810856,30.1245756518778,32.4164544092777,34.517108071203,35.2586822562089
"September","Eket","Akwa Ibom",20.4845599627755,22.1706484145475,23.7349827125614,25.8056042730912,29.0932594202155,31.1481371317019,33.0487644004459,33.6820182641567
"September","Esit Eket","Akwa Ibom",20.9226717651713,22.5545288397175,24.1127150268793,26.1922651549698,29.5525432530038,31.7222546560938,33.8329525105441,34.7184270276212
"September","Essien-U","Akwa Ibom",21.5510678649452,23.7079206586407,25.8352227583756,28.496644295095,32.5083921380661,35.0458071730027,36.6864326673773,35.9040287227739
"September","EtimEkpo","Akwa Ibom",17.7613566484399,19.2365947002912,20.719012448079,22.7089036727213,25.8313907582075,27.8541257253664,29.2179467456508,28.5927771092916
"September","Etinan","Akwa Ibom",17.9538088233067,19.4254009219468,20.8290428971504,22.7307885722856,25.7095913223434,27.5629327346659,29.2486138554249,29.4844829558492
"September","Ibeno","Akwa Ibom",21.4754260823771,23.0941042972474,24.6502526354734,26.746576907828,30.1892030555782,32.4372821118589,34.5819929984959,35.4905529899267
"September","Ibesikpo Asutan","Akwa Ibom",18.485734730734,20.0079563606238,21.4440806028519,23.3841997985699,26.3896797090856,28.2180717508587,29.8972863994209,30.024133908492
"September","Ibiono Ibom","Akwa Ibom",20.9101855518873,23.2853999681918,25.6126013350766,28.4062783416054,32.4250311749496,34.9012510018891,36.5766069810299,35.7679334453633
"September","Ika","Akwa Ibom",19.5817070542481,21.2562943209067,22.9084508864147,25.1377180600828,28.6045184810756,30.8543454262938,32.4334660255371,31.8698368922615
"September","Ikono","Akwa Ibom",21.2293112425491,23.4856250581399,25.6763193852313,28.3593260139564,32.3340512533663,34.8340020779959,36.5003511644666,35.7444560462724
"September","Ikot-Aba","Akwa Ibom",20.3197166756064,21.8945368455215,23.3830095586607,25.4005157316164,28.6550866555155,30.7417982966667,32.6883736323879,33.3355211411707
"September","Ikot-Ekp","Akwa Ibom",22.0462005507142,24.2372838433661,26.3476945327096,28.9844982325828,32.9598106617195,35.4906465959833,37.3070294784617,36.7271838142305
"September","Ini","Akwa Ibom",21.4671777411219,23.893219755866,26.2450825228638,29.0475986102186,33.118590650165,35.6254161961254,37.2569971735861,36.2422274015784
"September","Itu","Akwa Ibom",20.6232086794482,22.994003313554,25.351312430422,28.179309686417,32.2154137844481,34.7144286913003,36.5960943993619,36.1861190752871
"September","Mbo","Akwa Ibom",20.764108977822,22.3855835038315,23.9503408994603,26.0390229467072,29.378545136951,31.5151138338312,33.6196340404036,34.5598136123153
"September","Mkpat Enin","Akwa Ibom",19.3065328488387,20.8708896120231,22.3424276190597,24.3190428904415,27.4405458805844,29.3882371695314,31.1611818893743,31.4729560888736
"September","Nsit Atai","Akwa Ibom",18.9213118100351,20.4675154353897,21.9388394753638,23.9057086982663,27.0192017978524,28.9746467732494,30.8301878501492,31.2474924564448
"September","Nsit Ibom","Akwa Ibom",18.0842446528708,19.606298332168,21.0674582793906,23.0139037170609,26.0417735063473,27.905364681721,29.5429388519801,29.592687903598
"September","Nsit Ubium","Akwa Ibom",19.1315337391254,20.6843921459626,22.1565671578549,24.1313366933204,27.2738368989663,29.2625552318056,31.1507912363177,31.7975033065353
"September","Obot Akara","Akwa Ibom",20.9556560910299,22.9946510478362,24.9650949206194,27.4673218651576,31.2364675790844,33.6605545626639,35.3647772179378,34.5581188633532
"September","Okobo","Akwa Ibom",19.1628092919692,20.7026694172745,22.1743464959368,24.1583056223934,27.3545407520609,29.3763166725358,31.3511249561502,31.8778556467929
"September","Onna","Akwa Ibom",20.1803720022133,21.8111579023837,23.3250546588031,25.3476542318696,28.5903967401656,30.6380385228886,32.5533233766654,33.1969734739385
"September","Oron","Akwa Ibom",19.7164530788812,21.259806715756,22.7359612406417,24.7556995644838,28.01775003078,30.0983720608535,32.0949899464662,32.7729509431258
"September","Oruk-Ana","Akwa Ibom",18.2956395599549,19.8239460972455,21.2679409119916,23.1950608726396,26.2168635818335,28.0913482073836,29.7132934198932,29.6692977772266
"September","Udung Uko","Akwa Ibom",19.1299263643222,20.6696977242207,22.1232674189634,24.0767710267249,27.1529260127826,29.1141676511682,31.0905433683915,31.5379559491835
"September","Ukanafun","Akwa Ibom",17.4121259831249,18.8016986952265,20.1469194091224,21.9930645866209,24.9127240647136,26.7585495534839,28.2621431480278,27.8902789055347
"September","Uruan","Akwa Ibom",19.1122236865265,20.8666865708976,22.5812749797562,24.794116996087,28.1557277001164,30.2654220311558,32.1924837811031,32.4275619813198
"September","UrueOffo","Akwa Ibom",19.8262137581662,21.4271522251792,22.9418593056285,24.9651467823882,28.216388990224,30.2805744802107,32.3024989875747,32.9575264724071
"September","Uyo","Akwa Ibom",20.9688223731255,22.916078293176,24.7985117252939,27.2372633366235,30.9411688864417,33.2866968135444,35.1098268315956,35.0902476527807
