"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"February","Aguata","Anambra",7.91825256551059,8.27576942512731,8.54401726939351,8.90144053016625,9.13366928182714,9.66651593890808,10.609987769003,12.4597060503541
"February","Anambra East","Anambra",7.92419089754041,8.24447939210796,8.51252203363624,8.87462462899825,8.90493211672845,9.36675864995091,10.1972344880109,11.8114617874464
"February","Anambra West","Anambra",8.03304177762492,8.36671542338187,8.64567207964865,9.01347282220521,9.00334577110343,9.41794587778313,10.223720753864,11.8548569566839
"February","Anaocha","Anambra",8.35653278119032,8.69420743374318,8.97439479449269,9.3544175566979,9.38167608085778,9.81212093490057,10.6385039381619,12.2928068924002
"February","AwkaNort","Anambra",8.20288528636338,8.51588318739371,8.78239405049958,9.15595086202449,9.18357055519113,9.59433688499653,10.4375236370564,12.1093783495461
"February","AwkaSout","Anambra",8.43896720948519,8.75653018846164,9.02846198253259,9.4192048722579,9.50963321426532,9.95310443575851,10.8205638044485,12.5646664590449
"February","Ayamelum","Anambra",8.17559431510145,8.54488775495225,8.842859713612,9.22897679644432,9.1851492116251,9.53986161834509,10.3517044760518,11.9840295359053
"February","Dunukofia","Anambra",8.05924841636938,8.35318975344638,8.60675132153302,8.96652091433895,9.00868541032186,9.48923491905184,10.3230369040631,11.9508262871777
"February","Ekwusigo","Anambra",7.67258089619923,7.98537646011095,8.24276381300531,8.5917311310011,8.67479157875129,9.15485148541281,9.93045130539458,11.5285157964714
"February","Idemili North","Anambra",8.01392661915663,8.31419693652009,8.57024780894105,8.92838776325911,8.95724733818301,9.44892703091152,10.290734779406,11.9174225043444
"February","Idemili South","Anambra",8.16127435028531,8.49945722969241,8.77780171989944,9.15299405926614,9.2072350365475,9.66469136225461,10.4898447571039,12.1283555413086
"February","Ihiala","Anambra",7.48493231718832,7.78227507207257,8.02919080380866,8.35659035024205,8.54171990694289,9.07422162313561,9.95949214399384,11.7212208050225
"February","Njikoka","Anambra",7.9410795655253,8.27596014483085,8.54307896923325,8.90968037724575,9.01020315993405,9.53541457872955,10.3837139457046,12.0458913877587
"February","NnewiNort","Anambra",7.84357913852026,8.14538909304558,8.40140514892505,8.758075289574,8.81559031040395,9.2856869952471,10.0609551657749,11.6591259268465
"February","NnewiSou","Anambra",7.59398058838109,7.93528786542631,8.20104078268851,8.54059821679773,8.7442369994215,9.27681604782136,10.127749672927,11.8836079671034
"February","Ogbaru","Anambra",7.57286700614972,7.97160628975412,8.26291173134273,8.60471833259592,8.83507098146278,9.37168231654066,10.1624596435901,11.9230591153451
"February","Onitsha North","Anambra",8.04260278307667,8.38011539380391,8.66105194334622,9.03001294642878,9.08337548469994,9.5587765373636,10.3949744789584,12.0288513168529
"February","OrumbaNo","Anambra",8.46511049774837,8.79757597909167,9.07286892778021,9.46516562036487,9.60873619443567,10.0871372934861,10.9763715349488,12.7702560729879
"February","OrumbaSo","Anambra",8.15128467314304,8.5244305398729,8.80592039297506,9.1759987509334,9.4232417240765,9.95594042938258,10.9029003855338,12.7883280752432
"February","Oyi","Anambra",7.99698741628445,8.29804275811765,8.55879309357346,8.91956341643101,8.96472016512975,9.44928408225317,10.28712391335,11.919844318891
