"STATE","LGA","September","October","November","December","January","February","March","April"
"Anambra","Aguata",8.2,8.6,9,9.3,9.7,9.9,10.4,11.6
"Anambra","Anambra East",8.3,8.7,9.1,9.3,9.8,9.7,10.2,11.2
"Anambra","Anambra West",8.4,8.7,9.2,9.4,9.9,9.8,10.2,11.2
"Anambra","Anaocha",8.7,9.1,9.6,9.8,10.3,10.2,10.7,11.7
"Anambra","AwkaNort",8.6,9,9.4,9.7,10.1,10.1,10.5,11.6
"Anambra","AwkaSout",8.9,9.3,9.7,9.9,10.4,10.5,11,12
"Anambra","Ayamelum",8.5,8.9,9.4,9.7,10.1,10,10.4,11.3
"Anambra","Dunukofia",8.5,8.8,9.2,9.4,9.9,9.9,10.3,11.3
"Anambra","Ekwusigo",7.9,8.3,8.7,8.9,9.3,9.4,9.9,10.9
"Anambra","Idemili North",8.4,8.8,9.2,9.4,9.8,9.8,10.3,11.3
"Anambra","Idemili South",8.5,8.9,9.3,9.6,10,10,10.5,11.5
"Anambra","Ihiala",7.7,8,8.4,8.6,9,9.2,9.9,11.1
"Anambra","Njikoka",8.3,8.7,9.1,9.4,9.8,9.9,10.4,11.4
"Anambra","NnewiNort",8.1,8.5,8.8,9.1,9.5,9.5,10,11
"Anambra","NnewiSou",7.7,8.1,8.5,8.8,9.2,9.4,10,11.2
"Anambra","Ogbaru",7.6,8,8.5,8.8,9.2,9.4,10,11.1
"Anambra","Onitsha North",8.4,8.8,9.2,9.5,9.9,9.9,10.4,11.4
"Anambra","OrumbaNo",8.9,9.3,9.7,10,10.4,10.5,11.1,12.2
"Anambra","OrumbaSo",8.5,8.9,9.3,9.6,10.1,10.2,10.8,12
"Anambra","Oyi",8.4,8.8,9.2,9.4,9.8,9.8,10.3,11.3
