"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Aguata","Anambra",5.58211653528397,5.53927269591301,5.64975493943334,6.04729834433618,7.09079628160484,8.51633285866763,9.59755051352172,11.1301185182692
"May","Anambra East","Anambra",5.07647637704086,5.13086062094758,5.49118422593958,6.09373721382051,7.35114313541189,9.11413985361157,10.4713159182649,12.3287195467491
"May","Anambra West","Anambra",5.30577842492367,5.3370434125872,5.67575830718569,6.26230563107527,7.54150254901712,9.30926126809778,10.6569903770689,12.5018825936486
"May","Anaocha","Anambra",5.51713955108932,5.55063969138935,5.88523549038137,6.4947969574195,7.77961751260851,9.58315793379588,10.9645352064572,12.8881548657899
"May","AwkaNort","Anambra",5.04549962999482,5.11134596161868,5.49210919444238,6.13462774242642,7.45739992733981,9.26654249268089,10.6623403484035,12.6189748632723
"May","AwkaSout","Anambra",5.2724379695917,5.34159843469091,5.71438071780354,6.37097159002263,7.70971598127059,9.51493361826341,10.8926493241459,12.8491493997475
"May","Ayamelum","Anambra",5.39304765595672,5.39147930224156,5.68027359259329,6.22438958587902,7.42645003262939,9.10282029644536,10.4044134884042,12.2160069838612
"May","Dunukofia","Anambra",5.12854399266809,5.19143111013343,5.57864907004459,6.19785569646433,7.48092791880638,9.25186523523522,10.6166861202207,12.4824939420499
"May","Ekwusigo","Anambra",5.12701382431838,5.18078264544498,5.52056748970117,6.11953531570166,7.3612494018585,9.05584746361094,10.3125735135869,12.018236528405
"May","Idemili North","Anambra",5.09526385446571,5.15937998912802,5.5375836339514,6.14551360588796,7.41682594027495,9.18370879311013,10.545134486871,12.4092614983868
"May","Idemili South","Anambra",5.44451909822511,5.49550056429362,5.85225247981903,6.46723295341597,7.75529909909077,9.52917164649702,10.8815812639693,12.751810576256
"May","Ihiala","Anambra",5.2518501190593,5.23427724126959,5.39805706710501,5.90255209915099,7.0307442025704,8.46333019785073,9.54870288980567,11.0555878682613
"May","Njikoka","Anambra",5.13553440381076,5.24059477927245,5.65524085122001,6.29550195582371,7.61374380972694,9.40746523052662,10.76815480313,12.6397920355175
"May","NnewiNort","Anambra",5.21246019437845,5.25124858123098,5.60374038399704,6.19732669214511,7.42492080957696,9.12661844915218,10.3982577374181,12.1251346131784
"May","NnewiSou","Anambra",5.46786331186073,5.43035803180237,5.56856868782518,5.97784744295107,7.02725083202073,8.42501485070821,9.47784094293532,10.9407454487825
"May","Ogbaru","Anambra",5.73320292298318,5.70620632917989,5.79322732822973,6.07698650992593,6.88542400019087,7.98942344806619,8.81278828455172,10.0142051627266
"May","Onitsha North","Anambra",5.36759210669663,5.45781346678729,5.84818463644258,6.46717881040544,7.78174281572305,9.57046720947392,10.9251964674981,12.8020260477282
"May","OrumbaNo","Anambra",5.45180837113261,5.48721696769473,5.77042340464747,6.33039369988741,7.52637128450748,9.17162785444526,10.4283243046657,12.2225229744066
"May","OrumbaSo","Anambra",5.66390737695198,5.62283039113737,5.71485857138547,6.09084743029632,7.10649416515501,8.50590850946833,9.57972913226271,11.1375884052597
"May","Oyi","Anambra",5.11908381759352,5.18848722224262,5.57443036037574,6.19060443049675,7.46880631907586,9.2512039275969,10.618288013949,12.4883181343276
