"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"November","Aguata","Anambra",9.51335141639913,10.592755889648,12.12520767424,13.073918530329,13.508017339556,12.8616650183573,11.8007256111168,12.8578682568752
"November","Anambra East","Anambra",8.96118685467498,10.0997795859348,11.728187726863,12.7628721033612,13.127917162312,12.458012287486,11.443997555617,12.2008043723114
"November","Anambra West","Anambra",8.94012141120374,10.0261228009471,11.5839646138548,12.591283223243,13.0057127508293,12.3562220765513,11.3493023656265,12.0780613511183
"November","Anaocha","Anambra",9.53784514072873,10.6896940511137,12.3246667324206,13.3424961383151,13.7412583855774,13.0491588627148,11.9822594244916,12.8270767135805
"November","AwkaNort","Anambra",9.0651615359205,10.2555026343544,11.9400319313038,12.9977579424782,13.3417225321033,12.6444085328452,11.6178261877342,12.4035276014296
"November","AwkaSout","Anambra",9.32098486405721,10.5107017955472,12.1995701868053,13.2332950310192,13.5542612669938,12.8425221783279,11.8067158286633,12.7001749773994
"November","Ayamelum","Anambra",9.17599367229917,10.330758128647,11.9740498227509,13.0240650391913,13.4679477322765,12.8148294054585,11.7743882263747,12.5225425058661
"November","Dunukofia","Anambra",8.99753322892925,10.1729697808242,11.830400086342,12.8721374843557,13.1740141195369,12.4759599219333,11.4600684932748,12.2252607963475
"November","Ekwusigo","Anambra",8.93403636060605,9.98068910098328,11.497231492368,12.4707357026306,12.8511293171097,12.1958083370745,11.2011704873952,12.0504600174779
"November","Idemili North","Anambra",9.09840630793292,10.2558013586355,11.8921578043178,12.9264637523292,13.2557542919319,12.5582868814532,11.534352204875,12.297357644434
"November","Idemili South","Anambra",9.35886327686692,10.4940598287266,12.1057584664782,13.1276173859948,13.5396561524864,12.8594376384304,11.8135366715648,12.633742085527
"November","Ihiala","Anambra",9.1733559136504,10.128082347365,11.5050578837688,12.3402213547673,12.7356573127945,12.1219042413005,11.1388584064524,12.2407406691955
"November","Njikoka","Anambra",8.97357370573427,10.0952679601542,11.6788109572092,12.6520292356472,12.9493595181325,12.2604972196574,11.2695088135568,12.0758290734849
"November","NnewiNort","Anambra",9.16859757164095,10.2100334230953,11.7082727108213,12.6654119121549,13.0153613745449,12.3412706358017,11.3336083665499,12.1761213317768
"November","NnewiSou","Anambra",9.19061710290215,10.1743325255359,11.5793194206576,12.4356444226973,12.8700149955482,12.2711317964805,11.2666918773072,12.3451571765794
"November","Ogbaru","Anambra",9.13006699338719,10.0867571800862,11.458959549928,12.3036247122708,12.801466534403,12.3011067755755,11.3593278284748,12.3956767815017
"November","Onitsha North","Anambra",8.65231226806536,9.75978109391138,11.3067856721253,12.29231903966,12.7152298505108,12.0765597114359,11.1035136694071,11.8856827935328
"November","OrumbaNo","Anambra",9.61924590001148,10.8044777059621,12.4832835737629,13.5210784233337,13.8970488645165,13.1873963495521,12.1176723796844,13.1193278695924
"November","OrumbaSo","Anambra",9.61017263277571,10.7407251897997,12.3369973243612,13.3340645105523,13.7896616527029,13.119341169736,12.0530211587708,13.1968322826271
"November","Oyi","Anambra",8.89873960464267,10.0211573221338,11.6118939675868,12.6164397586348,12.9485915950406,12.2699590843909,11.2741409328135,12.0429252867962
