"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"April","Aguata","Anambra",15.8281265231483,16.3840976363767,16.576885027468,17.4069785069171,19.3001688614975,23.0032447541908,27.4541361602536,31.3302481288022
"April","Anambra East","Anambra",15.3457272979381,15.819526016375,15.7741838941974,16.5308507090415,18.3109834626378,21.7074917801327,26.2448493921007,30.3809753454215
"April","Anambra West","Anambra",15.9812681061899,16.4587571143992,16.3018097048079,17.0090079711415,18.793769894416,22.2920637455494,26.8542061207489,30.950741166334
"April","Anaocha","Anambra",16.4276940191522,16.9369447159704,16.8727963032737,17.6234313813456,19.4557697735574,22.9766844429533,27.618272096416,31.8472506101183
"April","AwkaNort","Anambra",15.3737001631564,15.8455113955685,15.8001993101147,16.557597653704,18.4319978668929,21.9723513087573,26.5897822926061,30.8530431511412
"April","AwkaSout","Anambra",15.93392570293,16.4559345143983,16.5300030074988,17.3714895879989,19.3609475285903,23.0840586079448,27.8043105321067,32.1278891717528
"April","Ayamelum","Anambra",16.2192988253924,16.7219808500345,16.5293457471821,17.1881736108621,18.9957774614267,22.5173777424981,27.1102302175482,31.3240322638873
"April","Dunukofia","Anambra",15.5413773621129,16.0103947586422,15.9418964803306,16.6733407019417,18.4360974488123,21.8130628361393,26.3607812215175,30.5082115573343
"April","Ekwusigo","Anambra",14.9505578349205,15.4479805069862,15.5210492591048,16.2970460668454,18.0861392363249,21.448325562413,25.8528117551934,29.7551326987934
"April","Idemili North","Anambra",15.4882064324238,15.9529524418392,15.8745627777321,16.602914434698,18.3624981478188,21.7334775734822,26.2744283036442,30.4173048385416
"April","Idemili South","Anambra",16.1663112417474,16.687124269097,16.6740065255265,17.4647770523217,19.2890822838539,22.779439678564,27.3836054107519,31.5574256407565
"April","Ihiala","Anambra",14.6666538261816,15.1909893364386,15.4824789245918,16.3125451805813,18.1645868433127,21.6680964834352,25.6325321172179,29.0050164413659
"April","Njikoka","Anambra",15.3869872433304,15.8948939531544,15.9596433704413,16.7922197808105,18.6452014677925,22.132581320191,26.7150520056483,30.8677507713313
"April","NnewiNort","Anambra",15.3259221116772,15.8226418137772,15.829970398506,16.555667993784,18.3006301646114,21.6656770003268,26.0946106321515,29.9880533985973
"April","NnewiSou","Anambra",15.2365889976407,15.8133881792694,15.9697612784861,16.7450093691508,18.5548883005957,21.9782552972742,26.2216729392304,29.8514342088915
"April","Ogbaru","Anambra",15.6740751537297,16.3702591289793,16.471772722211,17.0793248958192,18.6658003177906,21.9813912244654,25.9658927753971,29.5008285218084
"April","Onitsha North","Anambra",15.9250007681027,16.4571020402844,16.5081203310531,17.3457861953491,19.2108486882507,22.7571617703272,27.3559542925974,31.5073793230905
"April","OrumbaNo","Anambra",16.2113329188566,16.7477836016298,16.9061752959646,17.7843561573079,19.8113506599866,23.6264640129791,28.2987218630533,32.5482546635721
"April","OrumbaSo","Anambra",16.1402639550456,16.6935702406338,16.9330934631591,17.8103602185139,19.7948256082198,23.6366719548039,28.1361819268025,32.126944388645
"April","Oyi","Anambra",15.4687306061491,15.9479182881297,15.922794522643,16.6948947296342,18.4925697847045,21.9169292165665,26.473099898273,30.616966160092
