"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Aguata","Anambra",18.533862493611,20.7804844254024,23.1092924162456,25.8621804763552,29.7218690764076,32.0554981992408,32.9269422806592,31.1277977110736
"September","Anambra East","Anambra",14.0055368048618,16.0366138059578,18.3209254769097,20.9183280289388,24.4722439859292,26.618776836982,27.3052615901198,25.8209186162475
"September","Anambra West","Anambra",15.9509879109855,18.4073233848478,21.0313938482936,23.9577041148399,27.9433780955953,30.410758372443,31.3623378260131,29.7013393344893
"September","Anaocha","Anambra",16.9751142113366,18.9664686729062,21.1165706872982,23.6812077900717,27.3315626279028,29.5609256529257,30.2485220918978,28.5820706557829
"September","AwkaNort","Anambra",13.393513719131,15.3007183300617,17.4999702523024,20.0452726367952,23.5028727316024,25.6350887171247,26.2295955801664,24.7908876218759
"September","AwkaSout","Anambra",15.3023831939733,17.3179136859791,19.5865630548124,22.2566003240233,25.9227617232904,28.1307543335104,28.6930781827708,27.1056315949946
"September","Ayamelum","Anambra",16.6251905142398,19.0971255971466,21.8731420289612,25.0415893663797,29.3490973272687,32.0223582754772,33.0262901982054,31.3230133268199
"September","Dunukofia","Anambra",13.2003474822935,14.7087543430595,16.4282336501081,18.626087547399,21.7818428010754,23.6259134729404,24.0717293817438,22.7320503645724
"September","Ekwusigo","Anambra",15.8093635782166,17.6459855864956,19.667559261206,22.072209785102,25.5088132796197,27.6085853283035,28.2834882254723,26.7445699445615
"September","Idemili North","Anambra",13.4544199075071,14.9638649586738,16.6923838133389,18.7696931829474,21.7920809397325,23.822917340308,24.446150959531,23.1250703861773
"September","Idemili South","Anambra",16.1551914048549,18.1520318220281,20.323856117224,22.8612705576544,26.4381773144784,28.6154810889524,29.3977301674315,27.8089692161014
"September","Ihiala","Anambra",18.3154303127649,20.2649888626618,22.1943732621054,24.5059485590516,27.9127847309895,29.9574282114493,30.8142977927716,29.1246384918102
"September","Njikoka","Anambra",13.410426288606,14.9343687714965,16.6614805825897,18.8172161272686,21.8679609871025,23.7582851498808,24.3901973042856,23.0579064452736
"September","NnewiNort","Anambra",17.2547698056522,19.183383115217,21.2114316667123,23.6183641903084,27.077527975367,29.1117895097773,29.7916572907329,28.1495471995975
"September","NnewiSou","Anambra",18.7462183334576,20.7931119667086,22.8241467695474,25.2828779573636,28.8439189591123,30.9852427082179,31.9956678652511,30.2772645469342
"September","Ogbaru","Anambra",18.861227512964,20.9493148976426,23.0130490484226,25.4482957450462,28.9719434303613,31.0885646572893,32.3363224219833,30.8703375482585
"September","Onitsha North","Anambra",14.6774238990632,16.8023378776794,19.242724210654,21.995484466115,25.7431466448662,28.0014110157072,28.7567810046162,27.2007950676708
"September","OrumbaNo","Anambra",17.1594238918908,19.2558414563522,21.4508678376007,24.0897695357921,27.8383482973698,30.2453353613398,31.060912037835,29.3672427723895
"September","OrumbaSo","Anambra",18.2892761266095,20.3699113262088,22.4855073674308,25.0850140243597,28.8122537145123,31.1868054566102,32.1882610194177,30.4112038856638
"September","Oyi","Anambra",13.2556297623259,14.9525193539493,16.8797216226312,19.1127371306921,22.2596425637973,24.2119545388079,24.8252360158425,23.4649900327584
