"STATE","LGA","October","November","December","January","February","March","April","May"
"Benue","Ado",8.6,9,9.2,9.6,9.5,9.7,10.5,12.1
"Benue","Agatu",9,9.2,9.5,9.9,9.7,9.7,10.4,12.1
"Benue","Apa",9.1,9.3,9.5,9.9,9.8,9.8,10.5,12.2
"Benue","Buruku",9.3,9.5,9.8,10.2,10,10,10.7,12.3
"Benue","Gboko",9.1,9.4,9.6,10,9.9,9.8,10.4,12
"Benue","Guma",9.1,9.3,9.5,9.9,9.8,9.5,10.1,11.6
"Benue","Gwer East",9.2,9.4,9.7,10.1,9.9,9.8,10.4,11.9
"Benue","GwerWest",9.2,9.5,9.7,10.1,10,9.7,10.3,11.8
"Benue","Katsina (Benue)",9.3,9.5,9.8,10.2,10.1,10.2,11,12.7
"Benue","Konshish",9,9.3,9.6,10,9.9,10,10.7,12.3
"Benue","Kwande",8.4,8.9,9.2,9.6,9.7,10.1,10.8,12.5
"Benue","Logo",9.4,9.6,9.8,10.3,10.1,9.9,10.4,11.9
"Benue","Makurdi",9,9.2,9.5,9.9,9.7,9.5,10.1,11.5
"Benue","Obi",9,9.3,9.6,10,9.9,10,10.7,12.4
"Benue","Ogbadibo",8.6,8.8,9.1,9.5,9.3,9.3,10,11.5
"Benue","Ohimini",9.1,9.4,9.6,10,9.9,9.7,10.3,11.9
"Benue","Oju",8.9,9.2,9.5,9.9,9.9,10.1,10.8,12.5
"Benue","Okpokwu",8.7,9,9.3,9.7,9.5,9.5,10.1,11.6
"Benue","Oturkpo",9.2,9.4,9.7,10.1,10,9.8,10.5,12.1
"Benue","Tarka",9,9.2,9.4,9.8,9.7,9.5,10.2,11.8
"Benue","Ukum",9,9.2,9.4,9.8,9.7,9.7,10.4,12
"Benue","Ushongo",9,9.3,9.5,10,9.9,10.1,10.8,12.5
"Benue","Vandeiky",8.5,8.9,9.2,9.5,9.6,9.9,10.7,12.4
