"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Ado","Benue",4.19678177811559,4.42888540798187,4.76535870013078,5.30737060953089,6.09544434624429,6.81081200616372,7.7449502607805,9.37259039277129
"June","Agatu","Benue",3.13306402012689,3.57364437429129,4.54941538791185,5.75610339650986,7.32698066697539,8.82705176126174,10.5472364206788,13.0692862669653
"June","Apa","Benue",3.08836812459541,3.55444457031818,4.53579507191634,5.75310575663132,7.38631952261429,8.91534132780023,10.6110014189482,13.0755433814325
"June","Buruku","Benue",3.2405675533379,3.58040945155667,4.23458421444937,5.19904625733898,6.52684142834225,7.84214119775726,9.39506091727655,11.7690874705105
"June","Gboko","Benue",3.21363827993963,3.50030749192132,4.03163381296677,5.01259804005512,6.41616468524376,7.84747167466124,9.5037981678583,11.9741163581815
"June","Guma","Benue",2.90258290808066,3.14613025117664,4.00592806879211,5.18636540205386,6.67383087601504,8.30844897221822,10.2329744029888,12.9654983391842
"June","Gwer East","Benue",3.38205909459181,3.60713618631342,4.2491169453577,5.27103517804902,6.75635258076252,8.37009839046126,10.2015449373609,12.8338750872507
"June","GwerWest","Benue",3.36343584707985,3.67967791483445,4.62765282259791,5.81288144333781,7.25314836735511,8.75620278407883,10.6219846730339,13.32714393835
"June","Katsina (Benue)","Benue",3.24809574161953,3.60090035119759,4.17003371439565,4.92179611980036,5.94931052325111,6.93844709090605,8.14235441469359,10.1223753040187
"June","Konshish","Benue",3.93232734018282,4.19224859183325,4.57484848291201,5.23468719753893,6.22499638769085,7.18536700277021,8.3897386515104,10.3309136083595
"June","Kwande","Benue",5.42363253904812,5.84589091733087,6.34680758748519,6.99437885054283,7.75466181845555,8.35682990706032,9.25418829813178,10.8736085670059
"June","Logo","Benue",3.0652460783313,3.33129421361373,4.24651355674252,5.46129950336607,6.86845761967068,8.43420920744485,10.3965767350274,13.1704093470045
"June","Makurdi","Benue",2.97335814671946,3.15179759123568,3.96220481656364,5.12294247852431,6.53395544214364,8.18942546009647,10.1383258030709,12.8674129374954
"June","Obi","Benue",4.23988564757519,4.42378343436593,4.74314114739884,5.34559185407453,6.28678400033343,7.19570901919661,8.34879650572356,10.2353594573113
"June","Ogbadibo","Benue",3.36508873068357,3.71232349210764,4.27969458649753,5.10066876530423,6.46424324852359,7.76600987492198,9.21997585308507,11.4189246218824
"June","Ohimini","Benue",3.37446495250404,3.67636588953663,4.33623208697467,5.31190125851576,6.86188391762348,8.394561917822,10.1103958282376,12.6245757221249
"June","Oju","Benue",4.54507094548367,4.71594258930642,4.97740965840908,5.45288044905173,6.11354415101919,6.7435210908595,7.69308121181358,9.33457444487652
"June","Okpokwu","Benue",3.64594671400181,3.92033683769336,4.40165569791775,5.1601823729971,6.41335230831272,7.62688942384305,9.01061501368919,11.1385194333142
"June","Oturkpo","Benue",3.39379145476387,3.68724704550423,4.34872648317111,5.37742752970809,6.90341655156735,8.4671430472521,10.2160311554332,12.7673926047249
"June","Tarka","Benue",2.74103166412736,3.03124609345661,3.90305195861252,5.12842807690615,6.56594117634134,8.05449621540839,9.79586618743501,12.3275682901807
"June","Ukum","Benue",2.62407848229443,2.91658746729358,3.72710636767307,4.83911808345806,6.28697487589996,7.8350073642119,9.62275257494464,12.1902197227016
"June","Ushongo","Benue",3.79908958133179,4.10713718864929,4.54383216112731,5.18563148329787,6.12763452253764,7.02618278725139,8.16300353471399,10.0473792045556
"June","Vandeiky","Benue",4.6436015694576,4.95568780587792,5.30459480653984,5.8055208375612,6.42596073145256,6.94472323215531,7.74892506161026,9.20905237394348
