"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Ado","Benue",5.35657292655382,5.34764363318811,5.64138602140237,6.24227663942139,7.55104741761957,9.34142433948938,10.755285913268,12.7585886581719
"May","Agatu","Benue",5.41801872625288,5.32373301527859,5.51393837252532,6.06234390138397,7.34096631275569,9.10402292638745,10.6614640247014,12.8802050414715
"May","Apa","Benue",5.49656151677858,5.33539599734863,5.48600503260375,6.04138273715171,7.32758217780197,9.16258633896436,10.7670987236123,12.9363474470706
"May","Buruku","Benue",5.33465212453886,5.25131990705818,5.46093648902367,6.06663389077548,7.38999308879906,9.17888962029037,10.7009642147876,12.9240221561971
"May","Gboko","Benue",5.31692816611719,5.18502050875678,5.32930266621054,5.8752269782964,7.11087615995028,8.79424391152586,10.2138028247567,12.3587290828352
"May","Guma","Benue",5.34960388363917,5.19068280496791,5.23906879331577,5.73862396406128,6.95627658633299,8.65559809375512,10.335492244026,12.7420973016361
"May","Gwer East","Benue",5.55030747789831,5.38189606906065,5.45752473723945,5.97134359921752,7.18674461993689,8.85855827645428,10.3660754156407,12.6245390208171
"May","GwerWest","Benue",5.70346530818541,5.52631922953921,5.55583667099537,6.0492355031467,7.27012152060516,8.97417019603615,10.6513402857288,13.0234120549192
"May","Katsina (Benue)","Benue",5.21327406137966,5.22047542186622,5.52615050569642,6.18084005188533,7.54771042696153,9.39800168910121,10.9151842372469,13.0699604850029
"May","Konshish","Benue",5.46553354876857,5.40693011657354,5.65643342273872,6.23412048784077,7.50850547236201,9.22125604563348,10.6066942726288,12.6420074736439
"May","Kwande","Benue",5.78163771720161,5.90319058573266,6.14768007214826,6.49996536755034,7.24153517921903,8.2325023417619,9.00909272963926,10.2866909640493
"May","Logo","Benue",5.4872650572211,5.33384216542109,5.40307884507509,5.91417060054574,7.15365568481396,8.87747888014716,10.5448545872566,13.0292319101556
"May","Makurdi","Benue",5.38270950590562,5.20996422930882,5.22467360215953,5.69541147769364,6.87192575640617,8.51369095789546,10.2056425093028,12.6160338707247
"May","Obi","Benue",5.52593217903148,5.481839815216,5.75107093616332,6.34459774610971,7.66589305742461,9.449521428129,10.8916686978693,12.9520570226291
"May","Ogbadibo","Benue",5.05875023088755,4.95461502487268,5.1644582955597,5.69480914038471,6.88217802920436,8.53416649721376,9.93779482485386,11.9407931198273
"May","Ohimini","Benue",5.4858937309561,5.29929036264168,5.37774903784382,5.88847907496093,7.11099266834878,8.79657387420979,10.273259121832,12.4064269892237
"May","Oju","Benue",5.49981062593094,5.49194949302457,5.7444268788704,6.29874137302988,7.51495515565825,9.20883531757069,10.5701339891986,12.5023371120398
"May","Okpokwu","Benue",5.30840863528282,5.18301373617244,5.33783877897086,5.85470144046256,7.08025957120352,8.80045002921025,10.2315102417592,12.2543095340428
"May","Oturkpo","Benue",5.56196355983702,5.38566796645022,5.48709873028445,6.02043586508492,7.25698305374943,8.95827425937616,10.483051893275,12.6987087306733
"May","Tarka","Benue",5.21048850669004,5.06613009427672,5.18168793886224,5.71326449616078,6.95001709242564,8.62911509620673,10.1497713828799,12.4504255990538
"May","Ukum","Benue",4.93047688306404,4.82664052474779,5.01753776624009,5.62586380064094,6.91707259780274,8.66939495213659,10.2008640454532,12.4521003174822
"May","Ushongo","Benue",5.3145596381613,5.28792437892899,5.54094961433328,6.11118725135663,7.33973232736328,9.01011171170099,10.3580680616849,12.2938058763109
"May","Vandeiky","Benue",5.33420951034505,5.328012902031,5.47857390287413,5.80100624611249,6.55351878995299,7.65027613955893,8.56232462846475,9.93791161359255
