"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Ado","Benue",16.2947849663349,18.9139945637934,21.9036712461836,25.3084939221889,29.8605369462722,32.5817687303684,33.4627706806388,31.6342556156442
"September","Agatu","Benue",15.8214950403388,18.3032008060457,21.1337413741272,24.4180419196767,28.8614348692625,31.4468571361851,32.2785560651323,31.1047180022554
"September","Apa","Benue",16.4494262044922,19.021973994479,22.1178107820978,25.6679580996449,30.3293453505563,33.0101564969264,33.8302573984211,32.452873357777
"September","Buruku","Benue",17.1114879368697,19.78696062316,22.8048892578674,26.2896615822185,31.0778174153365,33.6741827032329,34.1921698393567,32.4855549541086
"September","Gboko","Benue",16.4318594107326,19.0579846965979,22.0257044421404,25.5217123069305,30.2969608061652,32.87353496644,33.3265744098987,31.4595429391582
"September","Guma","Benue",15.2647214428305,17.7773614384989,20.7337613815607,24.1772342748485,28.764746019594,31.2208816667406,31.6535128066914,29.974172449425
"September","Gwer East","Benue",15.5279665428582,18.1790355203452,21.256084560033,24.8388213961948,29.6134526405101,32.3026996757627,32.851305724018,31.0260443066005
"September","GwerWest","Benue",16.0162223430692,18.4591181861377,21.5649309769619,25.439765613646,30.6201029364809,33.5974193489258,34.2281413346026,32.51516095309
"September","Katsina (Benue)","Benue",17.6279484148233,20.5000704683324,23.7944409984762,27.6457094351325,32.9288417946685,35.6854795866858,36.1288173491655,34.116881831049
"September","Konshish","Benue",17.7012012537169,20.4901847210404,23.6494702157958,27.3304584104559,32.3328154987926,35.1935199525961,35.8683960279583,33.8937950885303
"September","Kwande","Benue",19.6371713359389,22.2657449268476,25.2073375530408,28.6214678809562,33.3572067071236,36.1949131010239,37.1399357966684,35.1396615832697
"September","Logo","Benue",15.8595546423252,18.2943509301607,21.2473249115292,24.6895671553037,29.2692191862794,31.812968046582,32.2816851146761,30.8154083174622
"September","Makurdi","Benue",14.5513100393158,17.1795908957709,20.3551991677556,23.9946611404072,28.7408361937669,31.346927475329,31.7930258758433,30.0421906868962
"September","Obi","Benue",18.2729491644854,20.8583099435784,23.7492613865307,27.1274328454332,31.786668934228,34.5974970962895,35.3988210354538,33.4730256977266
"September","Ogbadibo","Benue",14.5090678831523,17.2642407276335,20.5704265281978,24.2660240018121,29.059847116672,31.838256684082,32.4533582531949,30.6578928329131
"September","Ohimini","Benue",14.9052042069259,17.4258126445975,20.3058766322401,23.6444791456123,28.0863783792053,30.6357071667317,31.1849761012701,29.4539672815347
"September","Oju","Benue",19.9114197702874,22.5245574042105,25.3389548887262,28.6428415727926,33.2288491287766,36.0954738585087,37.031588736436,35.0415007872823
"September","Okpokwu","Benue",14.0380924353184,16.686550640924,19.7960825738284,23.3012046560026,27.9001994489473,30.6337828936922,31.3043940604059,29.586951018209
"September","Oturkpo","Benue",15.6456785423995,18.2862209373553,21.2802403656256,24.7696364855685,29.4472262818639,32.0755052869293,32.6517372764096,30.8713573219493
"September","Tarka","Benue",15.6488726577898,17.9799409006657,20.6544417280397,23.8032044544265,28.0594337639519,30.3457958706635,30.8259945701236,29.4198301786189
"September","Ukum","Benue",15.3117230465244,17.8453036161623,20.7818583185211,24.1258797186123,28.5928338228894,30.9576687206291,31.3448155335338,29.6663348175624
"September","Ushongo","Benue",18.1188325639288,20.8427620589703,23.9251048493063,27.5344790814813,32.5536480477094,35.3976333673551,35.9625845293808,33.9640775241736
"September","Vandeiky","Benue",19.0736406403669,21.6314785538072,24.4605484271177,27.7727886059096,32.6038391762985,35.4697636064809,36.1722208637901,34.1744665764051
