"STATE","LGA","September","October","November","December","January","February","March","April"
"Cross River","Abi",8.4,8.8,9.3,9.6,10.1,10.4,11,12.2
"Cross River","Akamkpa",8.3,8.8,9.7,10.5,11.7,12.2,12.6,13.4
"Cross River","Akpabuyo",7.4,7.7,8.4,9.1,9.9,10.3,10.6,11.3
"Cross River","Bakassi",7.2,7.5,8.3,9.1,10.1,10.5,10.9,11.5
"Cross River","Bekwarra",9.3,9.7,10.1,10.4,10.9,10.9,11.4,12.5
"Cross River","Biase",8.4,8.9,9.6,10.3,11.2,11.5,12,12.9
"Cross River","Boki",8.9,9.4,10.1,10.5,11.2,11.4,12,13.1
"Cross River","Calabar",7.7,8.1,8.8,9.4,10.3,10.7,11,11.7
"Cross River","Etung",8.4,8.8,9.6,10.1,10.9,11,11.3,12.2
"Cross River","Ikom",8.9,9.4,10,10.4,11.1,11.4,12,13.2
"Cross River","Obanliku",8.7,9.3,10,10.4,11,11.2,11.6,12.6
"Cross River","Obubra",8.9,9.3,9.8,10.2,10.9,11.2,11.7,13
"Cross River","Obudu",8.8,9.4,10,10.4,10.9,11.2,11.7,12.8
"Cross River","Odukpani",8.3,8.7,9.5,10.3,11.4,11.9,12.3,13.2
"Cross River","Ogoja",9.2,9.7,10.2,10.5,11,11.3,11.9,13.2
"Cross River","Yakurr",8.6,9,9.6,10,10.7,10.9,11.3,12.4
"Cross River","Yala Cross",9.3,9.7,10.1,10.4,10.9,11.1,11.6,12.7
