"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"February","Abi","Cross River",19.8404530416634,20.9543621920788,21.7505168998666,22.8297266670815,23.3700420158846,24.5501792026071,26.8057304067393,31.531981083369
"February","Akamkpa","Cross River",19.9063850909918,21.9879838761205,24.4229920870625,27.2463687196183,28.5414423170553,29.2927428669511,30.7437406330992,33.905963439639
"February","Akpabuyo","Cross River",17.8824802404432,19.6024240421198,21.4333340301815,23.3670177027566,24.1443518141944,24.7284131266025,25.9131239174147,28.3828736271187
"February","Bakassi","Cross River",17.5116733110869,19.4696884658392,21.9427600212713,24.4709403880986,25.5085371479371,26.2076923159359,27.3917646392123,29.9358493435259
"February","Bekwarra","Cross River",21.9337915185159,22.8014718524625,23.5206617708487,24.5180975110107,24.7504821669547,25.6897192760206,27.9188375212141,32.4726903850732
"February","Biase","Cross River",20.1178634933622,21.8607084207239,23.7153971812271,25.9346803385764,26.7824997551008,27.4996274560972,29.1316856205396,32.8995739277201
"February","Boki","Cross River",21.2666458761143,22.7203659617268,23.8652651159165,25.420454612937,25.7330317168529,26.1987235211215,27.9828024085173,32.2858416545889
"February","Calabar","Cross River",18.6389232670926,20.3728864526642,22.1351326639606,24.1008590862856,24.8454972383616,25.4276377037406,26.6661963810287,29.2691193698898
"February","Etung","Cross River",19.965191318335,21.5532782373091,22.9945761290193,24.8888203683022,25.4251051516165,25.6795005923625,27.0006571600313,30.6968592390989
"February","Ikom","Cross River",21.3419038833923,22.6416410558109,23.7177148221877,25.2594810216172,25.5824503368167,26.2063179856437,28.1551816427075,32.7858894187418
"February","Obanliku","Cross River",20.822442781682,22.3124697644385,23.3740448303248,24.717818008519,25.0293191080797,25.5972445367404,27.2561211092288,31.2343785914206
"February","Obubra","Cross River",20.9971587555464,22.1571203156842,23.1253870746056,24.5904045486481,25.0336233257785,25.9657189308726,28.1897433675114,32.9799426985073
"February","Obudu","Cross River",21.1207490674768,22.4203264562398,23.3091931138473,24.4817003957302,24.8808369100064,25.7940864678254,27.8069686329548,32.1965618558374
"February","Odukpani","Cross River",19.9114092429674,21.7908470986807,23.9681589290273,26.5786744215475,27.7835814213547,28.5804888345251,30.0891028948521,33.2394912129526
"February","Ogoja","Cross River",21.8654948852164,22.8281294090499,23.5746882248992,24.7467303444361,25.4260803655122,26.6877473452388,29.167675789958,34.1024769002925
"February","Yakurr","Cross River",20.3857029342258,21.7363859634751,22.8845273292727,24.406733800965,24.6726836701393,25.2535157898732,27.181303361414,31.7800129666134
"February","Yala Cross","Cross River",21.9507042794165,22.8161761302844,23.5315650514856,24.5970626673532,25.0158924843252,26.0665269475736,28.4177026296369,33.080833312471
