"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","AniochaN","Delta",8.04224770961526,8.7982107791824,10.0023946215536,11.5240469419109,12.5118227317931,12.7535158093132,12.1917061157068,11.0503890279988
"October","AniochaS","Delta",8.2253504050211,8.94456577611558,10.0904951732256,11.5559116500878,12.5419863488542,12.8549149751915,12.3018958525751,11.1567382976996
"October","Bomadi","Delta",9.62427482716184,10.2624999805189,11.3013801624033,12.7490516937025,13.8300185208731,14.8163227703278,15.1764782635755,14.9806316326047
"October","Burutu","Delta",9.32908298072885,9.97101879192446,11.0157733001654,12.456682225427,13.542033524411,14.4692287237737,14.7343070905132,14.4639919206882
"October","Ethiope West","Delta",9.38597464489494,10.0409924230182,11.0964535546244,12.5422822696513,13.6216565571273,14.2355102667897,13.7992934268541,12.7712174649198
"October","EthiopeE","Delta",9.32157528787064,9.9584132185057,10.988064337034,12.3961091456155,13.4435949168065,14.0441983663903,13.5698967606695,12.4849753986018
"October","IkaNorth","Delta",8.63677712887097,9.35608512247654,10.5204272627576,12.027866334586,13.050667442957,13.3463862779074,12.7700001358588,11.5922735992796
"October","IkaSouth","Delta",9.02751081988695,9.74571815816726,10.9159741844396,12.4441565222229,13.5238983482571,13.8733634552477,13.2702359487066,12.1444129898318
"October","IsokoNor","Delta",9.38255567129398,9.97277831805948,10.958959477844,12.3016960689697,13.2644965941704,13.9332253252245,13.6429998620327,12.7932576268933
"October","IsokoSou","Delta",9.49362312465191,10.0795019322398,11.0645962834735,12.4120435338955,13.3756141703005,14.1649262500992,14.1535035087904,13.5833097354839
"October","Ndokwa East","Delta",9.31658768842502,9.92566309373525,10.9308086461172,12.2773209282972,13.2163435698902,13.9059605836457,13.6889125263061,12.7792845335183
"October","Ndokwa West","Delta",9.04269342600471,9.63995210850306,10.6237477820069,11.9437088470742,12.8807179315785,13.4673053730719,13.0250286748149,11.9458166255044
"October","Okpe","Delta",9.30858487595534,9.96362629732119,11.0107022339842,12.4425373406396,13.5248734659236,14.3311755815303,14.1752309887255,13.2922901760456
"October","Oshimili North","Delta",7.2769791348784,8.01361861354327,9.16297380861302,10.5821366579521,11.5368309675694,11.8395638910037,11.31952413086,10.2684474193393
"October","Oshimili South","Delta",8.56429621364451,9.31335034821316,10.5053750961014,12.0234422140968,13.1028928004924,13.5836999272326,13.0384711544477,11.8240192785771
"October","Patani","Delta",9.57051220554692,10.1538519738698,11.1393251508779,12.4925788548148,13.4591247450939,14.357862255813,14.6933604360055,14.4816005635749
"October","Sapele","Delta",9.32327340059959,9.9780589947006,11.0272702650785,12.4695379715039,13.5753586739012,14.3735499605273,14.2540750769878,13.4367243280871
"October","Udu","Delta",9.36516208752122,10.0168603329993,11.0654889074562,12.5079109500704,13.6245525418874,14.4595404856451,14.4425543416161,13.7609101675546
"October","Ughelli North","Delta",9.34128666524093,9.9433247809694,10.939732898291,12.2968095930675,13.2806057091924,13.9922389825419,13.8213828694106,13.0908858433807
"October","Ughelli South","Delta",9.51073569300237,10.1468909334465,11.1856860722278,12.6289941296032,13.7261818844275,14.6252655530686,14.7553855678803,14.3397446103656
"October","Ukwuani","Delta",9.12368779975127,9.71711612848018,10.6972466905065,12.0214982744773,12.9742313929414,13.5281817612892,13.0362899523068,11.9353956291552
"October","Uvwie","Delta",9.46574310656448,10.1255392414337,11.1886525461871,12.6452278235043,13.7624185316637,14.5815091030786,14.5847782183435,13.8833436770805
"October","Warri North","Delta",9.39161089532657,10.0391278377003,11.0921003104636,12.5337076994519,13.6110274144556,14.4639225918889,14.3964964211771,13.6135491108401
"October","Warri South","Delta",9.60991662564133,10.2745443960199,11.3443415659218,12.8055893980723,13.8929725243125,14.8415693347863,15.1055857833517,14.6798140457028
"October","Warri South-West","Delta",8.27595871742392,8.95810853963864,10.0224172266147,11.4288285568965,12.4728323398497,13.2231371868117,13.1992430273207,12.5534174121321
