"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","AniochaN","Delta",9.40611312193924,9.78371827738796,10.2131912743511,10.9975413794523,12.0511553544963,12.9229996434599,14.3423823330383,16.9518572985768
"June","AniochaS","Delta",11.018982200747,11.397165197093,11.8600217230936,12.7708634143761,14.0158976543607,15.0751399920551,16.7783360605282,19.872863632686
"June","Bomadi","Delta",22.3289625060802,23.5024764134817,24.706463658834,26.6202306335567,29.4252000119765,31.6528417305003,34.7249025929743,39.9243512348911
"June","Burutu","Delta",21.7325107985184,22.8075923929035,23.9415796266117,25.8422174111054,28.6664827010894,30.9754973300164,34.1468744603483,39.4404299618106
"June","Ethiope West","Delta",16.6235523875773,17.5058014621204,18.4161473757206,19.93071734526,21.9787536440082,23.7210048633446,26.2575293442281,30.710046521833
"June","EthiopeE","Delta",16.4576914542005,17.3608461160416,18.2844281380816,19.8326025742972,21.8126436387341,23.5293699094833,26.0714746364197,30.5983281996363
"June","IkaNorth","Delta",11.810134591441,12.479254911268,13.2195609449651,14.3987479359522,15.8474330201911,17.0651929567562,18.9932410344068,22.5493873051362
"June","IkaSouth","Delta",13.7340248093164,14.7775965305892,15.8926706174909,17.451226127399,19.3212370667179,20.8953409513591,23.2797439939827,27.6218092705223
"June","IsokoNor","Delta",16.6319754648871,17.486374778985,18.4168756765103,19.9638394907251,22.0649238280801,23.7635607646406,26.1757937246384,30.1883622693729
"June","IsokoSou","Delta",18.3857727418259,19.3375977884557,20.3774970092473,22.0789274614025,24.4340324573118,26.2924531975876,28.8734151105783,33.0692011756185
"June","Ndokwa East","Delta",15.6846567719212,16.422881034615,17.2380581398728,18.6317634087506,20.5256283659361,22.0241993333229,24.203647276234,27.8841980378484
"June","Ndokwa West","Delta",14.2906199944751,14.9251793179404,15.6298847023374,16.9018391679012,18.5756886769355,19.9811799886788,22.0912217279092,25.7802013015052
"June","Okpe","Delta",17.871111551417,18.8232213890342,19.7941741822896,21.4420996022247,23.5603230526004,25.3982373287356,28.1068762278645,32.9406009793969
"June","Oshimili North","Delta",9.73692143262963,10.0889712603653,10.5392853244255,11.4066050986871,12.7618725131292,13.9477960735829,15.6099022699201,18.53677008365
"June","Oshimili South","Delta",11.2051398963324,11.5504033661869,11.9991583241442,12.9081957126658,14.1626874678997,15.2279584341523,16.928626886716,20.0402846812756
"June","Patani","Delta",21.3678218704919,22.4638564776403,23.6511558701338,25.5906583669315,28.2605972830738,30.3222371862133,33.1909168629842,37.8722958308297
"June","Sapele","Delta",18.4226429891334,19.388441461792,20.3855400796753,22.0459389553719,24.2713356613688,26.1587282109615,28.890447389268,33.7264568729707
"June","Udu","Delta",18.6920855233348,19.6435895194855,20.6337794780766,22.2391681155017,24.6202013153821,26.5628399189651,29.2515939617092,33.8237186925131
"June","Ughelli North","Delta",17.8057894161355,18.7515648569422,19.75929425693,21.4131175682322,23.6244261012728,25.4214621888033,28.001567257475,32.3882020339348
"June","Ughelli South","Delta",20.4591613607775,21.534655313724,22.6461723924652,24.4181075389013,27.0212722739533,29.1139967501046,31.9988026267172,36.8837511186073
"June","Ukwuani","Delta",14.6475372128384,15.3800580126476,16.1666406280916,17.5223191481274,19.2554653007592,20.7288481065621,22.9596955445115,26.9123542155925
"June","Uvwie","Delta",18.7391812601725,19.6739475654557,20.646196044993,22.233725421776,24.5798290754905,26.4814855904658,29.1414065270973,33.6770807236791
"June","Warri North","Delta",17.7972638419076,18.5555258986213,19.4083779072026,20.9079753358273,23.1479326248802,25.0482454272764,27.6947793985114,32.2292536153157
"June","Warri South","Delta",21.4188366312359,22.4990384386152,23.6059887572312,25.4234714685136,28.0279600974644,30.1188522668685,33.0667076909645,38.1689847097903
"June","Warri South-West","Delta",16.6018172803979,17.2373702699121,18.0426381304273,19.6154384116344,22.2019399266818,24.5373161865586,27.5914976104589,32.6287597572611
