"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","AniochaN","Delta",18.0930610774964,18.5717374221171,19.3422271461414,19.5359900655034,20.6757383873613,22.8186524944512,26.2592360929048,31.9927772669655
"March","AniochaS","Delta",18.5114639407105,19.0293043311142,19.8191623218182,20.030662517518,21.1851096455895,23.3455937976394,26.8383779867167,32.5821333999569
"March","Bomadi","Delta",20.1589044663482,22.1414507599683,24.9722505196589,26.2022858733962,27.1941470184228,28.7798417512745,31.2385352997108,35.1147090099181
"March","Burutu","Delta",20.2385965145553,22.1270682950564,24.7898849907993,25.8412196274979,26.6126611221929,27.9676998679162,30.336808845205,34.1276468201873
"March","Ethiope West","Delta",18.6954402908989,19.5329502506157,20.8572076097754,20.9682209238254,21.0849287617346,22.3323105268689,24.8893143952354,28.4311419142621
"March","EthiopeE","Delta",18.0702032155855,18.7944652660125,19.9558198289169,20.129685994575,20.4763897861561,21.8879837342889,24.5453982218967,28.3303263861538
"March","IkaNorth","Delta",18.3368509668549,18.8413322026672,19.6327191248826,19.9813991989758,21.221932219503,23.4544534401507,27.0337118011923,32.7041553775611
"March","IkaSouth","Delta",18.1369189944111,18.6291374804009,19.4013044830416,19.8715808539309,21.1624442571422,23.4964890076434,27.2256784781767,32.6689106463436
"March","IsokoNor","Delta",17.7037136810353,18.6032149797008,20.05305005787,20.507674880134,21.1498360891242,22.7355362353249,25.6720437760867,29.6332128693677
"March","IsokoSou","Delta",18.3016243867126,19.5422705064398,21.4781825655663,22.197210003946,22.8294726926562,24.2773113556677,26.7894146420552,30.3892222113115
"March","Ndokwa East","Delta",17.8998720434365,18.8308902207031,20.221263374896,20.7019551564401,21.5044641246361,23.3837649166817,26.7288756799686,31.325870304483
"March","Ndokwa West","Delta",17.3774475731455,17.969716176378,18.9232124325305,19.4455423375761,20.6522237316431,22.9177368980114,26.6297663496279,31.4177455055281
"March","Okpe","Delta",19.0708387022583,20.2745872148147,21.8856323173059,22.0967539322003,22.1010343743296,22.8171672328906,24.9524238881737,28.4522946470576
"March","Oshimili North","Delta",18.4615941310451,18.9743595953345,19.7317287489641,19.728330002774,20.7149113129132,22.7914867178184,26.104460109115,31.8234776632922
"March","Oshimili South","Delta",18.7483334459807,19.2967796158662,20.0927065703549,20.1360176881016,21.1630717361036,23.2624880606453,26.6631956325798,32.4055344310117
"March","Patani","Delta",19.2698744378575,20.9739657589591,23.374531311495,24.376924153297,25.1963464770885,26.7296938018504,29.2236131121277,32.901292326134
"March","Sapele","Delta",19.4528378745819,20.7910529063865,22.5846387952384,22.9377652980308,23.0791144545761,23.9566649089321,25.9438791516432,29.2484012364137
"March","Udu","Delta",19.4548397683952,20.9794127987246,23.0442533787238,23.5942120207394,23.9806073394782,25.0759084637069,27.0888193900746,30.4082752236326
"March","Ughelli North","Delta",18.202195319556,19.3032877784344,20.9745576535001,21.49717601055,22.0998917737766,23.5979468837406,26.1759401211986,29.8288867034112
"March","Ughelli South","Delta",19.7433112712091,21.515806285652,24.0475037943193,25.0339242399749,25.8049637840712,27.2200836230265,29.5198486772051,33.1874951295308
"March","Ukwuani","Delta",17.4096355141891,17.9472233018414,18.9006669653517,19.6543789744732,21.0246411275563,23.3287973310951,27.1248796981967,31.9109494667038
"March","Uvwie","Delta",19.6301143555631,21.1582708637121,23.2100627714707,23.7232909045514,24.0701924985671,25.1223606658058,27.1095313732146,30.41917843849
"March","Warri North","Delta",19.7172076255681,21.0325963181635,22.8704710583,23.3310626297178,23.864734776989,25.2964116504183,27.9203026170585,32.060134742547
"March","Warri South","Delta",20.7444491739667,22.7101122094361,25.3650880609528,26.3244866165953,26.9468155364728,28.1060027099952,30.3572329034176,33.9670836140644
"March","Warri South-West","Delta",19.1462230293043,20.4421875674217,22.2345246038602,22.6412400787126,22.9620402311085,24.0466113805268,26.3210453437701,30.0338875055783
