"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Abakalik","Ebonyi",5.71374488554914,6.04740226808315,6.45384903102581,7.09030490258077,7.95897131249523,8.77939424604604,10.010464208302,12.0168673841954
"June","Afikpo","Ebonyi",5.07725076369305,5.30939490419161,5.58644585607335,6.06385760333318,6.65828255677713,7.13725987760839,7.90453035502179,9.26855619761397
"June","AfikpoSo","Ebonyi",5.34485867658515,5.60752312368365,5.92337259347553,6.44324542438806,7.08442322856713,7.59378032740339,8.40273488472205,9.86070255174416
"June","Ebonyi","Ebonyi",4.91226691708931,5.22390729198796,5.59552820022609,6.14964422849851,6.85414898939449,7.48350794095454,8.47753369990799,10.2378874413335
"June","Ezza North","Ebonyi",4.73341080590922,4.94958439456493,5.21891650176207,5.68717268284056,6.3233246184266,6.90337302533194,7.83377136444093,9.42539681679691
"June","Ezza South","Ebonyi",5.27789023914863,5.56154886429173,5.90660656212837,6.46633758739074,7.23074485692679,7.9414150036462,9.03695899140848,10.8565213268303
"June","Ikwo","Ebonyi",6.13801340105996,6.5189555832851,6.97407973006509,7.66751811785046,8.60165803347315,9.45934913256609,10.7295493928737,12.7954404783153
"June","Ishielu","Ebonyi",4.12025565151881,4.29156878847725,4.52454994679633,4.94413526973897,5.51486365060261,6.01154694637308,6.76343312379901,8.11848753282729
"June","Ivo","Ebonyi",5.41944796606514,5.70326034950121,6.03779075521916,6.57596853872585,7.23725708445782,7.76500620500993,8.59667802619481,10.1066493647959
"June","Izzi","Ebonyi",4.99663099498939,5.29069073325442,5.66357531172771,6.22704005290827,6.94428806999413,7.58884982688506,8.60222178624501,10.3793298626509
"June","Ohaozara","Ebonyi",4.71158618866589,4.92959852876595,5.19943308927154,5.65135588720674,6.21107359773644,6.66880544595692,7.42090416379936,8.79132338542566
"June","Ohaukwu","Ebonyi",4.51880311573803,4.78159224710968,5.10285669008731,5.59803568801814,6.23361332455618,6.78946678851271,7.65919456528649,9.23964383358878
"June","Onicha","Ebonyi",4.7280110443792,4.93795162223956,5.19531743426517,5.64660966582704,6.25373139512562,6.79301307412128,7.66765446802385,9.18738458444078
