"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Abakalik","Ebonyi",7.95812643445785,8.18256088935418,8.58984719905911,8.83421419791057,9.40704730960193,10.479615007399,12.2253139119477,14.5190900994331
"March","Afikpo","Ebonyi",7.26309208102269,7.48021474095469,7.79431942947807,7.99003440182755,8.46921352457169,9.39712674216541,10.9486044417608,13.0840102790937
"March","AfikpoSo","Ebonyi",7.40213514452881,7.64379551532818,7.97838156631663,8.14616550718601,8.61528588610532,9.53096613081788,11.0580802330002,13.2274329542544
"March","Ebonyi","Ebonyi",7.88192428767363,8.08812711393707,8.41524664386313,8.60244741169527,9.10036745933191,10.1483278333938,11.826334242326,14.1290579921887
"March","Ezza North","Ebonyi",7.4910048451009,7.68500831271901,8.00594497933048,8.20493379461047,8.73162951325751,9.76670960618863,11.3844164224266,13.6338277354667
"March","Ezza South","Ebonyi",7.69743764719479,7.89706266495291,8.26840961850655,8.56764325101734,9.14731193467988,10.2473414757071,11.9764118934408,14.2242554186573
"March","Ikwo","Ebonyi",7.92533081922494,8.18230861509755,8.63069564903964,8.75799577114673,9.19795279498892,10.2080604764957,11.8831126979169,14.086679629705
"March","Ishielu","Ebonyi",7.46492944095586,7.66577509291921,7.97217311404905,7.98705368775021,8.38498992945358,9.2834359714734,10.7129926436209,13.0598499002019
"March","Ivo","Ebonyi",7.4751891962484,7.74406138553027,8.07941855879216,8.23706258650037,8.70445154640855,9.58136071117356,11.1180774751913,13.3698295660468
"March","Izzi","Ebonyi",7.89538880490369,8.09990402229619,8.44185335216029,8.64520194396298,9.15854264942901,10.2113184010433,11.8874534307527,14.2177059818052
"March","Ohaozara","Ebonyi",7.27840309310266,7.48769533520807,7.78641954724309,7.9557882195548,8.43701679917074,9.38721633591136,10.9333926977284,13.1118084801793
"March","Ohaukwu","Ebonyi",7.73634370909799,7.94497008086893,8.26047555608068,8.32880606081273,8.76431239627586,9.70842052794991,11.2466907227917,13.6424243222989
"March","Onicha","Ebonyi",7.45232829980268,7.649102941929,7.95695585681507,8.13090153984795,8.63444428408687,9.63046978837157,11.2246596017992,13.4670803073688
