"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Akoko-Ed","Edo",7.66505839636128,7.85325545934887,8.17229129872539,8.14456931139957,8.48158773782885,9.36206779386028,10.8465789656015,13.086218929457
"March","Egor","Edo",7.75569948040019,8.06490780133299,8.52465118630116,8.67003496941297,8.91895711032299,9.49883990792472,10.8928932379043,12.7922612673175
"March","EsanCent","Edo",7.24964515163803,7.43913909452075,7.73950215349428,7.79541308389574,8.23223529489817,9.11024080679328,10.5584492006447,12.824263649361
"March","EsanNort","Edo",7.09977276144849,7.28543960495306,7.57173898380727,7.54891125364343,7.89917192813162,8.7358537528684,10.1085983231083,12.3267962301811
"March","EsanSout","Edo",7.29575448831321,7.48910365688684,7.7836677687491,7.75735474066376,8.12691087099105,8.9692079465279,10.3592146345625,12.6215662770907
"March","EsanWest","Edo",7.15751078243442,7.34269047987642,7.63915642047884,7.70620056824573,8.15644135588852,9.04752978630522,10.493398073399,12.747980197402
"March","Etsako Central","Edo",7.57738003182407,7.77879968711817,8.10012103661419,7.9678915907829,8.12780451752883,8.92109487164335,10.2043550702088,12.4218580084411
"March","EtsakoEa","Edo",7.7421799776311,7.93196604053853,8.25509817641149,8.1557137943749,8.36514551975899,9.21107806198165,10.6089568560895,12.8773255075287
"March","EtsakoWe","Edo",7.37707637100118,7.56231469524048,7.8604098446764,7.77779766442113,8.0541483816133,8.87566280335318,10.2460796918067,12.4743887618436
"March","Igueben","Edo",7.06771098044563,7.24660356441559,7.54362180136989,7.60961115481405,8.06075242548124,8.93366681421658,10.3405500426401,12.6087670370927
"March","Ikpoba-Okha","Edo",7.59654036226726,7.87667820409022,8.31811784206056,8.40794252266243,8.57827476820779,9.18589953646514,10.3920806711282,12.0762960982786
"March","Oredo Edo","Edo",7.6880083058162,7.98895583558264,8.45369524117314,8.47953586056425,8.54504217615628,9.03223057175924,10.1095446748438,11.6965994611351
"March","Orhionmw","Edo",7.24896156412623,7.46354933048104,7.8271419221282,8.01321382824562,8.47699163747046,9.38739250574048,10.8297230511295,12.8165809502711
"March","OviaNort","Edo",7.36728863628853,7.62047851447605,8.00374142592265,8.1337780960278,8.49098626104302,9.27372808165535,10.5892715255649,12.4642065685228
"March","OviaSouth-West","Edo",7.55160549175969,7.82091213520797,8.20890552866794,8.31510095360395,8.65879539661429,9.4537900730328,10.8027158817027,12.7353118139239
"March","Owan East","Edo",7.35383310589236,7.53881770252481,7.84185072952426,7.80145844662623,8.14197688732096,9.01391123953496,10.4551268707318,12.5645545404778
"March","OwanWest","Edo",7.08444839205811,7.27680763892592,7.5637067662665,7.54047124588442,7.89185937163692,8.71100513436148,10.0133434418503,12.0538283931133
"March","Uhunmwonde","Edo",6.96059729654791,7.14301102917194,7.44156817228373,7.56234188396069,8.05036245493616,8.95595268736042,10.3339714931563,12.3879475784976
