"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Akoko-Ed","Edo",18.9407425503285,19.405786902824,20.1941404137154,20.1256379969339,20.958427379562,23.1341376220185,26.8024389529497,32.3367012856346
"March","Egor","Edo",19.1647212010429,19.9287904224839,21.0648393139095,21.4240899111679,22.0391889674636,23.4721083544774,26.9168838355234,31.6103172046049
"March","EsanCent","Edo",17.9142356519551,18.3824846595155,19.124696796392,19.2628555009606,20.3422650254581,22.5118605456265,26.090455897253,31.6893966907535
"March","EsanNort","Edo",17.5438934821773,18.0026855358193,18.7101456159369,18.6537371533156,19.5192487930096,21.5867314160255,24.9788518863168,30.4601298245891
"March","EsanSout","Edo",18.0281741283463,18.5059495913502,19.2338322399675,19.1688114319172,20.0820031077624,22.1633612962678,25.5981373227356,31.1885213490049
"March","EsanWest","Edo",17.6865670189346,18.1441553102986,18.8767374728242,19.0424069141636,20.1549744124683,22.3568984784495,25.9297113092726,31.5008964667902
"March","Etsako Central","Edo",18.7240849276389,19.2218029668534,20.0158040875255,19.6890585154041,20.0842113530396,22.0444714825743,25.2154715962395,30.6950322317583
"March","EtsakoEa","Edo",19.1313138337253,19.6002846844727,20.3987603488216,20.1531765715901,20.6706928366004,22.7610344450598,26.2152628392399,31.8205151953788
"March","EtsakoWe","Edo",18.2291245665625,18.686857727674,19.4234657466876,19.2193269186678,19.9022033583855,21.9322065702259,25.318575222439,30.8248383499537
"March","Igueben","Edo",17.4646672182302,17.9067197378491,18.6406666522751,18.8037296441032,19.9185222809854,22.0755373812699,25.5520161828657,31.1568937870078
"March","Ikpoba-Okha","Edo",18.7714310621805,19.4636656762171,20.5544850936237,20.776446370625,21.1973458659799,22.6988170495822,25.6793509423913,29.8411314736513
"March","Oredo Edo","Edo",18.9974529240871,19.7411093175165,20.8895036257009,20.9533570882473,21.115226469391,22.3190933543457,24.9811903687727,28.902882098438
"March","Orhionmw","Edo",17.9125464730341,18.4428035730852,19.3412590466749,19.8010520302863,20.9470701857714,23.19671625131,26.7607871454935,31.6704123571675
"March","OviaNort","Edo",18.2049385847008,18.830583433196,19.7776452505262,20.0989723641895,20.9816516003504,22.9158457761745,26.166619403247,30.7996776411484
"March","OviaSouth-West","Edo",18.6603947504128,19.3258649317056,20.2846160066149,20.547030211403,21.3963163648037,23.3607879599677,26.6940510794816,31.4695922577966
"March","Owan East","Edo",18.1716892963153,18.6287954838239,19.3776052451909,19.2777938945357,20.1192319874144,22.2738253684529,25.8351412539218,31.0476424972476
"March","OwanWest","Edo",17.5060261991952,17.9813555161679,18.6902976047828,18.6328814721427,19.5011791002834,21.5253292372639,24.7434723119842,29.7856126508027
"March","Uhunmwonde","Edo",17.1999839496347,17.6507374036353,18.3884870321217,18.6869249123611,19.89284814427,22.130606888102,25.5357602581638,30.6112378638466
