"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"April","Ado-Ekiti","Ekiti",6.35674216716258,6.57650825044038,6.62371849941272,6.94612590845618,7.71545512189487,9.22673916431394,10.8109766754567,12.2953000369064
"April","Efon","Ekiti",6.45496461101698,6.73615343801457,7.0946520666707,8.11108345879365,9.34410207048987,10.7789846612522,12.1418839491175,13.2806694472611
"April","EkitiEas","Ekiti",6.37857360326721,6.56867341073548,6.52251563960084,6.78859441999626,7.52378773257665,8.94993007146341,10.6346388677182,12.2358638375857
"April","EkitiSouth-West","Ekiti",6.4083487675574,6.66903507255568,6.73835828538672,7.05658606382684,7.83320404318523,9.33281954475654,10.9690305065054,12.4910040063592
"April","EkitiWest","Ekiti",6.44312764603553,6.6770575793951,6.92628927208689,7.70270477919666,8.79105067617413,10.245569475196,11.6860578529034,12.9491559192453
"April","Emure/Ise/Orun","Ekiti",6.17905983846085,6.36682994376339,6.38767277895485,6.66767901767137,7.37049651978654,8.77971109757824,10.3383865251775,11.8250999074064
"April","Gboyin","Ekiti",6.3382786955633,6.53350830424823,6.5427454661761,6.87593452799074,7.67120892784149,9.10379350464052,10.6978801884279,12.2242538605592
"April","Ido/Osi","Ekiti",6.23068243465978,6.44833053163163,6.54045616965984,6.88841942963029,7.67972784423376,9.19612958060827,10.7721627387712,12.2444765189542
"April","Ijero","Ekiti",6.30854108742522,6.52043316186791,6.58093759648653,6.90781426153803,7.67226703681636,9.17117891217842,10.7452941254582,12.2266818906524
"April","Ikere","Ekiti",6.27365175264583,6.4957108321284,6.52746871773518,6.84289421574733,7.58508481478069,9.04081159857475,10.6261432108492,12.1369206926757
"April","Ikole","Ekiti",6.37810083094679,6.57260288765171,6.582307229438,6.89693875487072,7.67873604656466,9.16277254977594,10.8100220651145,12.3773075146887
"April","Ilejemeje","Ekiti",6.13719151395456,6.34090800744414,6.41799049113304,6.74935948333599,7.52020561548623,9.02711510173908,10.6022601930798,12.0739629418065
"April","Irepodun/Ifelodun","Ekiti",6.35275231340816,6.57948584551507,6.75141595377134,7.33018273680985,8.30591646232883,9.76125252717824,11.2369150402746,12.6081220833102
"April","Ise/Orun","Ekiti",6.27149736695779,6.5045196511967,6.50384792875504,6.74483539197127,7.43262539560939,8.82427320055057,10.3687833342819,11.854429107887
"April","Moba","Ekiti",6.32567102732339,6.52632444216643,6.58479639046227,6.923822217263,7.72128593144989,9.28412285471547,10.9078243721829,12.4258639872014
"April","Oye","Ekiti",6.25614771092051,6.4488974381121,6.49802593447292,6.80587000854803,7.55732770066127,9.04212542162208,10.6100737325692,12.0800239875397
