"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Ado-Ekiti","Ekiti",7.42468740868586,7.62889175451114,7.93418220643705,7.91171171396209,8.26799721406575,9.12987678737994,10.5929757372728,12.6447166233649
"March","Efon","Ekiti",7.43929455501494,7.68342415328743,8.02297804847529,8.21616419089046,8.80641010023118,9.75057019320779,11.0774884745658,12.9680315841037
"March","EkitiEas","Ekiti",7.33099902548193,7.51988923934309,7.81900284220578,7.78505309282776,8.05894908923347,8.89855572557683,10.2818901397601,12.3875881421451
"March","EkitiSouth-West","Ekiti",7.46967277918318,7.68758429091697,8.01590379573007,8.088674886378,8.50322279943923,9.39006187980456,10.8609435423177,12.9433636585335
"March","EkitiWest","Ekiti",7.49637122450243,7.71442681983825,8.02662685822952,8.0912809921854,8.58878020991221,9.52514731499033,10.8995005657099,12.849866504485
"March","Emure/Ise/Orun","Ekiti",7.17728875757543,7.36923909575629,7.66531348066279,7.68190197545553,8.05498374451216,8.94354533694369,10.3636012257723,12.3162099392906
"March","Gboyin","Ekiti",7.25394292087058,7.45008329162252,7.74705136890952,7.76634214844835,8.11967725241408,8.97121790227041,10.3673630283028,12.4509518226838
"March","Ido/Osi","Ekiti",7.22292362448537,7.4211133526322,7.72849632293913,7.76164047786223,8.16960875306025,9.03914289109333,10.5077411882653,12.5498172068133
"March","Ijero","Ekiti",7.33934509043289,7.5495138737799,7.85732146577786,7.85103523010672,8.21587108686474,9.06540434192616,10.5021888869767,12.5619391560001
"March","Ikere","Ekiti",7.38042590251024,7.58608387000182,7.89249903888289,7.84190910406728,8.18524040582435,9.05058649888264,10.5005001716259,12.4869195194828
"March","Ikole","Ekiti",7.32709695717068,7.52242762206728,7.82331171260267,7.8442333860642,8.20872558471537,9.07660867574306,10.4943902102527,12.6153242837987
"March","Ilejemeje","Ekiti",7.10115012540285,7.29420502383105,7.58745430363774,7.62242407741549,8.02629753585392,8.88893524573426,10.3446166890066,12.3728328352005
"March","Irepodun/Ifelodun","Ekiti",7.37548492909263,7.57776947359867,7.88981129181445,7.91967807632854,8.3588392301512,9.25600168418582,10.6991761038549,12.7167090774368
"March","Ise/Orun","Ekiti",7.34594139559785,7.55357539874508,7.86740377460765,7.79374439591489,8.11856004810337,8.96844364017783,10.3709268823351,12.3580585307553
"March","Moba","Ekiti",7.36337008195948,7.56027318667741,7.860092539481,7.86837598783069,8.2634288893723,9.15809954612007,10.6601463025273,12.7442050275205
"March","Oye","Ekiti",7.20746909436787,7.4039696532482,7.70664813266483,7.73507684664794,8.10478899315193,8.95429336806307,10.3682305735028,12.4046973996094
