"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","Ado-Ekiti","Ekiti",25.3762952967815,27.4407993531621,30.7030077736838,34.9109799749514,37.6903998738611,38.7405313842879,37.5662373778388,34.708531904578
"October","Efon","Ekiti",26.8477242343624,29.112117690025,32.5733230391592,36.8881150417303,39.6020180372154,41.0556564269518,40.4875398843362,38.1577784818053
"October","EkitiEas","Ekiti",23.7320368541737,25.765625861454,28.9042528603553,32.8910850523416,35.593601313785,36.9845485910164,36.5395995886732,34.7708630364896
"October","EkitiSouth-West","Ekiti",24.3060824675654,26.2363692578871,29.3880586151396,33.5501604048292,36.3870122418617,37.1407469564546,35.4863893481467,32.7571445923572
"October","EkitiWest","Ekiti",26.2635114372136,28.4448621426426,31.8146058682373,36.0826723441998,38.8434372789911,40.1348431434572,39.2972779070391,36.8757188354919
"October","Emure/Ise/Orun","Ekiti",23.6555454661371,25.5645051565008,28.6637933941257,32.7552497646418,35.5938347375846,36.3478356635021,34.7860579879192,31.5796824149859
"October","Gboyin","Ekiti",24.814495115879,26.8413972151031,30.0251689035754,34.1249560733927,36.8776871982646,38.0579768025188,37.0943213623684,34.4883398259412
"October","Ido/Osi","Ekiti",24.8488959653244,26.9596923320519,30.2229249762618,34.3564088770377,37.0930223067775,38.329229863086,37.423114389806,34.8565792344694
"October","Ijero","Ekiti",25.4773028953085,27.6183639941532,30.9341779429833,35.1459676897711,37.9388059162919,39.2164105546399,38.2783356805087,35.6450135071763
"October","Ikere","Ekiti",24.3035910696046,26.253428483169,29.4233496474205,33.6142046945789,36.4491288096098,37.1351877238584,35.5062408034478,32.4523775148462
"October","Ikole","Ekiti",23.9874917656112,26.166777944717,29.536354755507,33.7976080149465,36.6450246504155,37.8234290358396,36.8786844982598,34.2851044455858
"October","Ilejemeje","Ekiti",21.9735661126881,23.7962955809646,26.7696742533764,30.6509260548668,33.4078588700757,34.3466797548043,32.8924260823985,29.7812759344874
"October","Irepodun/Ifelodun","Ekiti",26.6456795501922,28.930946118652,32.3653033480302,36.6399253586502,39.3711747430507,40.8641770897312,40.342029958271,38.1298756918388
"October","Ise/Orun","Ekiti",24.4059639012801,26.3763088001675,29.5762724207473,33.7991799817159,36.7393480668987,37.5722285797397,35.9466272902442,32.9319591769475
"October","Moba","Ekiti",22.8784849611411,24.7607972132061,27.8422373517731,31.9011546376535,34.7664737201373,35.6556101145723,34.1386816583332,30.9398463146311
"October","Oye","Ekiti",23.8306961626186,25.8748334638172,29.0603995352981,33.1377050269241,35.9126419274219,37.1117497413233,36.1337309430292,33.5102188649
