"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Aninri","Enugu",5.76789918134537,5.71101464393977,5.78037686665161,6.12697173327873,7.08350430970341,8.41594773747113,9.44389646585403,10.9617999347639
"May","Awgu","Enugu",5.44945286296644,5.47271907093867,5.75872503397683,6.31078310766714,7.49675002583432,9.15922399010987,10.4390952195209,12.2575109378055
"May","Enugu East","Enugu",5.10195400679252,5.06675332032597,5.35065109867603,5.93469036004918,7.18362361547781,8.935930669446,10.3658870638537,12.3592042629137
"May","Enugu North","Enugu",4.73214927494259,4.69612487694274,4.99079646780563,5.58102012990286,6.82176268630758,8.5003301569627,9.92484401319383,11.9158480716068
"May","EnuguSou","Enugu",4.77803058610521,4.77179865576547,5.08858970666335,5.69560602855543,6.94202458258949,8.70272696896555,10.1711785785148,12.1805223406968
"May","Ezeagu","Enugu",5.06103490767066,5.09494838555215,5.44522323664282,6.07068099345469,7.37624594094242,9.17283864657658,10.5891367598616,12.5782289186559
"May","Igbo-Eti","Enugu",5.13813235819711,5.07797459516439,5.34270907414238,5.90927908744367,7.12857371252271,8.87821905253035,10.3214748787266,12.3268842623781
"May","Igbo-eze North","Enugu",5.14043166010123,5.08855756144655,5.34765108886817,5.90622181067104,7.15204496813994,8.93639730940649,10.4374339536001,12.5043503354001
"May","Igbo-eze South","Enugu",5.0706900505093,5.01589284357384,5.27438171246883,5.82476152378686,7.04023278241467,8.76433436153255,10.2328393982115,12.2613605718087
"May","Isi-Uzo","Enugu",5.29236446567428,5.25200641496697,5.53430494331246,6.10616948529982,7.35353513476177,9.09175625335975,10.4834716621455,12.4681777135778
"May","Nkanu East","Enugu",5.07530960412898,5.10489337315549,5.41862786952574,6.00836978587377,7.24205049349768,8.94073885233402,10.2603530293892,12.1254413769827
"May","Nkanu West","Enugu",4.79423885249811,4.83639815757155,5.19225108586385,5.82192916817971,7.11645512582606,8.90983349033093,10.3364425252672,12.3185106502466
"May","Nsukka","Enugu",5.03252252872207,4.97630587146628,5.23161042271282,5.77387043033607,6.95213373159866,8.60424094447131,10.0332721623048,12.0417823831807
"May","Oji-River","Enugu",5.27549650129697,5.3273163947192,5.67922706861784,6.29667572288784,7.58604505267035,9.37437185512117,10.7532221273937,12.7034460750043
"May","Udenu","Enugu",4.99669654607973,4.95166513318104,5.23835066462295,5.78244181677971,6.97687223681643,8.61644237073363,10.0082926544583,12.0045927414875
"May","Udi","Enugu",4.98103471722313,4.96887698621879,5.27354202196054,5.86516208264675,7.11927128625342,8.87618953358055,10.3017923344448,12.2892974371271
"May","Uzo-Uwani","Enugu",5.31977671625953,5.25105803409006,5.49415475943883,6.0432752455872,7.25611198698733,8.98841799289184,10.4339080504719,12.4315871774976
