"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"November","Aninri","Enugu",23.9754018772483,26.8406564574083,30.8706137217918,33.4218758146596,34.70343466809,33.0726957641959,30.3446901074115,33.039397552604
"November","Awgu","Enugu",23.5719777482163,26.5371916052704,30.7296758215501,33.2603771029358,34.1722078439123,32.434550966307,29.7873477370119,31.9468446550731
"November","Enugu East","Enugu",23.0226524239311,26.0613214296948,30.3677992123678,32.9779532099598,33.6850365077478,31.8985502938623,29.300544063587,30.9577915500515
"November","Enugu North","Enugu",22.5368179397449,25.4999745089995,29.7155299946866,32.1896256517286,32.7240651226968,30.9552750601696,28.4422688623173,30.0273972651056
"November","EnuguSou","Enugu",22.634903896722,25.6336533366717,29.9153978944148,32.4342885151137,32.9681641208098,31.1921763730843,28.6561579884018,30.4075625928461
"November","Ezeagu","Enugu",22.475027839298,25.4907985662979,29.7592923211197,32.4216344537426,33.256148561857,31.5113327779691,28.9540748399618,30.7538142600175
"November","Igbo-Eti","Enugu",21.631165720014,24.5850083587154,28.7438054444794,31.3487255724651,32.1041876580788,30.3750876892474,27.9229826557409,29.4631630220747
"November","Igbo-eze North","Enugu",22.7120485136313,25.9199148288208,30.3809858177225,33.0969557166191,33.7906767859632,31.9748807217198,29.3883645392311,30.881304462328
"November","Igbo-eze South","Enugu",22.0536936717738,25.0906131398465,29.3873213491417,32.023389793456,32.6634872186438,30.8999083026077,28.4029805575808,29.9976626935438
"November","Isi-Uzo","Enugu",22.2340702572973,25.2177652485259,29.4203479999621,32.0605779857982,32.9830018484946,31.2531686676111,28.7260965679731,30.3243346512981
"November","Nkanu East","Enugu",23.4203429480942,26.3642395941392,30.5295803741148,33.0368580960044,33.8552653157013,32.1063509718531,29.4754782072272,31.5713558289811
"November","Nkanu West","Enugu",22.5721514749821,25.4856317267197,29.6317576263392,31.9914355637636,32.4409476003648,30.6624915693647,28.1780712820854,30.0805848690431
"November","Nsukka","Enugu",21.6032513307398,24.7506668195203,29.0930255994055,31.8227739038489,32.6344214587083,30.9057684770599,28.4085687120103,29.9191166923271
"November","Oji-River","Enugu",23.0435950808897,26.0011048611676,30.2089766715357,32.7883072853601,33.5685193406877,31.7949896100301,29.2074392982598,31.2700064410038
"November","Udenu","Enugu",22.0969724874401,25.413923320776,29.947362627721,32.8047757665958,33.7007523855582,31.9428686402533,29.3514312361221,30.7893334874283
"November","Udi","Enugu",21.9505188827275,24.9385484902526,29.1688638272094,31.7580507182362,32.4542040638132,30.7150154622684,28.2248462740607,29.8756363964313
"November","Uzo-Uwani","Enugu",21.2256132688226,24.0537150258469,28.0540274566753,30.6058739570984,31.4805684259379,29.8076318467389,27.4127867953427,28.9991722896254
