"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","Aninri","Enugu",22.2432014263779,23.9770643268489,26.8407029326947,30.5578574343388,33.3036073896465,34.7513574708464,33.4291406374298,30.3030821558922
"October","Awgu","Enugu",20.2558084963792,22.0542629748345,24.9835684578084,28.6691781480289,31.3229082319204,32.4223964627374,31.0761930081847,28.1767084063563
"October","Enugu East","Enugu",19.5656827716282,21.9853827721278,25.6505790398582,30.0678715439418,33.0376796962117,33.8109173205497,32.3558679038851,29.3335883774514
"October","Enugu North","Enugu",19.0560342590553,21.3733678253005,24.87680382763,29.1312168385458,31.9207233697069,32.5087459919367,31.0891810959698,28.1849643556068
"October","EnuguSou","Enugu",19.1618040706693,21.5756345062498,25.196865688119,29.5736968105228,32.4367272379151,33.0325166284777,31.591216036251,28.6399077628783
"October","Ezeagu","Enugu",18.134556138547,20.1745513243306,23.358634364671,27.2276497519476,29.8704196195817,30.6343212512,29.2728752867479,26.563201785702
"October","Igbo-Eti","Enugu",17.9908921606606,20.2132132423924,23.6179775260032,27.7364277234312,30.574408615017,31.3395600720637,29.9916152621614,27.1916152127377
"October","Igbo-eze North","Enugu",18.600592158517,21.1004866808739,24.913070902367,29.4224767942267,32.4763788356803,33.2115068702751,31.7764953743837,28.8107889499465
"October","Igbo-eze South","Enugu",18.3410502383011,20.7132500845302,24.3280123176198,28.6767231071318,31.5826110818394,32.2411346032603,30.8428147206493,27.9611077768043
"October","Isi-Uzo","Enugu",18.6228730493164,20.8976960178996,24.3582053222697,28.53596590047,31.4596808118026,32.430805854341,31.0689274669152,28.1690637184439
"October","Nkanu East","Enugu",20.3332145136332,22.3469450646713,25.5567194347763,29.550664836108,32.3444188393432,33.2523924913694,31.8464039507828,28.8747223785566
"October","Nkanu West","Enugu",18.3270883493425,20.3576136741726,23.5048511707972,27.345571795002,29.7792115088226,30.3422674494735,28.9801681603005,26.2842142252477
"October","Nsukka","Enugu",17.7161640139813,20.1934500162492,23.9781603795501,28.3876747809885,31.4886230959585,32.3668669858138,30.9911195908088,28.1010853174921
"October","Oji-River","Enugu",18.3599742868007,20.0038798953001,22.693907193124,26.070120513782,28.4720302322718,29.3931605130147,28.1207908789056,25.5035193953639
"October","Udenu","Enugu",18.0275863765809,20.668573184294,24.6826949464968,29.2954449509304,32.5639556684986,33.5249971229746,32.1053139065628,29.1146406454325
"October","Udi","Enugu",18.0003134105016,20.1765681748875,23.5419647823101,27.6380685479864,30.4334370594588,31.1545766330283,29.7962504380279,27.0222796261612
"October","Uzo-Uwani","Enugu",17.5389181434596,19.5479077134522,22.6838712726592,26.5286228118521,29.2568516358686,30.1462931703882,28.8680825375586,26.1783496546724
