"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Aboh-Mba","Imo",7.48034558088924,7.81250331021641,8.32312845908263,8.4363753455729,8.78911250180599,9.61081022131282,11.0882124551707,13.095663096705
"March","Ahizu-Mb","Imo",7.09642291606132,7.30179714585658,7.65351446269375,7.88613024054146,8.39669015447231,9.3636321628567,10.9326277117913,13.0500479905737
"March","Ehime-Mb","Imo",7.26034381619417,7.45667512037245,7.75342354215285,7.94487726845697,8.41897182856252,9.37140649712284,10.9151360443645,12.9996737018944
"March","Ezinihit","Imo",7.33507708658991,7.58930879634748,7.99748901324559,8.03886537355475,8.47003825774645,9.38647437473121,10.884160953114,12.9763011693628
"March","Ideato South","Imo",7.41692774728186,7.64374608561633,7.96878595911515,8.18985236653689,8.6851775673188,9.63194670898217,11.22527883686,13.3611742874703
"March","IdeatoNo","Imo",7.46452466247774,7.74316678585933,8.11629764928606,8.26453336060387,8.71495656871875,9.60640937129372,11.1415308550782,13.3740570192424
"March","Ihitte/U","Imo",7.43852343229619,7.65980978268385,7.97034059450533,8.17852234208444,8.66698460897658,9.59174813738152,11.1451191251243,13.2617519065813
"March","Ikeduru","Imo",7.26152695629864,7.48696972830916,7.82623450532871,8.03448950162171,8.53230937191164,9.46704163774113,11.0395670989611,13.1943783367563
"March","IsialaMb","Imo",7.3710849993978,7.6191918697509,7.94994602125694,8.15529438985165,8.64440956833816,9.56709628469431,11.1452003564292,13.3188964989186
"March","Isu","Imo",7.35079451343868,7.61331725510073,7.96068956310983,8.17202603088695,8.67026890564946,9.56668479649327,11.1603718008716,13.3908977529802
"March","Mbaitoli","Imo",7.19883257219864,7.42220978857646,7.74114884933877,7.94953806438125,8.44294722516389,9.38542573552089,10.9497653800637,13.0351497039178
"March","Ngor-Okp","Imo",7.68102958026142,8.11249662071255,8.7689200533644,8.90544826580126,9.05822522310001,9.76445557090506,11.2265074631148,13.1603967071733
"March","Njaba","Imo",7.35480023280437,7.57534625231098,7.89813069648595,8.12848130199235,8.62884309229256,9.57965911726544,11.1758051742602,13.3032598077435
"March","Nkwerre","Imo",7.38782632109792,7.61779208563036,7.92494292088391,8.12749874071667,8.6108237834843,9.5489264219097,11.1318930623391,13.2591506035477
"March","Nwangele","Imo",7.40395378223371,7.66186626315945,7.98736731486251,8.19101159910088,8.67888420560842,9.58802047019208,11.1824861593325,13.3708497811784
"March","Obowo","Imo",7.32030193684108,7.56722616926153,7.95906709870422,8.13739876034012,8.58416555963426,9.51417711230899,11.075685590532,13.1688214417302
"March","Oguta","Imo",7.02826096910662,7.27273463842077,7.63325431632652,7.77022077818377,8.19753658600093,9.05604568710837,10.4987882296859,12.5015642432367
"March","Ohaji/Eg","Imo",7.08641458722877,7.43272895024754,7.96370369841137,8.10038812085466,8.38909887644183,9.1622146412646,10.5987943060743,12.5115770897059
"March","Okigwe","Imo",7.35800817011046,7.57164226684478,7.86548775754976,8.05189608855116,8.52274629601899,9.46196492870291,11.0182149679882,13.1308919826583
"March","Orlu","Imo",7.34408053554536,7.58049861543987,7.91639282579353,8.14601219130682,8.65175800520597,9.58450068932675,11.1841221719663,13.3562998165613
"March","Orsu","Imo",7.06571752642828,7.2741269275897,7.59737750984402,7.80182732686549,8.29381311177415,9.23760238835466,10.7727946953618,12.8217825446102
"March","Oru East","Imo",6.87408410989207,7.07106798625543,7.39402736780665,7.58658748514053,8.06743581639691,8.99523557710583,10.4659456013264,12.4037413050123
"March","Oru West","Imo",6.8837101547029,7.10518457152725,7.4143714128773,7.58554167695845,8.0657797380242,8.9744182520811,10.4752223541618,12.4807689893208
"March","Owerri Municipal","Imo",7.59544066815302,7.80545825732777,8.14518942470539,8.38706590954232,8.89246404838431,9.88234723665452,11.4894875743122,13.6001242969619
"March","Owerri North","Imo",7.28084946940371,7.49798193724695,7.87694959627835,8.12041418083813,8.63371409057989,9.62040577189723,11.2260426477648,13.3291919356745
"March","Owerri West","Imo",7.04703598346028,7.25000056540878,7.59493948533461,7.74717149506655,8.17083090371261,9.14149231213717,10.641362391803,12.5971125088761
"March","Unuimo","Imo",7.37810939062291,7.5975723295994,7.91565635545587,8.13101324035591,8.62190738254563,9.57268638907783,11.1521930715813,13.2757393593253
