"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"January","Aboh-Mba","Imo",20.3892014449275,21.3804280304292,22.5269985133403,23.2675616745659,24.7350621241201,25.6122986348076,27.1520198788276,30.1586708277003
"January","Ahizu-Mb","Imo",20.1801990841279,21.0324368114445,21.9913569173092,22.5897718334436,23.8683122744181,24.765219429278,26.3329383749077,29.2850741188432
"January","Ehime-Mb","Imo",20.3016294290739,21.2022893151309,22.3029009440512,22.9427250756289,24.0642667166399,24.6001283939398,25.9860129650244,28.5632970735913
"January","Ezinihit","Imo",20.3027760614375,21.1948134037089,22.2412966267443,22.8844936699632,24.3190299584649,25.3905569825892,27.0544198577015,30.257121681201
"January","Ideato South","Imo",20.4977954041331,21.4080582103405,22.5060817351163,23.1372520624833,24.2553408234798,24.8246073558139,26.2311623864025,29.1272683187523
"January","IdeatoNo","Imo",20.2893695929463,21.2623718985612,22.4821984622054,23.1766725161304,24.4038132770006,25.1437502408316,26.6494619484064,29.6507699712242
"January","Ihitte/U","Imo",20.4751677820233,21.4413434666003,22.6870301314267,23.391234759922,24.5979596338013,25.2181211555379,26.6308102515406,29.1587223052985
"January","Ikeduru","Imo",20.172341956009,21.117246641618,22.2408614770044,22.8842883944623,24.0966080192663,24.7877747213586,26.265989790807,29.1858355430712
"January","IsialaMb","Imo",20.3882625403644,21.3098077702486,22.4431586842222,23.1113073528147,24.2516954525242,24.8281010783869,26.2479709470971,29.084408493383
"January","Isu","Imo",20.3700380631748,21.2985001173798,22.4144906275845,23.069382254406,24.2322456859166,24.9159074215787,26.4176744761981,29.413156141139
"January","Mbaitoli","Imo",19.9794001643037,20.888366742768,21.9671607261747,22.5937830534994,23.6479615099108,24.1997352303501,25.6783828347249,28.6418797903217
"January","Ngor-Okp","Imo",20.5595823556069,21.5590531476781,22.7781763553105,23.689765036699,25.3998926054323,26.1388860866576,27.5578496385543,30.3726630213054
"January","Njaba","Imo",20.4161130664308,21.3349401274734,22.4485950411595,23.0851806946289,24.199324853921,24.7389169287889,26.1477957909249,29.0603482602092
"January","Nkwerre","Imo",20.3476841192111,21.2794228461637,22.4149873270904,23.045910422871,24.1144022239645,24.5888108579872,25.9402894472156,28.7821997920681
"January","Nwangele","Imo",20.3756667571819,21.3260288796758,22.4816362850677,23.1376144548446,24.2393695374534,24.7408825558065,26.1411863831422,29.0685218684621
"January","Obowo","Imo",20.3549694721877,21.3133771693175,22.4778354688918,23.14593477193,24.4680192947646,25.3258688029776,26.8859587011915,29.9442150380197
"January","Oguta","Imo",18.9916204440011,19.9437432629278,21.0630510340863,21.6985304046238,22.7249894711205,23.4835655936683,25.0542745022888,27.9331506211843
"January","Ohaji/Eg","Imo",19.1307188457028,20.017292732288,20.9957950718357,21.7126717767847,23.1763966906287,24.1487096038511,25.7232586901917,28.5706940366525
"January","Okigwe","Imo",20.2741037891902,21.2231808620646,22.4061433893995,23.0683705908978,24.1452756275166,24.4996303272565,25.8119602622568,28.487767283054
"January","Orlu","Imo",20.3147527383882,21.2239376822943,22.3271402213846,22.964051705682,24.1188131620788,24.7687728456495,26.225675457064,29.1950694443513
"January","Orsu","Imo",19.65119560372,20.5582097491802,21.5886324658889,22.2000746100287,23.2405916335172,23.9189461168084,25.4153139947728,28.3315219611339
"January","Oru East","Imo",18.8962791331997,19.815320814565,20.8644757368603,21.4729694939508,22.4382074511073,23.1548345480084,24.7100951649761,27.6564481201382
"January","Oru West","Imo",18.8512254454909,19.7823724685667,20.8061395713962,21.4033269346697,22.354235351451,22.9821406370881,24.5904730102279,27.6075379410124
"January","Owerri Municipal","Imo",21.2739448853116,22.1434870728802,23.0621036931859,23.686236772812,24.8216465588437,25.3284831037465,26.743358724056,29.684778308389
"January","Owerri North","Imo",20.4701738078974,21.3804096262138,22.3551125030363,22.9678243379335,24.1965104914286,25.0241191644137,26.6018006186383,29.6739416704648
"January","Owerri West","Imo",19.8838924981249,20.6695700276269,21.5218237750835,22.1014894677611,23.2162376195512,23.993969703202,25.6303122640775,28.7240045979754
"January","Unuimo","Imo",20.4408810729874,21.3483128431391,22.4348801200047,23.0668972295452,24.1658973048826,24.7107847142645,26.1004832233366,28.9528519856341
