"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Aboh-Mba","Imo",15.8705947282246,16.1127308927915,16.4682261536381,16.9956262464151,18.567646267503,20.8222598608891,22.604562154743,25.570030146291
"May","Ahizu-Mb","Imo",13.5448785616061,13.5780112074044,13.8144179222428,14.3557058093525,15.9563510812774,18.1703681647762,19.8862861077672,22.6432739639553
"May","Ehime-Mb","Imo",13.4790464014715,13.5452305716949,14.1027193657493,15.1058392825523,17.3399022758152,20.5507229025938,22.9547177758759,26.3853423288024
"May","Ezinihit","Imo",14.7606162179304,14.8254489656898,14.9992859453877,15.4520005973707,17.103570926184,19.4379448779118,21.2454426913927,24.1741900595098
"May","Ideato South","Imo",14.2194740375762,14.0775574611427,14.1307642718734,14.789367304051,17.2395103514299,20.5522650662149,23.080103803421,26.7830880259458
"May","IdeatoNo","Imo",14.9056194619449,14.8334059879718,14.8666757354997,15.2045421245729,17.3001899094499,20.4311081695536,22.8110863507746,26.3828491300006
"May","Ihitte/U","Imo",14.30795287305,14.3136510465045,14.6704384185778,15.3049516424273,16.8777434587882,19.1999571014996,21.0107748428816,23.8436070726843
"May","Ikeduru","Imo",13.9447836843395,13.9133329789828,14.0893616378426,14.7197431620979,16.5651194493904,19.1634735627006,21.1274717800369,24.1588595444133
"May","IsialaMb","Imo",14.3513695041179,14.2645841946095,14.385438341813,14.9465727201437,16.840821839229,19.5073786012271,21.5300975249127,24.620227384597
"May","Isu","Imo",14.5244307724872,14.4231971379495,14.4237111837354,15.0047388411257,17.2262850229325,20.1884419182946,22.4036961139044,25.7772062398434
"May","Mbaitoli","Imo",13.8200168088865,13.7139470213237,13.9367903521714,14.8340652621231,17.222783552143,20.3991109109843,22.7847699965034,26.236277944308
"May","Ngor-Okp","Imo",17.4695333084894,17.9735338717418,18.595452560499,19.2819211598434,20.95892078519,23.3210934845615,25.2015613060934,28.3847054606327
"May","Njaba","Imo",14.0497531668237,13.9386379049771,14.0626772336936,14.9082303260317,17.2616927811358,20.3800014076834,22.7160517525311,26.1863721338646
"May","Nkwerre","Imo",14.0831893762708,13.9872029166137,14.2257710055361,15.0857073365824,17.678711328073,21.1915156252533,23.8659566869494,27.6693195786049
"May","Nwangele","Imo",14.4682329473196,14.2977486848514,14.23505654043,14.8162690210927,17.1819494171585,20.347529103342,22.7305599827648,26.2999523438296
"May","Obowo","Imo",14.5636519871018,14.584189744372,14.7391610621518,15.2732322475417,16.9768328070222,19.3789375637232,21.2252128039686,24.2020476961245
"May","Oguta","Imo",14.0968612037702,14.0501353350668,14.2388984467702,15.017145749364,17.2614339309305,20.1407483943524,22.3383781187915,25.5590947742148
"May","Ohaji/Eg","Imo",15.7067646799902,15.9273064740379,16.3011166662459,16.9349095973094,18.7292366289068,21.1523493237101,22.9998407240984,25.8813162705016
"May","Okigwe","Imo",13.6403751681285,13.5776428040024,13.9961681424008,15.018145139467,17.3236173996435,20.6346343694333,23.1396207596143,26.6856257405463
"May","Orlu","Imo",14.2189428712028,14.0912226695941,14.1003930456164,14.5537636476512,17.0085866893293,20.3089096559816,22.8244573761561,26.5462331682635
"May","Orsu","Imo",13.5033755568575,13.4175122103029,13.6175990855506,14.5619782409771,17.2509623530269,20.7065972441627,23.3289793824792,27.0896288878379
"May","Oru East","Imo",13.1042061674385,13.0461927029106,13.4397383936234,14.6674882438462,17.4223541504493,20.9112995340339,23.5775184079841,27.2881421956655
"May","Oru West","Imo",13.5161842688316,13.3924572774461,13.6349273541306,14.6710783703818,17.4892341406902,21.0812477876386,23.8677123298667,27.7564696603274
"May","Owerri Municipal","Imo",14.3322537636799,14.1859727892313,14.6593389314549,15.857588380027,18.6198937116302,22.1149872465602,24.7870371776152,28.6340590850521
"May","Owerri North","Imo",13.9919504238942,13.9532706636993,14.2851216694462,15.1526718240234,17.2786980790829,20.0929275008747,22.2494313589053,25.5256760063012
"May","Owerri West","Imo",13.38219189086,13.4660496731616,14.0596181718418,15.2073346850144,17.8031995771983,21.1233182951913,23.6125468884671,27.1676997886462
"May","Unuimo","Imo",13.9707468468022,13.8627908820508,14.0036813743757,14.7443361636532,16.981026418202,20.0942563676912,22.4507258407121,25.8916543604144
