"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Aboh-Mba","Imo",20.7381994428888,22.977918274512,25.1642686317658,27.8335338772359,31.736666891191,34.1621152473656,35.4318313911283,33.8064784988332
"September","Ahizu-Mb","Imo",19.9553926254839,22.1805368743396,24.3532993109988,26.9796086860002,30.7899908889184,33.0984724056456,33.9349250776018,32.0367031535299
"September","Ehime-Mb","Imo",18.0931960439921,20.0699361166802,22.0268498514728,24.414855845372,27.8976773030071,30.0613801691812,30.9722842849941,29.2837476434248
"September","Ezinihit","Imo",20.8197825399616,23.1251147984093,25.3662351527052,28.0698231787626,32.0107531864443,34.4333914933526,35.5477629125492,33.6944320986653
"September","Ideato South","Imo",19.274530322276,21.4508722917131,23.6163732595581,26.2377844380931,30.0053300258896,32.3253397833962,33.3080385631578,31.4503111274121
"September","IdeatoNo","Imo",20.119111364164,22.3599508855447,24.5714955595636,27.2697959016121,31.1556454474813,33.5643994739328,34.798134377823,33.0100187807218
"September","Ihitte/U","Imo",18.2596810617569,20.169599284715,22.1193597564807,24.5261453358937,28.0255314736921,30.1856932927258,31.0408874121109,29.3495146560159
"September","Ikeduru","Imo",19.2542922262185,21.5134742817703,23.7816891131597,26.4966259906036,30.3415170673848,32.6759796778724,33.6422850005924,31.7760157603826
"September","IsialaMb","Imo",19.6385666213603,21.7800302718114,23.8906994768163,26.4769440551285,30.220820203053,32.5220476258537,33.5123383545707,31.6681755529212
"September","Isu","Imo",19.9681912377947,22.0458243880639,24.0600089214709,26.6515551686713,30.4018632371496,32.6773051871545,33.7128979162955,31.8644335838964
"September","Mbaitoli","Imo",18.5913155168202,20.6971553231796,22.830916410026,25.3880362163504,29.0570894983323,31.3337511614603,32.2972924311958,30.5161805780537
"September","Ngor-Okp","Imo",20.7256726584908,22.8362900842908,24.8890128475547,27.4467872234226,31.2629815169581,33.699166500331,35.1912879522935,33.9554258872805
"September","Njaba","Imo",19.0685205868599,21.2290954836714,23.3796484005841,25.9797976704762,29.7496730053811,32.0710700915616,32.9944266091874,31.1667243553138
"September","Nkwerre","Imo",17.3936665634937,19.309613325083,21.2047249692142,23.526093318457,26.8770791628322,28.9708450195082,29.9239215441372,28.2315999582309
"September","Nwangele","Imo",19.5803803051922,21.6733199042078,23.7598393253109,26.3377429332541,30.0574239738829,32.3428327598857,33.3674842681753,31.5044164405706
"September","Obowo","Imo",19.6822781421804,21.8157594016688,23.9172875413939,26.5011644542508,30.2393892014955,32.526413466215,33.4834084641494,31.6267344654194
"September","Oguta","Imo",18.8919422846932,20.942084528357,22.9686743787046,25.3788056064113,28.8901690235088,30.9990442549927,32.0987488490153,30.5241085542337
"September","Ohaji/Eg","Imo",19.3256519715447,21.3148962897641,23.2789416280102,25.6655879333687,29.1749482968962,31.3084618389858,32.5520018291569,31.2100779213424
"September","Okigwe","Imo",17.6919223890317,19.637580893774,21.5603959312459,23.9135546284179,27.318530033688,29.4478727351383,30.4497353056392,28.7882004533671
"September","Orlu","Imo",19.026233014059,21.1878205487338,23.3402692142411,25.956887412647,29.7437882805682,32.0411422211412,32.9397707166088,31.1023428215501
"September","Orsu","Imo",18.8935170424789,20.9824816519866,23.0603573823666,25.5557749255022,29.1650538058849,31.3609452826762,32.2701119207042,30.4672435974613
"September","Oru East","Imo",18.7018172745284,20.7205548322486,22.717115164064,25.0946317545516,28.5556448968837,30.6290972670367,31.5685468904026,29.8436333017326
"September","Oru West","Imo",18.4902708063286,20.495126020157,22.4768243359208,24.8386773171108,28.2644734020071,30.3226728587699,31.3543852064772,29.6849922518459
"September","Owerri Municipal","Imo",20.3840469579828,22.8466503348167,25.2458262452466,28.0436005798336,32.0253459928052,34.3940418096683,35.3938121231174,33.4654141625302
"September","Owerri North","Imo",19.3700417388179,21.5980273529292,23.776840464505,26.4064797146356,30.199089689518,32.5165844441724,33.4786801258811,31.6925819962037
"September","Owerri West","Imo",18.3639178295546,20.4718810104786,22.6173951890528,25.1407043034433,28.751299935171,30.8954738049411,31.6914022119762,29.9873329673524
"September","Unuimo","Imo",19.158640055331,21.2742717596859,23.3679410324449,25.9199127672132,29.6101783080894,31.8878639830646,32.8479788641786,31.0135769764184
