"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"December","Adavi","Kogi",11.8079585452076,13.1360908533997,14.0760830704237,14.4929612363915,13.8788521701719,13.1979390495878,14.5567361888896,16.8618674342529
"December","Ajaokuta","Kogi",11.4512964632085,12.8368416224382,13.7694336895639,14.0337250089923,13.2517962785262,12.4072249448235,13.5281310392373,15.7394383317581
"December","Ankpa","Kogi",11.4751333260949,12.8146681941444,13.7806585320005,14.0587834900655,13.226179397121,12.3246882897265,13.2191592888395,15.0715101358008
"December","Bassa","Kogi",11.6417457182892,12.947499868283,13.8961171930818,14.3237765380824,13.7165926768163,13.0550803999461,14.3450941973221,16.5337815752985
"December","Dekina","Kogi",11.5146141968172,12.8265628128528,13.7331767195531,14.0640173367595,13.3614451187831,12.6083646779751,13.7855230295143,15.9302780153049
"December","Ibaji","Kogi",10.3044552845301,11.572186452885,12.6063990080339,12.9362732378684,12.1258335966857,11.2211292492636,12.1668808051387,14.2371646424041
"December","Idah","Kogi",11.0195991513624,12.4595421807001,13.4223730503737,13.6113100781836,12.7271316676774,11.7619567376691,12.6437004128044,14.6764355784022
"December","Igalamela-Odolu","Kogi",11.107105673249,12.4609229562297,13.4421357044801,13.688958968558,12.8142785509931,11.8614551544863,12.7228954101745,14.7321675691565
"December","Ijumu","Kogi",11.2527178649887,12.5710402524042,13.5371555091711,13.9232443029945,13.2507758577431,12.4854432397356,13.6530724340172,15.7595186812504
"December","Kabba/Bu","Kogi",11.9595189404502,13.4086897292903,14.3416089428345,14.5844767418507,13.7376847169127,12.8175121826849,13.8902866164545,16.071952287216
"December","Kotonkar","Kogi",11.9090307797761,13.4016791926718,14.370208610686,14.5582405552928,13.621387698455,12.6076548889952,13.4706219581764,15.4220671127405
"December","Lokoja","Kogi",11.873477921092,13.3105261457066,14.1867592509029,14.3681552014517,13.4785353814728,12.5207323791366,13.4900249695104,15.5547364770006
"December","Mopa-Muro","Kogi",11.5849014715199,13.0253266760193,13.9167233470843,14.0711761855405,13.1502700149261,12.1670670611548,13.2666308269738,15.6483166097692
"December","Ofu","Kogi",11.2637739988399,12.6344283599821,13.5367732053425,13.7180333262277,12.823406895663,11.8616870694002,12.7262688471705,14.7176049777915
"December","Ogori/Magongo","Kogi",11.3247587464438,12.7545812089449,13.8286622408649,14.0856348452216,13.1850209892881,12.204336526994,13.3332795275302,15.6509867864067
"December","Okehi","Kogi",12.0349169001862,13.3391038281413,14.3136295721206,14.8625789327636,14.3717017081693,13.7995981002112,15.2769961952376,17.584257620893
"December","Okene","Kogi",11.2478601369023,12.6934053337639,13.6753849303462,13.8577106276507,12.9572159450927,11.9866619385856,13.0278162705104,15.2574303910161
"December","Olamabor","Kogi",11.3323740544772,12.684710474038,13.6664424611814,13.9035408233514,13.0059093336651,12.0281013187002,12.786214118165,14.5983213958164
"December","Omala","Kogi",11.7092487226144,13.0015054636059,13.9664176256702,14.4052015635967,13.7969793045736,13.1412392006587,14.4485972176014,16.653059910938
"December","Yagba East","Kogi",11.5861341321009,13.0104663579761,13.8773594132015,14.0508880113853,13.1658231339194,12.2156553946393,13.2981833452274,15.5819246029809
"December","Yagba West","Kogi",11.8818300703711,13.3479466417243,14.1838512553294,14.3068431653915,13.3661781927516,12.3670908431184,13.4811996749223,15.9104401576077
