"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"July","Adavi","Kogi",1.82351659752049,2.50818259562575,3.94599185828395,5.4409195201301,6.65716727382448,8.14603940054733,10.0246382057116,11.532051064651
"July","Ajaokuta","Kogi",1.88389437726474,2.57820760595626,3.99950791968154,5.43099136382807,6.65872553282569,8.16537096946414,10.0724395922877,11.6186605874476
"July","Ankpa","Kogi",2.06092776756864,2.85422488862714,4.21336472753379,5.53059081881357,6.72334809158428,8.21690173859891,10.1238184308624,11.8014334690041
"July","Bassa","Kogi",1.90608131436058,2.65567083292288,4.03851356748242,5.356298531554,6.54919017890677,8.06048741371581,9.95384708431579,11.4515530960439
"July","Dekina","Kogi",1.89505077318031,2.63503591642768,4.02500735954002,5.33583258745882,6.47873898321562,7.94272301467209,9.80733315581767,11.3388461095761
"July","Ibaji","Kogi",3.64118332527504,3.87559975644699,4.33992874520434,4.93634109675332,5.50568612797043,6.31957462506204,7.49061656805331,8.64968969730106
"July","Idah","Kogi",2.20984317274307,2.8842050354417,4.08789075959661,5.34660193673356,6.62285561880192,8.20834969004391,10.2095528244961,11.9906513791718
"July","Igalamela-Odolu","Kogi",2.21549409781091,2.86518913628406,4.05365700283746,5.29130969933686,6.40550988909902,7.78376788804423,9.56881702437006,11.1662431839405
"July","Ijumu","Kogi",2.71238851289684,3.38197050193619,4.47389826548732,5.58875409373142,6.63394259360148,7.937882006873,9.62756854277358,11.0669727863932
"July","Kabba/Bu","Kogi",2.00978873527782,2.79169570910754,4.20800393964318,5.55904040381121,6.82872323795651,8.48313815058143,10.5411816328727,12.1266885588412
"July","Kotonkar","Kogi",2.01465493694846,2.82284597578579,4.310088854616,5.74350884543636,7.08497350517772,8.81562805827267,10.9525644989747,12.5722067166676
"July","Lokoja","Kogi",1.76253705420689,2.569572511412,4.06490801605764,5.5151593891763,6.78228403661345,8.42383296974283,10.4820190603619,12.0194153213393
"July","Mopa-Muro","Kogi",2.2325604699156,2.93953603671725,4.22661504634496,5.46924182632804,6.66028125126983,8.22031924893205,10.1952461031486,11.6752410411331
"July","Ofu","Kogi",1.91998458465241,2.65552420907656,4.02626973644492,5.3853782636522,6.59511277232152,8.11264451789933,10.0552679738398,11.7045811795344
"July","Ogori/Magongo","Kogi",3.43023470180407,4.00093206647001,4.93424853843517,5.86677960946806,7.02612160374055,8.51661486389939,10.4778467879178,12.1758153969258
"July","Okehi","Kogi",1.97687573156666,2.71294508565552,4.15151285929727,5.59382205129729,6.84253121357413,8.35732165662304,10.215011272229,11.7478075166129
"July","Okene","Kogi",2.22212552974432,2.81771785555362,4.07266093275982,5.46380138307343,6.66059088003142,8.10494974940051,9.98696528952835,11.5325753784891
"July","Olamabor","Kogi",2.03701506380874,2.75940547603383,4.05369974651976,5.33005343728576,6.50448963365911,7.98938200239141,9.88968233808209,11.5923304650853
"July","Omala","Kogi",2.05395780211347,2.90290253343664,4.27723335050951,5.57970315440491,6.74056381999298,8.1854159887329,10.0317438805053,11.6027615401274
"July","Yagba East","Kogi",2.43400232368139,3.19091100038281,4.54019585829108,5.75757701034031,6.89502716174107,8.41367008131629,10.3402413801604,11.8232977267229
"July","Yagba West","Kogi",2.1432381060628,2.99609942290602,4.47143657833227,5.75762482007904,6.9351172590482,8.52287072341871,10.5370522557429,12.0488756629756
