"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Adavi","Kogi",3.39746505135532,3.66047240989521,4.28950389511425,5.51804546080446,7.27737002016903,8.79642881692612,10.430444723863,12.6241663923742
"June","Ajaokuta","Kogi",3.41808374692572,3.71863912253741,4.46681210930813,5.61526229858605,7.36038761941005,8.91824977870712,10.5917008295653,12.8863870021678
"June","Ankpa","Kogi",3.37929506279889,3.77670030254508,4.47546622310201,5.49960677522757,7.13954223337605,8.7209845833386,10.4632962536927,12.9873369617716
"June","Bassa","Kogi",3.36790703645017,3.69085979953775,4.42441823784678,5.53116009157806,7.25426939174076,8.85741595517152,10.5801899106527,12.9092832850929
"June","Dekina","Kogi",3.30144994056522,3.59883192684745,4.31895882954606,5.41280502832829,7.0663106608733,8.606537536492,10.2862873417515,12.6353284012997
"June","Ibaji","Kogi",4.20667644391942,4.43575772156212,4.81700889688268,5.50578590533821,6.67585669534914,7.72191625609233,8.90781019118761,10.7850046882406
"June","Idah","Kogi",3.70387888731185,4.06793164143946,4.6545962468637,5.64260493900266,7.36343625281477,8.99307265789023,10.7464406144992,13.2831863240018
"June","Igalamela-Odolu","Kogi",3.66249527480561,4.04181145061638,4.67379566095822,5.65149889939207,7.29783406306183,8.84282124558632,10.5341156263887,13.0023140559633
"June","Ijumu","Kogi",3.7967309753771,3.98176133473552,4.38525560365869,5.35632958066856,6.90142542717515,8.34335890320958,9.90326724980345,12.0679089376326
"June","Kabba/Bu","Kogi",3.5230926505451,3.85234615160455,4.52265463189585,5.70312521676435,7.45138231829491,9.09081237865884,10.8882471386325,13.2785144171629
"June","Kotonkar","Kogi",3.71265666930096,4.19095723586757,4.9976657001595,6.19321835312883,8.00022335910325,9.65986018165587,11.5188725524559,14.1048276932395
"June","Lokoja","Kogi",3.24238818181903,3.64487496965702,4.44554722356133,5.64643968471682,7.37978160637863,9.019742992219,10.8275591609655,13.2316605072805
"June","Mopa-Muro","Kogi",3.72696380345394,4.00383365114573,4.60994528741886,5.79015480699832,7.47101159114337,8.99219780039666,10.6710039745177,12.8030000791504
"June","Ofu","Kogi",3.42982040888904,3.7423837693694,4.43284203422421,5.47466303232527,7.14176912660767,8.71437879884629,10.4359054872846,12.9328315247902
"June","Ogori/Magongo","Kogi",4.65321395373194,4.84797859957191,5.08744639707712,5.75183846249207,7.39118447673203,8.9711192610477,10.6721531037792,13.1643630508332
"June","Okehi","Kogi",3.51459629647661,3.70980986039646,4.19030252904182,5.392999513656,7.17143530829679,8.7196680292521,10.3507558808305,12.515928304381
"June","Okene","Kogi",3.81997673609925,3.99039168137094,4.41390124897108,5.4015394629637,7.09705951683603,8.6919048191573,10.3829640792811,12.8109232711447
"June","Olamabor","Kogi",3.46525425882646,3.82626182779435,4.47196405809087,5.43969542701615,7.04478388073105,8.59616088877936,10.3213852142164,12.8399943087699
"June","Omala","Kogi",3.29022488480361,3.62084991255365,4.37661265215142,5.47096848875215,7.15479236809803,8.79204578219675,10.5544729166058,13.0101492054853
"June","Yagba East","Kogi",3.59934530283888,3.99194788485789,4.75569158953759,5.90017198759688,7.48443992943866,8.93420953274622,10.5806359184993,12.8018132480104
"June","Yagba West","Kogi",3.37364547769711,3.7972793090031,4.66421074853043,5.92828093547493,7.57412040390842,9.06807139819547,10.761497009501,13.0601392479968
