"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","Adavi","Kogi",18.7065226609162,20.4186712076653,23.2054843954474,26.7918436650562,29.3758417944998,30.3916133225938,29.7568330916986,27.9183737941626
"October","Ajaokuta","Kogi",17.4851248085424,19.407719608706,22.4735643347316,26.3106484391989,28.9920162710482,29.8247640727075,28.8268691506427,26.5503798820084
"October","Ankpa","Kogi",19.6602022517426,21.8339573285094,25.2773428583173,29.4830289215683,32.2424882547775,33.0736732944647,31.8810018536216,29.2109893373154
"October","Bassa","Kogi",16.6385392434737,18.5755129185177,21.5998033280154,25.35825594461,28.0479095962683,28.9024015155234,28.0521169921967,26.2549042320175
"October","Dekina","Kogi",17.6218266028907,19.4955140542971,22.4889296050872,26.2283520553206,28.7718609574335,29.4404489608077,28.4352121988782,26.3846436509147
"October","Ibaji","Kogi",18.9578824609162,20.8912730641621,23.9073307362694,27.6720913563446,30.4122754451251,31.5580015217832,30.275839298194,27.4623493880265
"October","Idah","Kogi",18.3112749159425,20.7916962162752,24.7255596395766,29.8468895263585,33.4190496705941,34.2156847638429,32.7532184248442,29.6885004740266
"October","Igalamela-Odolu","Kogi",17.7875720262058,20.156006032539,23.9181797007836,28.4642195423691,31.6078284554801,32.4258315932037,31.0448903352291,28.1803690545358
"October","Ijumu","Kogi",21.1036143779661,23.0565796357745,26.2168128910128,30.264375383596,33.1614024082189,34.0481974979123,32.7082992283166,29.8789134329029
"October","Kabba/Bu","Kogi",20.3191331240073,22.3210882599649,25.6065527166477,29.789102468784,32.6536576852457,33.348935831703,31.9261273014862,28.9945979262557
"October","Kotonkar","Kogi",19.083677828202,22.033688825805,26.6231725692973,32.1434023519708,35.8042997332832,36.6202131130676,35.0772450291293,31.8372325546872
"October","Lokoja","Kogi",18.6970295028243,20.9852185212823,24.6412686207192,29.1584367754973,32.0218340596442,32.6316266014951,31.3103593323916,28.5455788039499
"October","Mopa-Muro","Kogi",22.2798534358444,24.3316866475875,27.6647966417408,31.9160943115124,34.9749341164012,35.7647198531444,34.2293112572075,31.0225149160945
"October","Ofu","Kogi",18.2696287591463,20.4748229112267,23.942275835698,28.2078085203364,31.0501423517182,31.6917025139849,30.3016124284125,27.4833792388729
"October","Ogori/Magongo","Kogi",22.3601811922857,24.4082358421686,27.7899985143259,32.2199182602058,35.4071362640752,36.370971427985,34.8306662030048,31.5761799399215
"October","Okehi","Kogi",19.4372132919763,21.1772337699024,24.0663543648363,27.7815753404926,30.4211819428601,31.3159068137875,30.4751947511011,28.6121025615341
"October","Okene","Kogi",21.9817313990664,23.9575181721379,27.218660449367,31.3794232960184,34.2914140480731,35.1241423760571,33.6215784014353,30.4598310287702
"October","Olamabor","Kogi",18.8492203745589,21.3274180739248,25.1483985448569,29.7027822702144,32.7847275392078,33.5658218024004,32.1256977803077,29.1304354951406
"October","Omala","Kogi",17.4147586062693,19.4027458161694,22.5211733918562,26.3829712027675,29.1340336669345,29.9543789991578,29.0817781224724,27.3139404507612
"October","Yagba East","Kogi",21.9379868041323,23.9452324723344,27.1945165838214,31.3484387385667,34.2453805308709,34.9431375288591,33.4783053262011,30.4230208916263
"October","Yagba West","Kogi",22.9830545384439,25.0956396856353,28.5585598672837,32.9858948537665,35.9297589967405,36.5365851292718,34.9440873209305,31.6766571219059
