"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"August","Asa","Kwara",5.80337796488448,7.07182874225351,8.54574321591716,9.67227921039393,11.1226997521584,12.9262953677582,13.7037713075555,13.8116352077707
"August","Baruten","Kwara",4.42930479097427,5.49177445252432,6.6503696485577,7.55257904038678,8.75857668718271,10.3080796475131,11.0440008191705,11.1576380953179
"August","Edu","Kwara",4.07131396690318,5.19763978983635,6.44956281363884,7.44997597289096,8.75625493453582,10.3379072132851,11.0202277429487,11.110307121218
"August","Ekiti","Kwara",5.71162937662527,6.9697632536912,8.42626448320129,9.57805353183628,11.1414085130852,13.1159991134953,14.2264873806017,14.5200514621787
"August","Ifelodun","Kwara",5.30627771359456,6.46634540043366,7.7670515252481,8.79137474033897,10.1520984689326,11.8871667003838,12.8078789705463,12.9874553945559
"August","Ilorin East","Kwara",4.97124951837998,6.03397103336418,7.2542985713878,8.19238881541995,9.41124751239399,10.9484702665943,11.6519591986876,11.7640821069998
"August","Ilorin South","Kwara",5.45893361518751,6.75996679713293,8.29959557108948,9.5103603311874,11.0384608142819,12.899659658012,13.6434621094894,13.7145808693215
"August","IlorinWe","Kwara",5.26460437403086,6.57154767141708,8.09582461082677,9.26183970003838,10.7525633261547,12.565615209498,13.2661933416629,13.3359644388739
"August","Irepodun","Kwara",6.02413941579334,7.28377841904328,8.73411232724817,9.84487884331589,11.344157446198,13.2761780410422,14.39241558372,14.7317397988029
"August","Isin","Kwara",5.6826344712626,6.9658993491738,8.45135767806506,9.63143175660005,11.2249990170041,13.2385085452847,14.3969847271943,14.7237912317884
"August","Kaiama","Kwara",3.57287148198268,4.67772252288811,5.85091597884714,6.76969227147943,7.96549711635738,9.45642814686136,10.0765418611721,10.141176518315
"August","Moro","Kwara",4.75242364894352,5.82032813538706,7.05653957237479,8.00506435427239,9.22619170905991,10.7495130565564,11.3815794269719,11.4493271822105
"August","Offa","Kwara",5.99947955006098,7.16917451378627,8.48363104200826,9.49743556371335,10.8886584745004,12.712056948251,13.8143356267372,14.1367233007216
"August","Oke-Ero","Kwara",5.77998866918535,7.05671792445673,8.51572065150862,9.67970514912536,11.2853337350039,13.3164347186313,14.4859501935335,14.8078210757463
"August","Oyun","Kwara",6.52660208116746,7.77860037254035,9.21778447669459,10.2868731116657,11.7067038978084,13.552845424766,14.5485545380808,14.7971142074518
"August","Pategi","Kwara",4.21435328182294,5.35163109222558,6.60806941115636,7.59950708365912,8.89122103049156,10.5050365000369,11.3099110487944,11.4433006273817
