"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"March","Asa","Kwara",18.2746665300772,18.7142518934918,19.4667262915958,19.3146724652104,19.9138718303997,21.9868395429649,25.4905249042211,30.7947658502872
"March","Baruten","Kwara",18.2835672227566,18.685915388395,19.4384013890479,19.0983830058046,18.8126199549541,20.3283254843086,23.5039704963432,28.2771678273791
"March","Edu","Kwara",17.9928778727393,18.37530404775,19.1112305067657,18.7252712845709,18.4387617969901,20.1267380133934,23.5375877698538,28.9760714661515
"March","Ekiti","Kwara",19.1905358539116,19.6639938460645,20.4346049495218,20.5433732794153,21.658280585876,24.0819948282442,28.1703268928878,33.8836504031097
"March","Ifelodun","Kwara",18.9019815656314,19.3393217027893,20.095162813221,19.8303270643235,20.2059357552396,22.3208622558453,26.0434122488822,31.5265816212357
"March","Ilorin East","Kwara",18.154686914785,18.5627294456584,19.2922840749828,19.0301665711331,19.342223971666,21.3239621538602,24.9524567098705,30.1898836294203
"March","Ilorin South","Kwara",18.1329759241951,18.5678270783064,19.3027205962942,19.2000241770754,19.9252363947509,21.8896625953815,25.3115725948112,30.6083566183583
"March","IlorinWe","Kwara",17.4692970005319,17.8699874442188,18.5667478441892,18.550008894282,19.3305380324463,21.4217514267145,25.0595334837441,30.2547815608532
"March","Irepodun","Kwara",18.9293018640678,19.4157030212456,20.184763707427,20.1569860139798,21.0922303765419,23.4391623574384,27.3469860406999,32.7127988922644
"March","Isin","Kwara",19.1493877653521,19.6294751022953,20.3991173339743,20.2602963369921,20.9102532405267,23.052052839292,26.8247864839565,32.3945143977202
"March","Kaiama","Kwara",18.778874541233,19.1697688546511,19.9405999571098,19.5853976359633,18.9691485746878,20.1417144036176,23.2844778495847,27.8805536076457
"March","Moro","Kwara",17.843499230812,18.2327578086478,18.9607712366666,18.6277308720129,18.6323346978001,20.5144305306576,24.0564528688562,29.4516229885977
"March","Offa","Kwara",19.2113990978937,19.7020378466812,20.532530077123,20.5513961966825,21.2394981124214,23.4641157970359,27.2131690545884,32.5987679797054
"March","Oke-Ero","Kwara",19.4787715292958,19.9575075684829,20.7261369738489,20.760166124601,21.7601970096187,24.1598413453206,28.275075453793,34.0119607086953
"March","Oyun","Kwara",19.2252250250275,19.7295570004982,20.5327602751084,20.4672569503602,21.0931505847358,23.3080117418312,26.979901260552,32.3460765039144
"March","Pategi","Kwara",18.6608519034658,19.0701579617489,19.834931723373,19.4323660042915,19.3315804443174,21.2773753669847,24.7674817237023,30.1956091755218
