"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Asa","Kwara",19.4512934848398,22.0034848437215,24.7558136740249,28.0077512328556,32.5908910274193,34.5592183268765,34.7776700028674,32.7929638602785
"September","Baruten","Kwara",15.2286180619651,17.2167792445794,19.4317521760716,22.1021800859234,25.9587492486305,27.7464490505943,27.9473661365958,26.3553984863427
"September","Edu","Kwara",14.4341672592265,16.6128793442601,19.0746902992464,21.9586464315838,25.8817769485313,27.538424148455,27.707674141591,26.126623087144
"September","Ekiti","Kwara",19.5084011472689,22.1351008303849,25.0986358815088,28.6454853328513,33.6248126967074,36.4364893747116,36.9661262848733,34.9024702756141
"September","Ifelodun","Kwara",18.0781730561839,20.3795096441892,22.9575125617216,26.0441000284432,30.4278561091753,32.8313414252983,33.2119108115427,31.3433958966822
"September","Ilorin East","Kwara",16.5033662378302,18.5873653438583,20.8600875073404,23.5607036954028,27.4310108733658,29.2346027528641,29.4525325706141,27.776822567007
"September","Ilorin South","Kwara",18.3658888123694,20.9781450995913,23.8647938304168,27.226930220801,31.8826173075667,33.8475304527206,34.0513277596398,32.1073531195091
"September","IlorinWe","Kwara",18.1692772685052,20.7959875258614,23.6296928561937,26.9111622695144,31.4282329014508,33.1254220598962,33.2599985693208,31.3533172462241
"September","Irepodun","Kwara",20.3846151663454,22.9930239675919,25.8313449852462,29.2382497385011,34.1466394533016,36.9347163056066,37.5136000057881,35.4201151724363
"September","Isin","Kwara",19.5662954958239,22.2937540649277,25.3758909266549,29.0089711850691,34.0740453838538,36.9692808203626,37.503650356779,35.408666311032
"September","Kaiama","Kwara",12.9791966845073,14.9580042601912,17.1792255063962,19.8075604550168,23.4849167050404,24.9761388960898,25.1003714940767,23.6633754471106
"September","Moro","Kwara",15.74986222177,17.8482968813269,20.1247654509978,22.811766665262,26.620466815237,28.2121487363884,28.3523112213933,26.7292977298075
"September","Offa","Kwara",21.5260013814769,23.909610653156,26.4217659946034,29.5202871301011,34.1112714528125,36.5387336995437,36.9571800549414,34.8534061794636
"September","Oke-Ero","Kwara",19.953591856081,22.6428666491329,25.696310421076,29.3693290922848,34.4940452347464,37.4285283921447,37.9739742947389,35.8542445723039
"September","Oyun","Kwara",21.1803139120697,23.6366590425841,26.2419583173624,29.4172712826006,34.0854000934432,36.6722202735181,37.1763338698337,35.0858519872529
"September","Pategi","Kwara",15.0017180638484,17.1502273905671,19.5659955302002,22.4228387039193,26.4223247445242,28.4119247695319,28.6619575008133,27.0343028747854
