"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Abeokuta South","Ogun",5.4690609147156,5.82722707660833,6.21789238176692,6.80096553002792,7.56914099346452,8.22478130720449,9.24302401768668,11.0886766428084
"June","AbeokutaNorth","Ogun",5.69235124426239,6.08723065469385,6.51704215039011,7.14350371387237,7.97859685916469,8.71008742698148,9.80717013826965,11.7663813608953
"June","AdoOdo/Ota","Ogun",5.84421025141521,6.13981979593946,6.46402552078641,6.99449963336608,7.818506461702,8.6681573010745,9.91987346355425,11.9736515416707
"June","EgbadoNorth","Ogun",5.16826359294542,5.48746230779732,5.84550144758653,6.42956181999375,7.32512800879445,8.21116798178853,9.45514795253333,11.5353050501594
"June","EgbadoSouth","Ogun",5.76855704367944,6.09348001988616,6.4544818987601,7.03172476645594,7.9234001214638,8.83534505228212,10.1301125046727,12.2380961441076
"June","Ewekoro","Ogun",5.95857152556678,6.33197205587183,6.72989006650046,7.32166356944468,8.16621590841113,8.95632675042368,10.1397149709533,12.1464339620949
"June","Ifo","Ogun",5.74958075756006,6.0283158569858,6.33049120366188,6.82635312280839,7.60240838168112,8.4199878594402,9.60088988102441,11.5401422062661
"June","Ijebu North-East","Ogun",6.06116973993703,6.38658923010272,6.73161089276792,7.27344891466195,8.0883711428209,8.87662274831844,10.038876553137,12.0055187743567
"June","IjebuEast","Ogun",6.55883413056577,6.8873224145688,7.23860644552871,7.80877253573074,8.62995584138304,9.36157985412431,10.4883685547217,12.4521709015243
"June","IjebuNorth","Ogun",6.38507281251542,6.78758990411807,7.2133047542434,7.84178884728192,8.71691087371084,9.53014540515997,10.7235732775892,12.7660221124249
"June","IjebuOde","Ogun",5.85674349227195,6.11443544418421,6.39653948902287,6.87978736598094,7.63433713189158,8.45779836952208,9.6669953812753,11.6448884418433
"June","Ikenne","Ogun",5.32873597077904,5.53766344746659,5.77154899561505,6.19537268633135,6.89375797223496,7.65476320610636,8.74987058534029,10.5602656937155
"June","Imeko-Afon","Ogun",4.93614749336867,5.19917656160228,5.49975221233125,6.01176196661563,6.79832585429545,7.70028662625472,8.99915594358163,11.0924906634884
"June","Ipokia","Ogun",5.67457406517439,5.99443050636569,6.35441994579321,6.93518629443211,7.8392904577732,8.78170654611342,10.1106878226572,12.2556448899003
"June","Obafemi-Owode","Ogun",5.63342118101413,5.93286050217542,6.26244083617408,6.79481746454294,7.56353812323454,8.27706384010303,9.3479743229688,11.2091703404347
"June","Odeda","Ogun",5.45112933337274,5.80285407836194,6.1904459418402,6.77064496773571,7.53275540896368,8.18234330082224,9.18765244670873,11.0189473027552
"June","Odogbolu","Ogun",6.13678874601533,6.36747095816439,6.62550548211526,7.10019329301959,7.85147796262929,8.67315522927968,9.90567148176373,11.9172319257619
"June","OgunWaterside","Ogun",6.60859668530137,6.87733969008094,7.17575607369736,7.71057902127674,8.5229732025287,9.27832518255382,10.417491709761,12.3590110002294
"June","Remo-North","Ogun",5.69598500780608,6.0199148134134,6.37252596105226,6.91779414041035,7.7258828869578,8.50181859429333,9.62705018269369,11.5618009601017
"June","Shagamu","Ogun",5.53153978917396,5.74531027714545,5.98480687454031,6.42115241102455,7.14607075695883,7.99856078615587,9.18777074293632,11.1298893053061
