"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"April","Abeokuta South","Ogun",14.3209927411352,14.8495963033057,15.0063236314589,15.8449679727444,17.9383581102887,21.7125103490079,25.6884947294795,29.3623901966929
"April","AbeokutaNorth","Ogun",14.165165004639,14.8684785493187,15.0349761188146,15.7838582375145,17.9695831199157,21.8113805980262,25.7247639116348,29.3544829746497
"April","AdoOdo/Ota","Ogun",15.3613080765921,16.2611271495231,16.2544899951342,16.2390883427431,16.8923348610121,19.4414489366806,23.2538097041969,27.1369816305662
"April","EgbadoNorth","Ogun",14.343779086391,15.0511860297533,15.2474701976142,16.0342876794027,18.2286523219042,22.0947868740998,26.2511065328475,30.2388054743832
"April","EgbadoSouth","Ogun",15.2611972565729,16.1084958468512,16.1264600802517,16.2899013250555,17.6251288574991,21.1839108763536,25.2646691613669,29.27518380481
"April","Ewekoro","Ogun",15.5903817065087,16.4933186771736,16.4917485957914,16.5055434015003,17.4322986325763,20.6742940919978,24.5919183588715,28.3791336324498
"April","Ifo","Ogun",15.8809379901797,16.7758197562911,16.7475840974895,16.7640271346357,17.3593542289885,20.018880069176,23.9050096207427,27.7709202528585
"April","Ijebu North-East","Ogun",15.8011507286868,16.7360779845871,16.7498365540297,16.7421614714548,17.5404456425976,20.4600250174504,24.2883117827325,28.0780069823627
"April","IjebuEast","Ogun",17.2864725116337,18.420859699985,18.510035732727,18.5274161690292,19.1660923637773,21.6469632338528,25.2348217119204,28.9335061200287
"April","IjebuNorth","Ogun",16.1952188649686,17.2054928394194,17.2940270066773,17.3788375423985,18.342861934457,21.3670680770904,25.2617316388921,29.0652740154899
"April","IjebuOde","Ogun",16.1126945576494,17.034591339071,16.9865489353597,16.9109845253962,17.6918287957978,20.718529029159,24.7235401452202,28.6928396655403
"April","Ikenne","Ogun",15.5694636612254,16.2799181008072,16.2763471728209,16.8303247565727,18.338731376802,21.5413791889361,25.9014343649229,30.107586682763
"April","Imeko-Afon","Ogun",14.55896027766,15.0752322856818,15.104012908349,16.0487387295171,18.4364965233039,22.3359624121352,26.372786010682,30.2508028796793
"April","Ipokia","Ogun",14.542741053508,15.4689456056385,15.5439293995371,15.6828458516501,16.6125930899672,19.1975997335153,22.8291388230858,26.5955888865119
"April","Obafemi-Owode","Ogun",15.5916429556961,16.3764178256977,16.3066931195755,16.5544273766006,18.0281367389246,21.4019717500973,25.5032805299652,29.4496074406673
"April","Odeda","Ogun",14.4903513902559,15.1342155487717,15.4252268556698,16.3602503328582,18.5984805075416,22.413654897439,26.3471661107056,30.0267192426644
"April","Odogbolu","Ogun",17.5214921436847,18.5321669265518,18.4451050802354,18.2896826184916,18.6021736957067,20.6873708242772,24.6514850593113,28.7305422691952
"April","OgunWaterside","Ogun",18.0492298876451,19.1023363185949,19.0782414168205,19.0537256176494,19.7458281393636,22.5669982978711,26.3592372387333,30.076173381871
"April","Remo-North","Ogun",15.5533203928911,16.3197322394011,16.2730090153361,16.4971619684035,18.0154750291318,21.4686053978043,25.5890635218693,29.5213054406207
"April","Shagamu","Ogun",16.0646032491362,16.8214782059974,16.8030933684533,17.1970955363129,18.4446185531575,21.4448696726652,25.797170243525,30.0155376732967
