"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"February","Abeokuta South","Ogun",19.8040514631979,20.7271889668578,21.4014841330169,22.5584181297995,23.3789537371258,24.4793128606575,26.5235744137269,31.034386663326
"February","AbeokutaNorth","Ogun",19.8347314707941,20.5632780645988,21.1773291876472,22.4322480637647,23.5005316686493,24.8284924678693,27.0690188043258,31.7191111908069
"February","AdoOdo/Ota","Ogun",19.8157352500661,20.8703457562534,21.6924401750069,22.9148717694598,23.3842838563123,24.0406351273941,25.6849139758482,29.4519665683091
"February","EgbadoNorth","Ogun",20.1995158461128,20.8325394404994,21.4216163579827,22.6644581325194,23.6569185196584,25.0228798382381,27.459473876271,32.0816169591726
"February","EgbadoSouth","Ogun",20.3650787542432,21.2458856030647,21.9843813435738,23.3238687054311,24.2026102464189,25.3908308490049,27.8081573076567,32.2201928976355
"February","Ewekoro","Ogun",19.5156804147547,20.5287674371913,21.296309033333,22.5304931985534,23.199206377138,24.0516351760081,26.2193101367367,30.609658614845
"February","Ifo","Ogun",19.6471316640454,20.6939044136505,21.4895228818871,22.6883427928653,23.3102712088049,24.2536016337313,26.3277991147948,30.5262079255225
"February","Ijebu North-East","Ogun",19.7796092009956,21.0229951370761,21.8471133466446,23.0365449198624,23.2532010539515,23.5888170690885,25.3288988152283,29.4336850852557
"February","IjebuEast","Ogun",20.0751033314543,21.5753161821565,22.5905901594064,23.910789650146,24.0484376698252,24.4323770102597,26.4814852445117,30.6613099749014
"February","IjebuNorth","Ogun",20.0503088849384,21.2836560458734,22.1265355488101,23.4531972922168,24.0405464794615,24.849840520342,27.1367565633071,31.6176610507391
"February","IjebuOde","Ogun",19.8900650855749,21.1465947439464,21.9775670656927,23.2012121983485,23.5013833296287,23.9705684881296,25.709615183612,29.7791130801519
"February","Ikenne","Ogun",19.8537733551895,20.9342253451972,21.6633974346141,22.74976100842,23.4336675456113,24.6890911457722,26.9765869468534,31.0940619365337
"February","Imeko-Afon","Ogun",20.3834103266129,20.8568664117839,21.4065686498746,22.3649371893186,22.8729752570112,24.0627522449826,26.4657636456662,31.1325876718055
"February","Ipokia","Ogun",20.2307966465976,21.0180131490848,21.7492051474493,23.2253006014435,24.1926305805583,25.3735892265746,27.6854448239063,31.4516261965716
"February","Obafemi-Owode","Ogun",19.8885028736979,20.9560994615051,21.7071418078107,22.8875113642743,23.5480601098402,24.66661483747,26.8428984099102,31.2023173184488
"February","Odeda","Ogun",19.9665825014547,20.6856947638141,21.2961687972605,22.460729156596,23.423623200325,24.8620188311723,27.1409196770682,31.8533935511209
"February","Odogbolu","Ogun",20.3538152957479,21.8268458116315,22.8515360722229,24.094913474739,24.170830910884,24.360672807069,25.6501504464525,29.4671276710451
"February","OgunWaterside","Ogun",20.3227462685718,21.8310167694858,22.88208917197,24.1692782107228,24.3062843279249,24.8068145673754,26.9916720581401,31.2587984458365
"February","Remo-North","Ogun",19.9638208147615,20.9840233884632,21.6895414267099,22.89312349432,23.7188896955913,24.9514949773212,27.1712562390857,31.5494798689457
"February","Shagamu","Ogun",20.0596015285152,21.219288324925,22.0036885867847,23.1184356079873,23.8039488256692,25.2390656266786,27.6156003972749,31.8303274273878
