"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Abeokuta South","Ogun",13.514322973308,14.399369467653,15.3647229699651,16.8055258729755,18.7037258519005,20.3238458491677,22.8399744989047,27.4006744182117
"June","AbeokutaNorth","Ogun",14.0660845421346,15.0418513092812,16.1039370057215,17.6519548521643,19.7155117688389,21.5230615364426,24.2340077701712,29.0753166618403
"June","AdoOdo/Ota","Ogun",14.4413357417596,15.1718017067562,15.9729302631393,17.2837583190292,19.3199203921887,21.4194500988201,24.5125033221157,29.5874916420454
"June","EgbadoNorth","Ogun",12.7710377513478,13.5597937356826,14.4445263520587,15.8877687352955,18.1007575661315,20.2902066413985,23.3641433481075,28.5043155441963
"June","EgbadoSouth","Ogun",14.2543928827841,15.0572938031397,15.9493474959312,17.3757434841509,19.5791178701431,21.8325793914417,25.0320145046714,30.2409474768971
"June","Ewekoro","Ogun",14.7239281682518,15.6466195486621,16.629894848826,18.0921967632763,20.1791278204793,22.1315312166344,25.0557426789742,30.0144456420345
"June","Ifo","Ogun",14.2075015309688,14.8962698984048,15.6429602888087,16.8682598841157,18.7859312315531,20.8062110000697,23.7242789405054,28.5162683987938
"June","Ijebu North-East","Ogun",14.9774534858714,15.7815813170453,16.6341470965742,17.9730559405754,19.9867695124676,21.9345786422323,24.8065659066292,29.6662371673741
"June","IjebuEast","Ogun",16.2072070783346,17.0189180525202,17.8869584572237,19.2958673744174,21.3250523818496,23.1329318985339,25.9172831171451,30.7699369062116
"June","IjebuNorth","Ogun",15.7778341733662,16.772474032571,17.8244367129732,19.377452331076,21.5399226144832,23.5494658034205,26.4984857475869,31.5454789409076
"June","IjebuOde","Ogun",14.4723060065786,15.1090757043514,15.80616890435,17.0002985707072,18.8648287697607,20.8996426610075,23.8876289369003,28.7751015842169
"June","Ikenne","Ogun",13.1675730205936,13.6838432618623,14.2617861456146,15.3090756765591,17.0348206372912,18.9153026204491,21.6213677099051,26.0949445424556
"June","Imeko-Afon","Ogun",12.1974672634886,12.8474252425473,13.5901627042811,14.8553644076056,16.7990031022568,19.0277932678067,22.2373642943874,27.4100990540129
"June","Ipokia","Ogun",14.0221562437492,14.8125375027549,15.7020894070523,17.1371920928565,19.3712786856805,21.7000359607736,24.984015144177,30.284311305188
"June","Obafemi-Owode","Ogun",13.920465409345,14.6603949439006,15.474804428228,16.7903336957588,18.6898808794187,20.4530386020866,23.0993119507721,27.6984203697312
"June","Odeda","Ogun",13.4700131392307,14.3391425703363,15.2969014445842,16.7306022475233,18.6138152533197,20.2189794134968,22.7031485784396,27.2283697324734
"June","Odogbolu","Ogun",15.1643118308412,15.7343391111721,16.3719553215809,17.544932636716,19.4013946195551,21.4318002293116,24.4774095150123,29.448075950154
"June","OgunWaterside","Ogun",16.330172839214,16.9942502411745,17.7316520459099,19.0532262905259,21.0606929321086,22.9272054423496,25.7421428894048,30.5397341321169
"June","Remo-North","Ogun",14.0750637535392,14.8755104996852,15.7468302760582,17.094215210661,19.0910429078171,21.0084188374285,23.7889223539452,28.5697882624594
"June","Shagamu","Ogun",13.6687113960383,14.1969489603403,14.7887570273328,15.8669886652622,17.6582981439831,19.7648436306305,22.7034408943328,27.5025129678768
