"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"April","Akoko North-East","Ondo",6.30848756168769,6.50380421102566,6.49064250442409,6.78048482458865,7.53943290365882,8.99471170356243,10.7019969555306,12.3138000888277
"April","Akoko South-East","Ondo",6.33813886399054,6.53689863365289,6.52984559651401,6.78929901667228,7.49332114378026,8.863669544997,10.4468206357223,12.0220147836871
"April","Akoko South-West","Ondo",6.30427371012937,6.49929574111775,6.49007840754626,6.74622966656746,7.44931391816908,8.85817327825888,10.4213093628928,11.9425658804172
"April","AkokoNorthWest","Ondo",6.35839825503465,6.55094439127813,6.51566236702155,6.79310833694357,7.53713748105746,8.97073973813374,10.6594908757455,12.2655900724025
"April","Akure North","Ondo",6.30128038910025,6.55807898587931,6.55923909237422,6.79005785124452,7.46682248226058,8.85363345410531,10.4172969755089,11.9612812017612
"April","Akure South","Ondo",6.29527701074918,6.54809896404072,6.58199001829992,6.8338845462171,7.53654481566639,8.92688464583429,10.5073639423999,12.0479046252278
"April","Ese-Odo","Ondo",7.25757861352229,7.66202582086521,7.63188443597167,7.62783478811205,7.90362325371183,8.76829986622954,9.89562283094318,10.9614450006477
"April","Idanre","Ondo",6.53741104989377,6.79371046743897,6.78428761322117,7.0313324706526,7.69364904814749,8.98590639886293,10.5905194672886,12.0989959306366
"April","Ifedore","Ondo",6.30822055538869,6.58896382283537,6.69885106121749,6.99412378257588,7.72931541669952,9.19095206098565,10.8230526689151,12.363933395737
"April","IlajeEseodo","Ondo",7.61084366659427,8.05264649689042,8.03944366365429,8.03158107180728,8.37708345497634,9.51552359637609,10.9320447208591,12.2786798660978
"April","IleOluji/Okeigbo","Ondo",6.44961949025296,6.78974574069738,6.90004204174437,7.14108434397488,7.8530375233032,9.31786837698222,10.9116689179927,12.4042447007244
"April","Irele","Ondo",6.64740476698515,6.95346802906733,6.93932823711084,7.0433170215111,7.49967609123149,8.52563935354539,9.81609309949774,11.0288321899768
"April","Odigbo","Ondo",6.80411493953221,7.14788491175196,7.1527970809374,7.29372168719923,7.76343223479994,8.89654988902836,10.4673980030442,12.0021400865755
"April","Okitipupa","Ondo",7.04033217318773,7.3952389358644,7.34565760615346,7.37545164088353,7.84993269913048,9.1031057032152,10.6148521015218,12.0997881873409
"April","Ondo East","Ondo",6.33420854556696,6.6406815756898,6.73691506260837,7.03157142229327,7.76274154507035,9.16653464819835,10.7095434990421,12.1502347248297
"April","Ondo West","Ondo",6.54022762022814,6.91485647386172,6.95240658038952,7.07131055100262,7.65142906171851,9.0098206907488,10.5296903511067,11.9899374768213
"April","Ose","Ondo",6.32994227644974,6.54134512338402,6.52824958397667,6.81445160704257,7.5499553945682,8.97795306414668,10.5837125931311,12.1025927241099
"April","Owo","Ondo",6.34660838288969,6.54939484514348,6.48453861926244,6.7277130079199,7.43692734726747,8.84946186312089,10.4724797569806,12.0519672565649
