"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Akoko North-East","Ondo",4.21763393358822,4.40990433372295,4.71711231240581,5.52611838818276,6.92731259815844,8.26436204337541,9.7595929029523,11.9165752689057
"June","Akoko South-East","Ondo",4.71271207836267,4.97373213096189,5.29601073692104,5.80407022386493,6.87849842419137,8.27032846202057,9.83993008472212,12.1871486074956
"June","Akoko South-West","Ondo",5.09217874480471,5.51320836983042,5.99240571802925,6.60054016908861,7.35449949261256,8.26269651735349,9.75107991605043,12.0554384872582
"June","AkokoNorthWest","Ondo",4.28746226337885,4.56403884752487,5.12996758167292,5.97962471990354,7.26037438210527,8.558859134034,10.0236099174272,12.1767198601203
"June","Akure North","Ondo",6.16284123053841,6.74318847318802,7.38208317796352,8.15606524210387,9.05474256472967,9.72856468134714,10.7300884598176,12.6560699465466
"June","Akure South","Ondo",6.33672760971768,6.93647930082744,7.59452043858503,8.38953971619965,9.31325438584139,10.0033810405345,11.0062485282941,12.9341185540625
"June","Ese-Odo","Ondo",6.34470278867837,6.60856166807836,6.90165047483852,7.42427329015806,8.19691810025131,8.89916887799239,9.96599132191694,11.7918649334592
"June","Idanre","Ondo",6.06681723868804,6.5775360977724,7.12235337789776,7.81952010095619,8.64338645644023,9.3005299639821,10.2611697311653,12.0470953575191
"June","Ifedore","Ondo",6.37602059126158,6.97688729283739,7.6361840057754,8.4341065507367,9.36079156888888,10.0528922516602,11.0469258116693,12.9151927297672
"June","IlajeEseodo","Ondo",6.66179840515138,6.9328606346574,7.23483261001458,7.77618602036923,8.60734108656396,9.37970638560706,10.5312413735948,12.4912186597845
"June","IleOluji/Okeigbo","Ondo",6.67226597543958,7.25130454548383,7.89032166585697,8.68930518632302,9.62909313304392,10.3309810484826,11.3481155541221,13.2585344840803
"June","Irele","Ondo",5.72204061506434,5.99675907699171,6.30925514702354,6.81872789645927,7.51962822329031,8.13229007672432,9.08018551881975,10.7710924186166
"June","Odigbo","Ondo",5.99633921835093,6.30011703903368,6.63657032007378,7.17802346772637,7.9209296469927,8.56280538323438,9.56882064487758,11.3855576297183
"June","Okitipupa","Ondo",6.1850250983041,6.44520623039852,6.73851397022553,7.25342368133214,7.99797211166831,8.65857727337831,9.69170683177567,11.5212794278564
"June","Ondo East","Ondo",6.3518767267518,6.87125003431545,7.43564524838406,8.1669139384681,9.04562928194721,9.72281159147803,10.7224651576282,12.5984512779888
"June","Ondo West","Ondo",6.54121972104286,7.0219485385752,7.53766592263621,8.24283504570418,9.11228335994646,9.80195088982505,10.84347394815,12.7706043924675
"June","Ose","Ondo",5.10130592970856,5.45945185086994,5.86348160320779,6.4314801303631,7.27867240569127,8.22853448793718,9.43944349139942,11.4064076076194
"June","Owo","Ondo",5.5173738810481,6.01199236945278,6.56192636131661,7.24095822278428,8.06746046344074,8.86959055862187,10.1310178133391,12.265786278318
