"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Akoko North-East","Ondo",5.12437725992532,5.14542001088731,5.4670844081507,6.0885452668529,7.42020112226209,9.11844536442147,10.4268299323665,12.3272053951092
"May","Akoko South-East","Ondo",5.21508339287334,5.21951481178815,5.44568214512507,5.96617703196771,7.17432046657375,8.86540760913465,10.1556709131542,12.0365137492916
"May","Akoko South-West","Ondo",5.26725926150494,5.37079537314169,5.67266800548305,6.13826431088336,7.23400440630042,8.85573728814314,10.1113055198186,11.962809938629
"May","AkokoNorthWest","Ondo",5.18008023637096,5.19600521864146,5.50915883505965,6.14182210815825,7.44389376936205,9.0955750034712,10.3904448462112,12.2838541847516
"May","Akure North","Ondo",5.87270299698152,6.19340210518721,6.60651106901712,6.99880578934823,7.86303364960437,9.2290938298364,10.4100736816914,12.2641571333825
"May","Akure South","Ondo",6.02127039889608,6.36261831782732,6.8228816117316,7.23336135355781,8.08474410516602,9.42787468908337,10.5885902705326,12.4001738000927
"May","Ese-Odo","Ondo",6.80782534459059,6.8316226866545,6.91419007811064,7.06099331270043,7.55213220356986,8.3143653386227,8.96378325141548,10.1263368563431
"May","Idanre","Ondo",5.9572268045213,6.11305148737239,6.42199812792216,6.78899267766013,7.57576959763012,8.70836865602739,9.60061339484595,11.0181172202584
"May","Ifedore","Ondo",6.0435035108254,6.42836834880831,6.88102036175947,7.27849313317236,8.07781505924293,9.2532271277215,10.1796181463495,11.7029693563003
"May","IlajeEseodo","Ondo",7.16596754113958,7.20551769923566,7.30673737514466,7.4731031046381,8.04429013930752,9.0640914248593,9.95789704095575,11.3936759071609
"May","IleOluji/Okeigbo","Ondo",6.31646218034527,6.648426806499,7.07177605814111,7.46397325958601,8.21509699770085,9.17384811639021,9.88411818612915,11.1694713548293
"May","Irele","Ondo",6.16639101964065,6.14315245518564,6.17590754114782,6.27926334505933,6.70553941220069,7.35121578706574,7.88858192185362,8.89175051813568
"May","Odigbo","Ondo",6.39641814832697,6.39468631507083,6.44896529641586,6.57583783704559,7.08146718699839,7.93677301802165,8.71704379675472,10.0250333186146
"May","Okitipupa","Ondo",6.65571492571282,6.64583405431274,6.69285451502206,6.81139608630499,7.365812824872,8.33829254043756,9.18452455313727,10.5541377595974
"May","Ondo East","Ondo",6.05462857512435,6.30343861260946,6.62664715584559,6.9507261757233,7.60091174539664,8.41042015825123,9.034286879493,10.2025961725887
"May","Ondo West","Ondo",6.32977633278295,6.51679688558389,6.7706991097795,7.04528606190278,7.75351506868061,8.75539963684337,9.55287924003616,10.9020179742999
"May","Ose","Ondo",5.3551547656342,5.37620832673299,5.62607884729037,6.10412576440229,7.21209161165391,8.7983736976286,10.0241185872172,11.7661492302233
"May","Owo","Ondo",5.48162119217562,5.60920126214956,5.93880358715486,6.40438470250612,7.47862376279305,9.08067584434008,10.353395361648,12.2138896170921
