"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","Akoko North-East","Ondo",8.53847551016218,9.27613513627834,10.4820539035542,12.0472170088949,13.1125721975251,13.4076126357854,12.8694266298243,11.7587705664513
"October","Akoko South-East","Ondo",8.64951619613144,9.44108620372148,10.7426921740627,12.4153829946082,13.576008150925,13.9366791387554,13.339020937347,12.0916367448414
"October","Akoko South-West","Ondo",9.33556106716036,10.092152478942,11.3239648161726,12.9482797005171,14.0697861046097,14.3688317073161,13.747892233351,12.4566359489778
"October","AkokoNorthWest","Ondo",9.13057848185995,9.91680303783384,11.1656906705833,12.7745468942904,13.8851769516319,14.3353096415732,14.0172582962243,13.1589857257135
"October","Akure North","Ondo",9.87011301045982,10.6644850125225,11.9541865125737,13.6597757337006,14.8322320529607,15.1369188430662,14.4764919497921,13.3485871107059
"October","Akure South","Ondo",9.91756467532772,10.7175113236618,12.017204708719,13.732186819472,14.8700809508741,15.1209449758293,14.4526436201532,13.418045618262
"October","Ese-Odo","Ondo",9.37435368335098,10.082165686576,11.2458668241783,12.8081373733848,13.987033143204,14.7927268879516,14.3705484791235,13.1923023287455
"October","Idanre","Ondo",9.34853855597122,10.0791788035941,11.2640278391883,12.8369914582482,13.9275035737379,14.2397904405221,13.6197961736575,12.6091300901527
"October","Ifedore","Ondo",9.91354189639271,10.7066416754552,11.9959226936449,13.7031010540262,14.8503568942585,15.1134920401614,14.4284623160547,13.3950126440524
"October","IlajeEseodo","Ondo",9.47084334541746,10.1899142641361,11.3726812600333,12.979266070665,14.2074622977699,15.0739360916457,14.7367345385873,13.5949314885106
"October","IleOluji/Okeigbo","Ondo",9.94601421438605,10.7214135141284,11.9890938646721,13.6751433386284,14.7932718831593,15.0464348205143,14.376635766906,13.5326457728556
"October","Irele","Ondo",9.15576557103643,9.84982467566073,10.9870864108743,12.5190308404245,13.6013975416361,13.997877091019,13.4398998561817,12.3282230304585
"October","Odigbo","Ondo",9.18454922041283,9.90927235241229,11.0991707633372,12.682652468995,13.8310164188243,14.2996012638302,13.7628024685772,12.6069633109819
"October","Okitipupa","Ondo",9.27916204911245,9.99114843637087,11.1653425438213,12.7419010257184,13.8860012324457,14.4203781904556,13.8944480818785,12.7117313446553
"October","Ondo East","Ondo",9.66059255240631,10.4113111523749,11.6407873673256,13.2814356484936,14.3892037006618,14.6593426145821,14.0171884773089,13.1118077668528
"October","Ondo West","Ondo",9.56441392574596,10.3101482768519,11.5326590951524,13.1620068740011,14.3031556025383,14.6492274479427,14.0284293967995,13.1130442424275
"October","Ose","Ondo",8.68475122011233,9.41871424002347,10.6147270043606,12.1739811323435,13.2632466988976,13.6160548541765,13.0360260577857,11.8271509632649
"October","Owo","Ondo",9.39823694263018,10.1568116423852,11.3920927544349,13.0240514275219,14.155045256741,14.4645894214274,13.8421786440722,12.601480758151
