"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Akoko North-East","Ondo",7.38249044881614,8.26214045123585,9.23160006460758,10.4015306448278,12.085494778836,13.0536898199818,13.2906509408682,12.5997231730379
"September","Akoko South-East","Ondo",7.38354884692275,8.31148254398974,9.3505335350628,10.6178124586016,12.4144568361175,13.5024164010524,13.7868949445014,13.0290096881821
"September","Akoko South-West","Ondo",8.14641410233548,9.07681339503152,10.069430797418,11.2686383190191,13.0329503259337,14.062546559684,14.2939649277238,13.4915533039609
"September","AkokoNorthWest","Ondo",8.3731897335742,9.26807940866168,10.2489512376989,11.4380466595158,13.1571944823215,14.1830064164637,14.6879988115164,14.3219492974492
"September","Akure North","Ondo",8.6102246270839,9.56649012884858,10.6135705695105,11.8987098351073,13.7797473648262,14.8586269207009,15.1054821708773,14.2468894293369
"September","Akure South","Ondo",8.66121204228176,9.63578593840726,10.6863199924287,11.9531561201422,13.8193899607574,14.852463716637,15.0565297037195,14.2046867377082
"September","Ese-Odo","Ondo",7.70663752687193,8.60951444658727,9.58471073543304,10.7419443400657,12.4099307808603,13.475384926496,14.0301653395352,13.3632213441404
"September","Idanre","Ondo",8.22175289515127,9.12572795942501,10.1091089161535,11.2852669351075,13.0137314517133,14.012650878046,14.2358927284063,13.4387672740725
"September","Ifedore","Ondo",8.75322713987302,9.73422523490777,10.7963152428365,12.0762270835442,13.9577814586702,15.0121199489561,15.2241657870997,14.3465272890777
"September","IlajeEseodo","Ondo",7.94946606610114,8.85021683336146,9.82336848558981,10.9877070411985,12.7074337848059,13.8320449417577,14.4371363406242,13.818962838154
"September","IleOluji/Okeigbo","Ondo",8.70188338155538,9.650547449547,10.6593393844264,11.8995980725097,13.7531039913502,14.7679801179346,14.9732664608981,14.145132278423
"September","Irele","Ondo",7.93356364066409,8.80942574508092,9.76341321286432,10.8978855791582,12.5722218065927,13.5412229471961,13.8041639761176,13.0365506080556
"September","Odigbo","Ondo",7.85466871609427,8.71973789838222,9.69093571856356,10.8700310240548,12.5880502952005,13.5927493148721,13.8931327444336,13.1437930998178
"September","Okitipupa","Ondo",8.06141466731602,8.92778297981751,9.90369101884866,11.0755831387806,12.800921204475,13.8086301431001,14.1158811732353,13.3494005232673
"September","Ondo East","Ondo",8.41223371776771,9.33529429548594,10.33605545345,11.5494337267398,13.3562111857571,14.3477617820377,14.5412225848209,13.7404091818364
"September","Ondo West","Ondo",8.16061273118266,9.03197703064437,10.0097457101201,11.2103767885519,12.9748526911405,13.9811197178083,14.2314871722166,13.4489374709863
"September","Ose","Ondo",7.5400503075165,8.42696993719752,9.40906524637998,10.5791454068327,12.2607302404598,13.2681757174494,13.5281634974242,12.7766079014283
"September","Owo","Ondo",8.13679322025229,9.08368219457138,10.1131981820289,11.359401757594,13.1660980099996,14.215219823383,14.4630397918075,13.6450842089154
