"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"June","Akoko North-East","Ondo",10.4219843315932,10.8970941038461,11.6562203795704,13.655314843119,17.1177357956794,20.4216518272828,24.1164420428403,29.4464533182294
"June","Akoko South-East","Ondo",11.6453471812381,12.2903407822134,13.0867073314687,14.3421477266814,16.9971135310981,20.4363951460759,24.3149592358526,30.1150535665519
"June","Akoko South-West","Ondo",12.5830282873497,13.6234135422695,14.8075341495362,16.3102647848264,18.1733359712203,20.4175362292063,24.0954060265564,29.7895912739395
"June","AkokoNorthWest","Ondo",10.5945336259223,11.2779681941763,12.6764063926929,14.7759516641176,17.9407481169012,21.1493688631547,24.7688412864584,30.0892836103504
"June","Akure North","Ondo",15.2286888227219,16.6627558766713,18.2414966369068,20.1540450165008,22.3747216145752,24.0397697558428,26.5145850886323,31.2737816414139
"June","Akure South","Ondo",15.6583707599929,17.1403871763096,18.7664397297655,20.7309721157152,23.0135172501334,24.7188547202128,27.1969904258412,31.9608536530161
"June","Ese-Odo","Ondo",15.6780778259637,16.330086309905,17.0543234058497,18.3457505136451,20.254994471626,21.9902912559631,24.6264628560229,29.1382878438245
"June","Idanre","Ondo",14.9914087376601,16.2534205744005,17.5996913144543,19.3224251454678,21.3582401031866,22.982074567498,25.355863464196,29.7689749831975
"June","Ifedore","Ondo",15.7554656820369,17.2402373449658,18.8693924874713,20.8410989921979,23.1309840063029,24.8411993984649,27.2975060269253,31.9140869948912
"June","IlajeEseodo","Ondo",16.4616369490493,17.1314452712702,17.8776331209765,19.2153444656334,21.2691701919539,23.1777234641543,26.0232239962214,30.8664258692605
"June","IleOluji/Okeigbo","Ondo",16.48750283861,17.9183360971178,19.4973793524159,21.4717075806635,23.7939705864082,25.528370719853,28.0417609400134,32.7625016368867
"June","Irele","Ondo",14.1394484618547,14.8182915172004,15.5904849310525,16.8494175685457,18.5813773211615,20.0952953940896,22.4375924262795,26.6159079210224
"June","Odigbo","Ondo",14.8172540255061,15.5679042093042,16.3992970894183,17.7372548899253,19.5730132042013,21.1591202422413,23.6450342545247,28.1342821809154
"June","Okitipupa","Ondo",15.2835062691643,15.9264268556263,16.6512049461258,17.9235725877558,19.763388986538,21.3957773713815,23.9486921666593,28.4696575302045
"June","Ondo East","Ondo",15.69580498564,16.9792023972952,18.3738511910194,20.1808526876516,22.3522022371557,24.0255535831218,26.4957475277572,31.1314030304742
"June","Ondo West","Ondo",16.163680991683,17.3515859362462,18.6259493781302,20.3684575396873,22.5169077965957,24.2211107463022,26.794766299576,31.5568019840068
"June","Ose","Ondo",12.6055820176063,13.4905784960922,14.4889562156066,15.8925089761337,17.9859634480834,20.3331201464172,23.3253368394225,28.185803518808
"June","Owo","Ondo",13.6337067287639,14.8559337445363,16.2148481351314,17.8927698164111,19.9350981781852,21.9172017498826,25.0342515676516,30.3093711830377
