"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"September","Akoko North-East","Ondo",18.2425030235471,20.4161621620264,22.8117453396485,25.7027022999017,29.8638618732427,32.256320229666,32.8418630074324,31.1345459467353
"September","Akoko South-East","Ondo",18.2451183781885,20.5380889403259,23.1056358918169,26.2371454758275,30.6767435648882,33.3651460478205,34.0681067526101,32.1953343899824
"September","Akoko South-West","Ondo",20.1301965675761,22.4292597397926,24.8820669719597,27.845368718212,32.2050719028986,34.7492556763072,35.3211020346519,33.3383027917526
"September","AkokoNorthWest","Ondo",20.6905704911485,22.9018876227734,25.3256709559159,28.2639851979965,32.5120854255404,35.0469180054026,36.2947794631976,35.3902528114619
"September","Akure North","Ondo",21.2762955647557,23.6392754328913,26.226663555789,29.4023069380419,34.0504447258538,36.7164100523981,37.3264017183464,35.2047761243631
"September","Akure South","Ondo",21.4022880170803,23.8105088431013,26.4064310172909,29.5368464306773,34.1484035625296,36.701180466996,37.205437724376,35.1004911632138
"September","Ese-Odo","Ondo",19.0434866607769,21.2745406732395,23.6842994627918,26.5438815615193,30.6655594560449,33.2983499226179,34.6692400622584,33.0211881024382
"September","Idanre","Ondo",20.3163624915635,22.5501300741372,24.980113587261,27.8864588599973,32.1575811037561,34.6259609521956,35.1776027265283,33.2078658725968
"September","Ifedore","Ondo",21.6296619239832,24.0537572667188,26.6782347808112,29.840960934792,34.4903758734469,37.095698999868,37.6196748682128,35.4509862576754
"September","IlajeEseodo","Ondo",19.6435281226392,21.8693283060778,24.2740346963167,27.1511734841535,31.4007042539447,34.1796746533303,35.6748857544995,34.1473481212205
"September","IleOluji/Okeigbo","Ondo",21.5027889299924,23.8469852752031,26.3397605858868,29.4045018170751,33.9846076178258,36.4924172704224,36.9996900882022,34.9533291165971
"September","Irele","Ondo",19.604232434263,21.7685314873822,24.1258822196484,26.9292201603789,31.0665886951809,33.4610389636689,34.1107793931853,32.2139683800359
"September","Odigbo","Ondo",19.4092791309047,21.5469083337974,23.9467867073565,26.8603901619905,31.1057016819551,33.5883631945147,34.3306256681328,32.4789699393048
"September","Okitipupa","Ondo",19.9201587136712,22.0609981322781,24.472515692126,27.3683197150839,31.631716342318,34.1218155151076,34.8810481731231,32.9870361630198
"September","Ondo East","Ondo",20.7870501282899,23.0679789688605,25.5409098282475,28.5392282104605,33.0038656505652,35.4540367515043,35.9320880682217,33.9532381087768
"September","Ondo West","Ondo",20.1652820893889,22.3184668415738,24.7345821369923,27.7014015633512,32.0615097424428,34.5480458786901,35.1667163769059,33.2329969376808
"September","Ose","Ondo",18.6318413123886,20.8234640633119,23.2502706770673,26.141597257554,30.2968774606882,32.7863256066035,33.4287684103099,31.5716369548244
"September","Owo","Ondo",20.1064228869044,22.4462328868956,24.9902183677024,28.0696497131027,32.5340864876096,35.1265189445707,35.7388944775459,33.7176853344404
