"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"April","Atakumosa East","Osun",6.36873729258821,6.77197163438794,6.88089755574253,7.03242191900196,7.6687909947925,9.11344604527053,10.6029438563666,11.9887550689304
"April","Atakumosa West","Osun",6.62399873627984,7.06377049385901,7.14828278512494,7.22374277090098,7.67233579122783,8.97525704610541,10.4940830843725,11.9430276065188
"April","Ayedaade","Osun",6.73893197490374,7.12768893786752,7.1600307283247,7.20291726858427,7.62131533916688,8.94995317406507,10.5185544223931,12.0004632035773
"April","Ayedire","Osun",6.30261504009344,6.53465953545738,6.5085774683072,6.69664972614716,7.37815888553196,8.69687467970201,10.2783843245962,11.8145367520286
"April","Boluwaduro","Osun",6.3431657166384,6.55609101360761,6.63469421239528,6.9602638130503,7.68869618517725,9.0100614229751,10.6393536320411,12.1578063788569
"April","Boripe","Osun",6.39825365357413,6.67516406883916,6.68867626824215,6.90368191302368,7.59967843298858,8.90453152097714,10.4863532596902,12.0041727926807
"April","Ede North","Osun",6.31891004711834,6.68528549711023,6.69176268891388,6.76195419314745,7.31045696683357,8.46385287527682,9.96035758235654,11.475889216766
"April","Ede South","Osun",6.58046428916121,6.94008738900548,6.9501026995637,7.01984688174476,7.54753586376089,8.80871984982627,10.3858772124151,11.9338205401204
"April","Egbedore","Osun",6.30907755610616,6.60446203314495,6.5939137926182,6.82862958281192,7.52046916244963,8.715518829438,10.2198252685794,11.7471305276882
"April","Ejigbo","Osun",6.1939408388358,6.42486713881662,6.40698726910782,6.65675547956356,7.35590706025536,8.61874638346315,10.1760654585062,11.715693062558
"April","Ife East","Osun",6.84731609810809,7.33031535532416,7.43087898639916,7.48125821033312,7.7109436165493,8.78731531290626,10.3056983062065,11.7361995456494
"April","Ife North","Osun",6.71856296537296,7.13937574567533,7.17812059128302,7.18877815564045,7.56686479786471,8.89097080914487,10.4606196468393,11.9346684441668
"April","Ife South","Osun",6.56139795997508,7.02607179412874,7.14865131202998,7.24044552561476,7.73299852637385,9.11598360599137,10.6370067837969,12.0534496604346
"April","IfeCentral","Osun",6.91574322306586,7.36967264629652,7.4317769199889,7.45179405421425,7.64503172012365,8.75632295445475,10.271529615893,11.6932249214569
"April","Ifedayo","Osun",6.47321571728547,6.66890316614567,6.70854561503483,7.03765068640273,7.82507787484043,9.36895902100799,10.9911365368061,12.5123033108818
"April","Ifelodun","Osun",6.34492782559588,6.61713766719822,6.61782824589714,6.87492130291535,7.59401409516694,8.90286804640076,10.5251327339541,12.0556179383785
"April","Ila","Osun",6.39563541312639,6.59309081637093,6.59856187692203,6.9057272207947,7.66990838274732,9.13754227041781,10.7690061538753,12.3134767972793
"April","Ilesha East","Osun",6.54174426870935,6.89724075723038,6.89079334354732,7.06016105506517,7.74619898420747,9.13266428617457,10.6586866053378,12.0913312206092
"April","Ilesha West","Osun",6.48485707971748,6.85051423432451,6.90765361956998,7.2697891235988,8.03121761047271,9.286265051875,10.7540902552885,12.2054019573669
"April","Irepodun","Osun",6.43180740289597,6.72698171404878,6.66481984534975,6.81941805664752,7.51543335275009,8.80021799242021,10.4161583764672,11.9721738257889
"April","Irewole","Osun",6.52286285391512,6.86066263266593,6.84068676130261,6.85496698855675,7.38275972044079,8.77116472023777,10.3472651325263,11.8446004437508
"April","Isokan","Osun",6.78175250398345,7.18267344720973,7.19943652852401,7.18576213313785,7.57169342961154,8.96085159246291,10.536490668886,12.0340267510358
"April","Iwo","Osun",6.14078376928356,6.37399121576793,6.32166803618362,6.44929218635547,7.07041347197262,8.2809168952473,9.83488877156642,11.474801185377
"April","Obokun","Osun",6.45625695153863,6.75121388717379,6.79615957389951,7.12367058915556,7.90209269246622,9.21427178534075,10.7236420276764,12.151337948964
"April","Odo0tin","Osun",6.477862191024,6.6823205021094,6.71064572025814,6.98842121409801,7.75605472525657,9.18653902582026,10.8741092060542,12.5000475223168
"April","Ola-Oluwa","Osun",6.13467491541026,6.35927800460695,6.3377510344628,6.57098427193172,7.23713321765743,8.4451340201641,10.0056979324364,11.6017829796867
"April","Olorunda","Osun",6.41211899241554,6.73646074142474,6.72142835510511,6.84229795489056,7.44614420465532,8.68733605892537,10.2560201788805,11.7939439792994
"April","Oriade","Osun",6.54041803952751,6.89939610954747,6.93650412914228,7.12745626212353,7.82069032586171,9.23894179085116,10.8037476456875,12.2624989750731
"April","Orolu","Osun",6.39622626998526,6.665028595608,6.62579547398183,6.79775611164769,7.47375886490011,8.74831758382532,10.3687702518909,11.9258822622478
"April","Osogbo","Osun",6.7571066635897,7.18193418224509,7.21179548296558,7.20219292123358,7.44242016850083,8.63889736425224,10.2220913723085,11.7703972306108
